"review_id","source_id","review_source","score","location"
"R_8","C_67","BdCH","neg","1835. Т. 11. С. 1"
"R_13","C_68","Telescope","neg","1835. Ч. 27. № 8. С. 123-137. (В. Белинский)"
"R_31","C_70","Sev_pchela","neg","1835. № 101. 8 мая. С. 401-402 -- Р.М."
"R_32","C_70","BdCH","","1835. Т. 10. С. 30-31"
"R_39","C_71","Sev_pchela","???; скорее негативная","1835. № 114. 24 мая. С. 453-454"
"R_40","C_71","BdCH","","1835. Т. 10. С. 29-30"
"R_48","C_1027","BdCH","neg","1835. Т. 12. С. 3"
"R_51","C_73","CO","pos","1836. Ч. 176. № 12. С. 259-272; № 13. С. 309-324 (Я. Неверов)"
"R_53","C_73","Telescope","pos","1835. Ч. 27. С. 470-483. В. Белинский"
"R_54","C_73","JMNP","pos","1836. Ч. 9. № 3. С. 653-658 -- Я.Н.[Неверов]"
"R_55","C_73","Sev_pchela","???","1835. № 290. 20 дек. С. 1157-1158 -- П."
"R_62","C_75","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"R_64","C_75","BdCH","neg","1835. Т. 9. C. 29; 1837. Т. 21. С. 3-4"
"R_72","C_78","BdCH","pos; выписано неск. стихов","1835. Т. 9. С. 23-27"
"R_80","C_81","BdCH","pos","1835. Т. 12. С. 17-19"
"R_103","C_84","Sev_pchela","neg","1835. № 241. 25 окт. С. 961-962 -- Р.М."
"R_104","C_84","BdCH","neg","1835. Т. 12. С. 23"
"R_108","C_85","MN","neg","1836. Ч. 6. Кн. 1. С. 90-91. (С. Шевырев)"
"R_109","C_85","Telescope","neg","Молва. 1836. № 2. С. 65-71"
"R_111","C_85","Sev_pchela","pos","1835. № 217. 27 сент. С. 865-867 -- Н.У."
"R_112","C_85","BdCH","pos; выписано неск. стихов","1835. Т. 12. С. 19-23"
"R_120","C_86","BdCH","pos","1835. Т. 11. С. 2-3"
"R_144","C_89","BdCH","","1835. Т. 10. С. 32"
"R_149","C_90","Telescope","neg","1835. Ч. 27. № 10.  С. 357-387. В. Белинский"
"R_150","C_90","JMNP","pos","1836. Ч. 9. № 1. С. 192-199 -- Я. Неверов"
"R_151","C_90","Sev_pchela","pos","1835. № 240. 24 окт. С. 957-959 -- Р.М."
"R_152","C_90","BdCH","pos; но с уколом о плохих сонетах","1835. Т. 13. С.  1-3"
"R_158","C_92","JMNP","pos","1836. Ч. 9. № 1. С. 180-192 -- А. Н-но"
"R_165","C_95","Telescope","neg","Молва. 1836. № ?. С. 63-64"
"R_166","C_95","JMNP","neg","1838. Ч. 20. № 12. С. 589"
"R_168","C_95","BdCH","neg","1836. Т. 18. С. 8-9"
"R_173","C_96","Telescope","neg","Молва. 1836. №?. С. 211-214"
"R_174","C_96","JMNP","pos ","1838. Ч. 20. № 12. С. 589"
"R_175","C_96","Sev_pchela","neg; ответ МН","1836. № 144. 26 июн. С. 573-576 -- Р.М."
"R_176","C_96","BdCH","pos","1836. Т. 17. С. 1-2"
"R_184","C_99","BdCH","neg","1836. Т. 17. С. 25"
"R_192","C_101","BdCH","neg","1836. Т. 19. С. 37-41"
"R_199","C_107","Sev_pchela","neg","1836. № 104. 9 мая. С. 413-414 -- Р.М."
"R_200","C_107","BdCH","neg","1836. Т. 16. С. 18-19"
"R_205","C_111","Telescope","pos","Молва. 1836. Ч. 12. С. 28-30"
"R_206","C_111","JMNP","neg","1838. Ч. 20. № 12. С. 589"
"R_207","C_111","Sev_pchela","pos","1836. № 190. 21 авг. С. 757-759"
"R_208","C_111","BdCH","neg","1836. Т. 18. С. 6-8"
"R_213","C_112","Telescope","pos","Молва. 1836. № 5. С. 112-114"
"R_216","C_112","BdCH","???; выписано 1 стихотв.","1836. Т. 15. С.  1-2"
"R_221","C_113","Telescope","neg","Молва. 1836. № 2. С. 64-65"
"R_224","C_113","BdCH","neg","1837. Т. 20. С. 39-40"
"R_230","C_114","JMNP","pos","1838. Ч. 20. № 12. С. 589"
"R_231","C_114","Sev_pchela","???","1836. № 148. 2 июл. С. 589 -- Z.Z.Z."
"R_232","C_114","BdCH","neg","1836. Т. 17. С. 2-3"
"R_238","C_115","JMNP","pos","1838. Ч. 20. № 12. С. 589"
"R_239","C_115","Sev_pchela","???","1836. № 253. 4 ноя. С. 1009-1010 -- Z.Z.Z."
"R_240","C_115","BdCH","pos; с уколом","1836. Т. 19. С. 42"
"R_241","C_117","Sovr","pos","1836. Т. 3. С. 170-186"
"R_246","C_117","JMNP","pos","1838. Ч. 20. № 12. С. 589"
"R_248","C_117","BdCH","neg; огромная рец, придирки к предисл","1837. Т. 20. С. 2, 29-35"
"R_253","C_118","Telescope","neg","Молва. 1836. № ?. С. 87-88"
"R_256","C_118","BdCH","neg","1836. Т. 16. С.  1-2"
