"","work","collection"
"1","1835_61_NA_Царь-девица : [Сказка в стихах]","nlr"
"2","1835_61_NA_Царь-девица : [Сказка в стихах]","rsl"
"3","1835_61_NA_Царь-девица : [Сказка в стихах]","rozanov"
"4","1835_62_П. С._Поселенцы : Повесть в стихах","nlr"
"5","1835_62_П. С._Поселенцы : Повесть в стихах","rsl"
"6","1835_62_П. С._Поселенцы : Повесть в стихах","cz_slk"
"7","1835_63_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","nlr"
"8","1835_63_В. Я-о-е-а_Мщение черкеса : Ахалцихское событие","rsl"
"9","1835_64_П. К._Мария: Фантастическая повесть в стихах П.К.","nlr"
"10","1835_64_П. К._Мария: Фантастическая повесть в стихах П.К.","lt_vul"
"11","1835_65_Неведомский Н._Бурка: Поэма","nlr"
"12","1835_65_Неведомский Н._Бурка: Поэма","rsl"
"13","1835_65_Неведомский Н._Бурка: Поэма","us_harvard"
"14","1835_66_Кистерзунк А._Померанская быль : [Стихотворение]","nlr"
"15","1835_67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","nlr"
"16","1835_67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","cz_slk"
"17","1835_67_А. К-го_Сирота : Романтическая повесть в стихах. В 2 ч.","fi_sl"
"18","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","nlr"
"19","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","rsl"
"20","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","us_harvard"
"21","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","fi_sl"
"22","1835_68_Т-м-ф-в_Елизавета Кульман : Фантазия : [Пьеса в стихах]","spbgu"
"23","1835_69_NA_Ижорский : Мистерия","nlr"
"24","1835_69_NA_Ижорский : Мистерия","rsl"
"25","1835_69_NA_Ижорский : Мистерия","us_harvard"
"26","1835_69_NA_Ижорский : Мистерия","cz_slk"
"27","1835_69_NA_Ижорский : Мистерия","ee_ester"
"28","1835_70_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","nlr"
"29","1835_70_NA_Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","rsl"
"30","1836_111_Алябьев В._Странник: В 2 ч.","nlr"
"31","1836_111_Алябьев В._Странник: В 2 ч.","rsl"
"32","1836_111_Алябьев В._Странник: В 2 ч.","rozanov"
"33","1836_111_Алябьев В._Странник: В 2 ч.","cz_slk"
"34","1836_112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","nlr"
"35","1836_112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","cz_slk"
"36","1836_112_Папкевич А._Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","spbgu"
"37","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","nlr"
"38","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","rsl"
"39","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","rozanov"
"40","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","us_harvard"
"41","1836_117_Дьячков С._Стихотворная сказка о дурачке и о кладе","spbgu"
"42","1836_119_Кашкин Д._Александриада : Поэма","nlr"
"43","1836_119_Кашкин Д._Александриада : Поэма","rsl"
"44","1836_119_Кашкин Д._Александриада : Поэма","us_harvard"
"45","1836_119_Кашкин Д._Александриада : Поэма","fi_sl"
"46","1836_121_NA_Иванушка-дурачок : Рус. сказка в 2 ч.","nlr"
"47","1836_122_Коломийцев Н._Бубновый козырь, или Иванушка дурачок : Сказка в стихах","nlr"
"48","1836_122_Коломийцев Н._Бубновый козырь, или Иванушка дурачок : Сказка в стихах","cz_slk"
"49","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","rsl"
"50","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","us_harvard"
"51","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","cz_slk"
"52","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","fi_sl"
"53","1836_132_Фукс А._Основание города Казани : повесть в стихах, взятая из татарских преданий","spbgu"
"54","1836_139_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","nlr"
"55","1836_139_NA_Русский Декамерон 1831-го года / Изд. И. Ивановым","rsl"
"56","1837_150_Мартынов А._Колдун и его дети : Старин. рус. сказка : [В стихах]","nlr"
"57","1837_151_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","nlr"
"58","1837_151_Чистов В._Смирный муж и бранливая жена : Рус. сказка в 3 ч.","spbgu"
"59","1837_152_Ашик А._Изменница: [Поэма]","nlr"
"60","1837_152_Ашик А._Изменница: [Поэма]","rozanov"
"61","1837_153_Алякринский И._Рогнеда : Романтическая поэма","nlr"
"62","1837_153_Алякринский И._Рогнеда : Романтическая поэма","rsl"
"63","1837_153_Алякринский И._Рогнеда : Романтическая поэма","rozanov"
"64","1837_153_Алякринский И._Рогнеда : Романтическая поэма","fi_sl"
"65","1837_167_Подолинский А._Смерть Пери","nlr"
"66","1837_167_Подолинский А._Смерть Пери","rsl"
"67","1837_167_Подолинский А._Смерть Пери","rozanov"
"68","1837_167_Подолинский А._Смерть Пери","us_harvard"
"69","1837_167_Подолинский А._Смерть Пери","lt_vul"
"70","1837_167_Подолинский А._Смерть Пери","fi_sl"
"71","1837_167_Подолинский А._Смерть Пери","spbgu"
"72","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","nlr"
"73","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","rsl"
"74","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","rozanov"
"75","1837_168_Пушкин А.С._Евгений Онегин: Роман в стихах / Изд. 3-е","us_harvard"
"76","1837_173_Филимонов В._Обед: Поэма","nlr"
"77","1837_173_Филимонов В._Обед: Поэма","rsl"
"78","1837_173_Филимонов В._Обед: Поэма","rozanov"
"79","1837_173_Филимонов В._Обед: Поэма","us_harvard"
"80","1837_173_Филимонов В._Обед: Поэма","cz_slk"
"81","1837_173_Филимонов В._Обед: Поэма","spbgu"
"82","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","nlr"
"83","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","rsl"
"84","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","us_harvard"
"85","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","fi_sl"
"86","1837_177_Барышев Е._Еврей: Поэма","nlr"
"87","1837_177_Барышев Е._Еврей: Поэма","rsl"
