"","id","meter","feet","perc_meter","perc_feet"
"1","P_10","iamb","free",1,NA
"2","P_100","iamb","4",1,0.86734693877551
"3","P_1000","iamb","4",1,0.857142857142857
"4","P_1001","trochee","4",0.857142857142857,0.714285714285714
"5","P_1002","iamb","4",1,1
"6","P_1004","iamb","4",1,0.88
"7","P_1005","iamb","6",1,0.806451612903226
"8","P_1006","iamb","5",1,0.892857142857143
"9","P_1007","iamb","4",1,0.77
"10","P_1008","iamb","free",1,NA
"11","P_1009","iamb","free",1,NA
"12","P_101","iamb","4",1,0.75
"13","P_1010","iamb","4",1,0.75
"14","P_1011","iamb","4",1,0.910714285714286
"15","P_1013","iamb","4",0.666666666666667,0.772727272727273
"16","P_1014","iamb","4",1,0.771428571428571
"17","P_1015","amphibrach","2",0.6,0.896551724137931
"18","P_1016","iamb","6",1,0.925373134328358
"19","P_1017","iamb","free",1,NA
"20","P_1018","iamb","free",1,NA
"21","P_1019","iamb","free",1,NA
"22","P_102","iamb","4",1,0.8125
"23","P_1020","iamb","6",1,0.875
"24","P_1021","trochee","4",0.833333333333333,1
"25","P_1022","iamb","6",1,0.75
"26","P_1023","iamb","free",1,NA
"27","P_1024","iamb","free",1,NA
"28","P_1025","iamb","free",1,NA
"29","P_1026","iamb","free",0.9,NA
"30","P_1027","anapaest","free",0.833333333333333,NA
"31","P_1028","anapaest","free",0.666666666666667,NA
"32","P_1029","trochee","4",1,0.8
"33","P_103","iamb","4",1,0.828729281767956
"34","P_1030","trochee","5",0.75,0.91566265060241
"35","P_1031","trochee","4",0.75,0.71875
"36","P_1032","iamb","free",1,NA
"37","P_1033","iamb","4",1,0.775
"38","P_1034","iamb","4",0.6,0.9
"39","P_1035","iamb","4",1,0.916666666666667
"40","P_1036","amphibrach","4",1,0.75
"41","P_1037","iamb","4",1,0.833333333333333
"42","P_1038","iamb","5",1,0.857142857142857
"43","P_1039","iamb","4",1,0.8
"44","P_104","iamb","free",1,NA
"45","P_1040","iamb","free",1,NA
"46","P_1041","iamb","4",0.857142857142857,0.772727272727273
"47","P_1042","iamb","4",1,0.757575757575758
"48","P_1043","iamb","free",1,NA
"49","P_1044","iamb","4",1,0.75
"50","P_1045","iamb","4",0.833333333333333,0.896551724137931
"51","P_1046","iamb","free",1,NA
"52","P_1047","iamb","5",0.833333333333333,0.708333333333333
"53","P_1048","trochee","4",1,0.818181818181818
"54","P_1049","iamb","4",1,0.95
"55","P_105","amphibrach","4",1,0.9
"56","P_1050","amphibrach","free",0.8,NA
"57","P_1051","trochee","4",1,0.75
"58","P_1052","trochee","4",0.818181818181818,0.909090909090909
"59","P_1053","iamb","4",1,0.755555555555556
"60","P_1054","amphibrach","4",1,0.886363636363636
"61","P_1055","iamb","4",1,0.75
"62","P_1056","iamb","4",1,0.858823529411765
"63","P_1057","iamb","4",1,0.8
"64","P_1058","iamb","6",1,0.823529411764706
"65","P_1059","iamb","free",0.666666666666667,NA
"66","P_106","anapaest","2",1,0.875
"67","P_1060","trochee","free",0.666666666666667,NA
"68","P_1061","iamb","6",1,0.761904761904762
"69","P_1062","iamb","4",1,0.888888888888889
"70","P_1063","iamb","free",1,NA
"71","P_1064","trochee","4",1,0.840909090909091
"72","P_1065","trochee","4",1,0.833333333333333
"73","P_1066","iamb","4",1,0.886792452830189
"74","P_1067","iamb","4",1,0.886792452830189
"75","P_1068","iamb","5",1,0.8
"76","P_1069","trochee","4",0.666666666666667,0.833333333333333
"77","P_107","trochee","4",0.8,0.847328244274809
"78","P_1070","iamb","6",1,0.75
"79","P_1071","iamb","free",1,NA
"80","P_1073","iamb","free",0.928571428571429,NA
"81","P_1074","iamb","4",0.916666666666667,0.8125
"82","P_1075","iamb","4",1,0.975
"83","P_1076","iamb","4",1,0.837606837606838
"84","P_1077","iamb","4",1,0.886363636363636
"85","P_1078","iamb","free",1,NA
"86","P_1079","amphibrach","free",0.833333333333333,NA
"87","P_108","iamb","5",1,0.909090909090909
"88","P_1081","trochee","4",1,0.821428571428571
"89","P_1082","iamb","free",1,NA
"90","P_1083","iamb","4",0.666666666666667,0.833333333333333
"91","P_1084","iamb","free",0.833333333333333,NA
"92","P_1085","dolnik3","free",1,NA
"93","P_1086","iamb","6",1,0.75
"94","P_1087","amphibrach","4",1,0.784810126582278
"95","P_1088","dolnik3","free",1,NA
