"","index","author"
"1","N--8","С. С. Бобров"
"2","N--25","С. А. Тучков"
"3","N--26","С. А. Тучков"
"4","N--28","С. А. Тучков"
"5","N--30","С. С. Пестов"
"6","N--36","П. П. Сумароков"
"7","N--38","П. П. Сумароков"
"8","N--39","П. П. Сумароков"
"9","N--40","П. П. Сумароков"
"10","N--41","П. П. Сумароков"
"11","N--42","П. П. Сумароков"
"12","N--43","П. П. Сумароков"
"13","N--44","П. П. Сумароков"
"14","N--45","П. П. Сумароков"
"15","N--46","П. П. Сумароков"
"16","N--47","П. П. Сумароков"
"17","N--48","П. П. Сумароков"
"18","N--49","П. П. Сумароков"
"19","N--50","П. П. Сумароков"
"20","N--51","П. П. Сумароков"
"21","N--52","П. П. Сумароков"
"22","N--53","П. П. Сумароков"
"23","N--54","П. П. Сумароков"
"24","N--55","Н. С. Смирнов"
"25","N--56","Н. С. Смирнов"
"26","N--67","Е. А. Колычев"
"27","N--68","Е. А. Колычев"
"28","N--69","А. И. Тургенев"
"29","N--71","А. И. Тургенев"
"30","N--72","А. И. Тургенев"
"31","N--73","А. И. Тургенев"
"32","N--74","А. И. Тургенев"
"33","N--75","А. И. Тургенев"
"34","N--76","А. И. Тургенев"
"35","N--78","А. И. Тургенев"
"36","N--79","А. И. Тургенев"
"37","N--80","А. И. Тургенев"
"38","N--82","А. И. Тургенев"
"39","N--83","А. И. Тургенев"
"40","N--84","А. И. Тургенев"
"41","N--85","А. И. Тургенев"
"42","N--86","А. И. Тургенев"
"43","N--87","А. И. Тургенев"
"44","N--88","А. И. Тургенев"
"45","N--89","А. И. Тургенев"
"46","N--90","А. И. Тургенев"
"47","N--92","А. И. Тургенев"
"48","N--93","А. И. Тургенев"
"49","N--94","А. И. Тургенев"
"50","N--95","А. И. Тургенев"
"51","N--96","А. С. Кайсаров"
"52","N--99","А. С. Кайсаров"
"53","N--101","С. Е. Родзянко"
"54","N--112","З. А. Буринский"
"55","N--113","З. А. Буринский"
"56","N--119","Н. Ф. Грамматин"
