id	signature	author	title	first_line	year	razmer	source_type	text_raw	text_lem	corpus
rp	-въ	-въ	Песня	Звезда, звезда	1831	Я21мд	periodical	"Звезда, звезда
Полночная,
Взойди скорей,
Свети скорей,
Уж близок час
Свидания!

Прекрасный друг,
Жестокий друг
Спеши ко мне,
Лети ко мне:
Условный час
Пробил давно!

Но звездочка
Скрывается
За тучею
Знать милый друг
Спешит ко мне
Не думает
"	звезда звезда полночный восходить скоро светить скоро уж близкий час свидание прекрасный друг жестокий друг спешить ко я лететь ко я условный час пробивать давно но звездочка скрываться за туча знать милый друг спешить ко я не думать	rus_song
rp	Б/П	Б/П	Конь	Что ты, конь-донец лихой	1840	Х4ммжмжм	periodical	"Что ты, конь-донец лихой,
Так играешь подо мной?
Не к товарищам на волю
Отпущу тебя, гнедой,
Не в знакомом уже поле
Напою тебя водой,
Видишь – шашка, хлеб и пика:
Я хочу ночной порой
Гарцевать в земле чужой.

«Это горе невелико,
Любо мне в земле чужой
Расстилаться под тобой,
Любо мне, как враг валится
С обробелого коня,
Как хочу копытом впиться
В тело белое врага
"	что ты конь донец лихой так играть подо я не к товарищ на воля отпускать ты гнедой не в знакомый уже поле напоить ты вода видеть шашка хлеб и пик я хотеть ночной пора гарцевать в земля чужой это горе небольшой любо я в земля чужой расстилаться под ты любо я как враг валиться с обробелый конь как хотеть копыто впиваться в тело белый враг	rus_song
rp	Б/П	Б/П	К сердечку	Ты почем, сердечко	1840	Х3ж	periodical	"Ты почем, сердечко
Почем, ретивое,
Ах, почем заныло,
Почем заболело?
Как же мне, сердечку,
Как же, ретивому,
Как же мне не ныти,
Как же не болети!
Полюбило я, сердечко,
Полюбило, ретивое
Да душу красну-девицу,
Купеческу дочку…
А она злодейка
Меня не взлюбила,
За купчину-богатея,
На зло вышла замуж…
Не стерплю я, сердечко,
Не снесу такой обиды…
Не тоскою и не горем
Ее радовать не буду!
Но все кровью обольюся,
Хлопнусь, расшибуся,
В клочья разорвуся!
"	ты почем сердечко почем ретивое ах почем заныть почем заболевать как же я сердечко как же ретивый как же я не ныть как же не болететь полюбить я сердечко полюбить ретивое да душа красный девица купеческа дочка а она злодейка я не взлюбить за купчина богатей на зло выходить замуж не стерпеть я сердечко не снести такой обида не тоска и не горе она радовать не быть но весь кровь обольюся хлопнуться расшибуся в клок разорваться	rus_song
rp	Одоевский, А.И	Одоевский, А.И	К ***	Как носятся тучи за ветром осенним	1831	Аф3жм	periodical	"Как носятся тучи за ветром осенним,
Я мыслью ношусь за тобою, -
А встречусь - забьется в груди ретивое,
Как лист запоздалый на ветке.

Хотел бы - как небо в глубь синего моря
Смотреть и смотреть тебе в очи,
Приветливой речи, как песни родимой,
В изгнаньи хотел бы послушать!

Но света в пространстве падучей звездою
Мелькнешь, ненаглядная, мимо, -
И снова не видно, и снова тоскую,
Усталой душой сиротея...
"	как носиться туча за ветер осенний я мысль носиться за ты а встречаться забиваться в грудь ретивое как лист запоздалый на ветка хотеть бы как небо в глубь синий море смотреть и смотреть ты в око приветливый речь как песня родимый в изгнание хотеть бы послушать но свет в пространство падучая звезда мелькнуть ненаглядный мимо и снова не видно и снова тосковать усталый душа сиротеть	rus_song
rp	N.N.	N.N.	Русская песня	Ах, знаю я, красавица	1833	Я3дм	periodical	"Ах, знаю я, красавица,
И как того не знать?
Что друг твоей души клялся
Тебя не забывать.

Желаешь ли красавица,
О друге весть узнать?
Он смотрится в кольцо твое
И мыслит его снять.

Желаешь ли, красавица,
Чтоб правду я сказал?
Кольцо твое, души залог,
Другой он обещал!

Все выскажу, красавица,
Что было с молодцом:
Давным давно с иною он
Был под златым венцом.
"	ах знать я красавица и как то не знать что друг твой душа клясться ты не забывать желать ли красавица о друг весть узнавать он смотреться в кольцо твой и мыслить он снимать желать ли красавица чтоб правда я сказать кольцо твой душа залог другой он обещать весь высказывать красавица что быть с молодец давный давно с иной он быть под златой венец	rus_song
rp	А.Д.	А.Д.	Песня	Ветер бурный воет в поле	1824	Х223ж	periodical	"Ветер бурный
Воет в поле,
Веет хлад осенний
Над кустами,
Над рекою
Вьется рой пернатых
Скоро к югу
Понесуся
Дружною станицей
От ненастья,
Зимней стужи,
Перелетны птицы.
Ветер бурный
Воет в поле,
Веет хлад осенний:
Грусть злодейка
Ретивое
Поминутно гложет!
Где от горя
Скрою сердце,
Где сыщу отраду?
Иль родился
Я на жертву
Вечному несчастью?
Дух холодной
Знать не может,
Сколько я страдаю,
Свет коварный
Лишь смеется
Над моей тоскою!
Скоро птички
Унесутся
От зимы суровой,
Скоро примет
Рой пернатых
Край обетованный:
Но от горя,
Бед жестоких,
В мире нет приюта.
Сердце ноет,
Изнывает
Жертвой грусти вечной!
"	ветер бурный выть в поле веять хлад осенний над куст над река виться рой пернатое скоро к юг понесуся дружный станица от ненастье зимний стужа перелетный птица ветер бурный выть в поле веять хлад осенний грусть злодейка ретивое поминутно глодать где от горе скрывать сердце где сыскать отрада иль рождаться я на жертва вечный несчастие дух холодный знать не мочь сколько я страдать свет коварный лишь смеяться над мой тоска скоро птичка уноситься от зима суровый скоро примета рой пернатое край обетованный но от горе беда жестокий в мир нет приют сердце ныть изнывать жертва грусть вечный	rus_song
rp	Авдуловский	Авдуловский	Ляжу я засну	Ляжу я засну	1847	Пс	periodical	"Ляжу я засну,
Авось может быть,
Успокоятся
Кости дряхлые,
Стариковские.
От больших забот,
От лихой тоски
Иссушенные.

На яву грущу —
Нет мне радости
Авось, может быть,
Хоть во сне возьму
Верх над старостью,
Хоть во сне дыхну
Детской жизнию
Безмятежною.

Ляжу ж я засну —
Скину горесть всю
Успокоюся
От мятежных дум,
Все тревожащих
Сердце старое,
От лихой тоски,
Неотвязчивой.
"	ляж я заснуть авось мочь быть успокаиваться кость дряхлый стариковский от большой забота от лихой тоска иссушать на ява грустить нет я радость авось мочь быть хоть во сон взять верх над старость хоть во сон дыхнуть детский жизния безмятежный ляж ж я заснуть скидывать горесть весь успокоюся от мятежный дума весь тревожить сердце старый от лихой тоска неотвязчивый	rus_song
rp	Ал. Бистром	Ал. Бистром	Песня	Ласточка летит из-за моря	1835	Х4д	periodical	"Ласточка летит из-за моря,
Прилетела из-за синего:
Принесла ли мне касаточка
Весточку от милого.

Щебетунья приютилася
Под окном в родимом гнездышке:
Ах, согрей же сердце радостью,
Расскажи мне про желанного.

Носит ли он буйну голову?
Помнит ли он Дуню бедную?
Все ли верен ей по прежнему?
Так ли любит, как говаривал?

Нет, не снесть мне тяжкой участи,
Не дождаться ненаглядного,
Дай мне крылышки, касаточка,
Полечу я к другу за море.

Расскажу про муку лютую,
Укажу на слезы горькие,
Возвращу его на родину,
Али скроюсь в безответную.
"	ласточка лететь из-за море прилетать из-за синий приносить ли я касаточка весточка от милый щебетунья приютилася под окно в родимый гнездышко ах согревать же сердце радость рассказывать я про желанный носить ли он буйнуть голова помнить ли он дуня бедный весь ли верный она по прежний так ли любить как говаривать нет не снесть я тяжкий участь не дождаться ненаглядный давать я крылышко касаточка полететь я к друг за море рассказывать про мука лютый указывать на слеза горький возвращать он на родина али скрываться в безответный	rus_song
rp	Ал. Бистром	Ал. Бистром	Песня	В воскресный день все девушки	1826	Я3дм	periodical	"В воскресный день все девушки
На улицу пойдут,
Но Машу ненаглядную
В кружку уж не найдут.

В селе был Ваня – молодец
И парень хоть куда,
Он видел Машу — полюбил:
Вот вся его беда!

Разрознили голубчиков —
Уж лучше б им не жить!
Раз полюбя, ах, девушки!
Нельзя и ввек забыть!

Да злые полно знают ли,
Что в свете есть любовь,
Что жизнь грустнее без нее
Чем поле без цветов?

Как стонет горлинка в глуши
Без милого дружка,
Так вянет Маша в цвете лет
Вне нашего кружка.

Пойдем же к ее терему,
Подруги, песни петь:
Тоска злодейка прочь бежит,
Коль есть кому жалеть.
"	в воскресный день весь девушка на улица пойти но маша ненаглядный в кружка уж не находить в село быть ваня молодец и парень хоть куда он видеть маша полюбить вот весь он беда разрознивать голубчик уж хорошо б он не жить раз полюбя ах девушка нельзя и ввек забывать да злой полно знать ли что в свет быть любовь что жизнь грустно без она чем поле без цветок как стонать горлинка в глушь без милый дружка так вянуть маша в цвет год вне наш кружка пойти же к она терем подруга песня петь тоска злодейка прочь бежать коль быть кто жалеть	rus_song
rp	Асконченский, В.	Асконченский, В.	Вьюга	Вишь как рвет как гудит	1840	Ан21мд	periodical	"Вишь как рвет, как гудит,
Волком воет лихим
Непогодушка.

Снегом сыплет она,
Вьюгой свищет она,
В хату просится.

То притихнет, кажись,
Присмиреет на час,
Из сил выбившись.

Не гудет, не свистит,
Чуть снежком порошит,
Притаилася.

Нет, не верю тебе,
Ты обманешь меня,
Непогодушка.

Запахнуся теплей,
Понадвину плотней
Шапку на уши.

Рассердилась она,
Разгуделась она
Пуще прежнего.

Пыль столбом подняла
И бросалась она
С угла на угол.

Ставни рвет, в дверь стучит
Изломать все грозит,
В хату просится.

Злися, вьюга моя,
Не пущу я тебя
В хату теплую.

Хоть свисти, не свисти,
А из сил своих ты
Таки выбьешься.

Под забором моим,
У угла моего
Ты уляжешься.
Я вскочу в хату вдруг,
И захлопну скорей
Дверь дубовую.

Шапку сброшу долой
Посмеюсь над тобой
Непогодушка…
"	вишь как рвать как гудеть волк выть лихой непогодушка снег сыпать она вьюга свистать она в хата проситься то притихать казаться присмиреть на час из сила выбиваться не гудет не свистеть чуть снежок порошить притаилася нет не верить ты ты обманывать я непогодушка запахнуся теплый понадвигать плотно шапка на ухо рассердиться она разгудеться она пуще прежний пыль столб подымать и бросаться она с угол на угол ставня рвать в дверь стучать изламывать весь грозить в хата проситься злисить вьюга мой не пуща я ты в хата теплый хоть свистеть не свистеть а из сила свой ты таки выбиваться под забор мой у угол мой ты улечься я вскакивать в хата вдруг и захлопывать скоро дверь дубовый шапка сбросить долой посмеяться над ты непогодушка	rus_song
