,Unnamed: 0,id,id_st,text,meter
0,1,P_10,P_10_1,"Зачем с небесной высоты, 
Из горнего жилья, 
На лоне бури мчишься ты, 
Громовая струя... 
По небу реешь и браздишь 
Сгущенны облака, 
И, долу падая, разишь 
Жилище бедняка? ",iambos
1,2,P_10,P_10_2,"Зачем, пронзая душу мне, 
Ее терзаешь ты, 
Подобно Зевсовой стреле. 
Поэзия мечты... 
Не озаряешь жизни путь, 
Как молния летишь, 
Сверкаешь, падаешь на грудь 
И сердце пепелишь.",iambos
2,3,P_100,P_100_1,"Вблизи дороги столбовой
Ночует табор кочевой
Сынов Украины привольной.
В степи и пасмурно и тёмно:
Ни звёзд блестящих, ни луны
На небе нет; и тишины
Ночной никто не нарушает;
Вся степь роскошно почивает, - 
Лишь у проезжих чумаков
Огонь горит между возов.
Старик раздетый, бородатый,
Готовя ужин небогатый,
Поджавшись на ногах, сидит
И кашу с салом кипятит.
За табором невдалеке
Волы усталые пасутся;
Они никем не стерегутся.
Беспечно пред огнём в кружке,
Хохлы чумазые, седые,
С усами хлопцы молодые,
Простершись на траве лежат
И вдаль невесело глядят.
Чем чумаков прогнать дремоту?
Давно ль утратили охоту
Они петь песни старины?
Чем ныне так развлечены?
Бывало, часто, ночью тёмной
Я с ними время разделял
И помню, песням их внимал
С какой-то радостью невольной.
Вот раздалась игра свирели,
Вот тихо под свирель запели
Они про жизнь своих дедов,
Украйны доблестной сынов.
И как те песни сердцу милы!
Как выразительны, унылы,
Протяжны, звучны и полны
Преданьями родной страны!",iambos
3,4,P_100,P_100_2,"Но что, украинцы, они
Всё отзываются печалью?
Давным-давно прошли те дни,
Когда у вас, блистая сталью,
Шумел раздора буйный глас
И кровь потоками лилась.
Давно прошли те времена;
Везде цареет тишина
Под скиптром Русского правленья,
И край ваш — край теперь веселья.
Любимый, самородный труд
Неужли давит вашу грудь?
Вы чумакуете по воле:
Чего ж ещё желать вам боле?",iambos
4,5,P_100,P_100_3,"Я познакомился со светом...
И если бы... да в добрый час!..
Готов остаться я у вас!
Готов чумаковать всё лето.
Там, други, не живёт веселье,
Где много слов про наслажденье,
Там для него душа мертва,
Как на сухой степи трава.
Живал в больших я городах;
Бывал на ваших хуторах;
И замечал, где как живут,
Что горем, что добром зовут;
С какою целью век трудятся,
К чему и те и те стремятся;
Узнал, вздохну... и для меня
Приятно в дождик обсушиться
У вас под буркой, близ огня,
Под возом от грозы укрыться;
Приятно кашу есть сухую,
Украйны слушать речь простую,
Беспечно время проводить.
На воле любо, братцы, жить!
В степях я город забываю,
Душой и сердцем отдыхаю.
У вас всё братски; хороша
Беседа ваша, беспритворна.
Где ты, прекрасная душа,
Своей природе так покорна?..
Что слободской ваша атаман?
Что шитый шёлковый кафтан?
Каморы, полные,без счёту
Снарядов разных, серебра, 
Когда в них искры нет добра?
Покиньте, братцы, вы охоту
Меняться счастием своим,
Меняться степию широкой
И продовольствием простым:
Блистает солнышко далёко!..",iambos
5,6,P_100,P_100_4,"Тут речь уныла прервана
Готовой кашею простой;
Они в кружок; шумит страна;
Уселись на траве густой.
Луна из облак выплывает,
Спокойный табор озаряет,
И светлых звёзд не миллион 
На них глядит со всех сторон.",iambos
6,7,P_1000,P_1000_1,"О чем грустишь так неутешно?
Утраченных стяжаний жаль?...
Начто стяжанье человеку?
Ничто непрочно под луной.
Мы жертвы случаев враждебных :
Придет война — и все на-дым ;
И жатву снимет, кто не сеял;
И вырвет, кто не насадил;
И в погреба за нашим златом
Войдут без спроса, без ключей.
Но ничего , я сколько знаю ,
Нет без причины на земле.
Болезнь не из земли выходит.
И всякий человек на скорбь
Рожден, как птица, на летанье...
Но, друг, будь добр! Но, друг, крепись!
Имей на Бога упованье:
Пред Ним смирись, Ему молись!
О Нем мое возвышу слово:
Он дивен, Он велик Господь;
Он дождь пустыням посылает
И утоляет зной песков;
Он высоко ведет покорных
И Сам расслабленных целит;
Одной рукою поразит,
Другою перевяжет рану
Как опытный и добрый врач.
Он осязает мысли злобных
И их умеет обличать:
Пускай удумают, затеют;
Пусть втайне козни их созреют —
Он ярко правдою блеснет,
И ложь и тайны их сожжет.
О, Он умеет все предвидеть
И так ловящих уловить,
Что и разумники в безумье
Бегут как дети! Часто им
И днем темно, и в полдень ясный
Они чуть ощупью бредут.
Но Он же нищего хоронит
От уязвлений языка,
От злостных уст клеветника —
И мощная Его рука
Чудесно слабого уводит
Из рук насилия. И Сам
Он сторожит над беззащитным.
Блажен, кого карает Бог!
Не отвергай караний Бога:
Они к высокому ведут.
В руке его гроза и ласка:
Он и возьмет и возвратит.
Шесть раз из бед великих вынет —
В седьмой к тебе не пустит зла;
В час глада сбережет от смерти,
В бою заслонит от мечей,
И ты пройдешь среди заразы,
По трупам падших ты пройдешь...
Он так скрепить умеет сердце,
Что, сколько б бед ни налегло,
Какое б ни постигло горе,
В глуши лесов, в странах чужих,
Все будет человек как дома:
Куда пустыней ни пойдет,
Ноги о камень не препнет,
И дикий зверь его не тронет,
И яркий зной не опалит;
Он хлеб найдет свой повсеместно,
И станет жизнь ему легка,
И будет он как гость в беседе
У жизни на пиру гостить
И прохлаждаться на покое...
В его очах и на устах
Увидят все самодовольство;
И будет он как полный класс
На ниве жизни долго , долго ,
Доколе, с честию, его
Положат в житницу Господню.",iambos
7,8,P_1001,P_1001_1,"Движим думою чудесной,
""Здесь"", Он молвил ""будет град ,
Украшенье поднебесной
И Москвы державный брат!""",choreios
8,9,P_1001,P_1001_2,"Чудо! Волю полубога
Понял доблестный народ,
И Европы у порога
Из лесов и из болот",choreios
9,10,P_1001,P_1001_3,"Встал красавец полуночи
На земле получужой,
Гордо глянул миру в очи,
Опоясался Невой.",dolnik3
10,11,P_1001,P_1001_4,"И у ног его сердито
Волны Финския кипят ;
Весь он в латах из гранита
С головы до самых пят.",choreios
11,12,P_1001,P_1001_5,"Держит он в руке могучей
Богатырское копье,
И горит его за тучей
Золотое острие.",choreios
12,13,P_1001,P_1001_6,"Дряхлый мир ему дивится,
Сам спешит по лону вод
Исполину поклониться ,
И дары покорно шлет.",choreios
13,14,P_1001,P_1001_7,"Так-то волею чудесной
Создан Им могучий град,
Украшенье поднебесной
И Москвы державный брат.",choreios
14,15,P_1002,P_1002_1,"Я слушал вас... я прочитал
Сии небрежные созданья,
Где ваши томные мечтанья
Боготворят свой идеал.",iambos
15,16,P_1002,P_1002_2,"Я пил отраву в вашем взоре,
В исполненных души чертах ,
И в вашем милом разговоре,
И в ваших пламенных стихах.",iambos
16,17,P_1002,P_1002_3,"Соперницы заветной розы
Блажен бессмертный идеал!
Стократ блажен, кто ей внушал
Единый стих и много прозы!",iambos
17,18,P_1003,P_1003_1,"<I>
Горит и красуется пышное лето;
Все в зелень и в пурпур и в злато одето ,
Все полною жизнью роскошно цветет.
А там, посмотрите, на ветке крапивной
Уродливый червь, бледножелтый, лениво
С листка на листочек ползет,
И жадно безвкусные листья съедая.
Родимой крапивы своей не бросая ,
Спокойно на ветке живет.",amphibrachys
18,19,P_1003,P_1003_2,"<II>
Но пролетело скоро лето ,
И осень скучная пришла.
Природа мрачная раздета.
На опустелые поля
Повеял ветер — и метели
По рощам грустно зашумели;
Трещат морозы, и сама
К нам в гости жалует зима.
Все мертво в страшную годину;
И завернувшись в паутину.
Примерз, укрывшись под листок,
К родимой ветке червячок.",iambos
19,20,P_1003,P_1003_3,"<III>
Вот весенний ветер веет,
Чист и ясен свод небес,
И душисто зеленеет
Молодой, кудрявый лес ;
Развернулся луг цветами,
Зажурчал опять ручей ,
И опять между кустами,
Будто Пушкина стихами,
Хвалит Бога соловей!...",dolnik3
