"","work","collection"
"1","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","nlr"
"2","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","rsl"
"3","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","rozanov"
"4","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","us_harvard"
"5","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","cz_slk"
"6","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_bn"
"7","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","pl_buw"
"8","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","ee_ester"
"9","1835_73_Баратынский Е._Сочинения Е. Баратынского: В 2 ч.","fi_sl"
"10","1835_75_Деларю М._Опыты в стихах Михаила Деларю","nlr"
"11","1835_75_Деларю М._Опыты в стихах Михаила Деларю","rsl"
"12","1835_75_Деларю М._Опыты в стихах Михаила Деларю","rozanov"
"13","1835_75_Деларю М._Опыты в стихах Михаила Деларю","lt_vul"
"14","1835_75_Деларю М._Опыты в стихах Михаила Деларю","pl_buw"
"15","1835_75_Деларю М._Опыты в стихах Михаила Деларю","fi_sl"
"16","1835_75_Деларю М._Опыты в стихах Михаила Деларю","spbgu"
"17","1835_76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","nlr"
"18","1835_76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","us_harvard"
"19","1835_76_Зилов А._Стихотворения Алексея Зилова [Тетрадь 1-я]","fi_sl"
"20","1835_77_Кольцов А._Стихотворения Алексея Кольцова","nlr"
"21","1835_77_Кольцов А._Стихотворения Алексея Кольцова","rsl"
"22","1835_77_Кольцов А._Стихотворения Алексея Кольцова","rozanov"
"23","1835_77_Кольцов А._Стихотворения Алексея Кольцова","ee_ester"
"24","1835_77_Кольцов А._Стихотворения Алексея Кольцова","fi_sl"
"25","1835_79_Меркли М._Стихотворения Михаила Меркли","nlr"
"26","1835_79_Меркли М._Стихотворения Михаила Меркли","rsl"
"27","1835_79_Меркли М._Стихотворения Михаила Меркли","rozanov"
"28","1835_79_Меркли М._Стихотворения Михаила Меркли","us_harvard"
"29","1835_79_Меркли М._Стихотворения Михаила Меркли","fi_sl"
"30","1835_80_Мятлев И.П._Собрание стихотворений","nlr"
"31","1835_80_Мятлев И.П._Собрание стихотворений","rsl"
"32","1835_80_Мятлев И.П._Собрание стихотворений","rozanov"
"33","1835_80_Мятлев И.П._Собрание стихотворений","spbgu"
