"","work","collection"
"1","1835_72_А. Я-в_Кривой бес. Русская сказка [Стихотворения]","nlr"
"2","1835_81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","nlr"
"3","1835_81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","rsl"
"4","1835_81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","us_harvard"
"5","1835_81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","cz_slk"
"6","1835_81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","ee_ester"
"7","1835_81_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 1.","fi_sl"
"8","1835_82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","nlr"
"9","1835_82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","rsl"
"10","1835_82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","rozanov"
"11","1835_82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","us_harvard"
"12","1835_82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","cz_slk"
"13","1835_82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","pl_buw"
"14","1835_82_Пушкин А.С._Поэмы и повести Александра Пушкина. Ч. 2.","ee_ester"
"15","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","nlr"
"16","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","rsl"
"17","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","rozanov"
"18","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","cz_slk"
"19","1835_92_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","ee_ester"
"20","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","nlr"
"21","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","rsl"
"22","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","rozanov"
"23","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","cz_slk"
"24","1835_94_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","ee_ester"
"25","1835_95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","nlr"
"26","1835_95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","rsl"
"27","1835_95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","rozanov"
"28","1835_95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","cz_slk"
"29","1835_95_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","ee_ester"
"30","1835_110_Никитин А._Повести Александра Никитина : 1-[2]","nlr"
"31","1835_110_Никитин А._Повести Александра Никитина : 1-[2]","rsl"
"32","1835_110_Никитин А._Повести Александра Никитина : 1-[2]","cz_slk"
"33","1836_116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","nlr"
"34","1836_116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","rsl"
"35","1836_116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","rozanov"
"36","1836_116_Вельтман А._Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","lt_vul"
"37","1836_131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","nlr"
"38","1836_131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","rsl"
"39","1836_131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","pl_buw"
"40","1836_131_Цимбалин К._Сказки и басни К. Цимбалина: В 5 кн.","fi_sl"
"41","1836_144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","nlr"
"42","1836_144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","rsl"
"43","1836_144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","rozanov"
"44","1836_144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","us_harvard"
"45","1836_144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","cz_slk"
"46","1836_144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","fi_sl"
"47","1836_144_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 1.","spbgu"
"48","1837_184_NA_Грибы : Рус. сказка в стихах","nlr"
"49","1837_184_NA_Грибы : Рус. сказка в стихах","rsl"
"50","1838_200_Павлов М._Повести в стихах","nlr"
"51","1838_200_Павлов М._Повести в стихах","rsl"
"52","1838_200_Павлов М._Повести в стихах","rozanov"
"53","1838_200_Павлов М._Повести в стихах","us_harvard"
"54","1838_200_Павлов М._Повести в стихах","cz_slk"
"55","1838_200_Павлов М._Повести в стихах","spbgu"
"56","1838_245_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","nlr"
"57","1838_245_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","rsl"
"58","1838_245_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","rozanov"
"59","1838_245_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","cz_slk"
"60","1838_245_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","lt_vul"
"61","1839_296_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","nlr"
"62","1839_296_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","rsl"
"63","1839_296_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","us_harvard"
"64","1839_296_Кульман Е.Б._Сказки Елисаветы Кульман: В 3 ч.","ee_ester"
"65","1840_320_Алексеев П.Ф._Лирические стихотворения и сказки","nlr"
"66","1840_320_Алексеев П.Ф._Лирические стихотворения и сказки","ee_ester"
