;text_id;text_title;text_subtitle;genre;true_genre
1;P_114;Обитатель Сиона;Подражание псалму;подражание | псалом;псалом
2;P_1326;Отрывок из Шиллеровой песни о колоколе;;отрывок | песня;отрывок
3;P_1378;Песнь улана;Подражание французскому;песнь | подражание;песнь
4;P_138;Песня о персидской кампании;Солдатские песни;песня | песня;песня
5;P_139;Песня о кампании в азиятской Турции;Солдатские песни;песня | песня;песня
6;P_140;Песня о польской кампании;Солдатские песни;песня | песня;песня
7;P_141;Песня на сбор войск;Солдатские песни;песня | песня;песня
8;P_142;Песня после ученья;Солдатские песни;песня | песня;песня
9;P_1669;Отрывок из сказки;;отрывок | сказка;отрывок
10;P_1704;Подражание Шекспиру;В альбом *****;подражание | альбом;подражание
11;P_1800;Русская песня;Из собрания рязанских простонародных песен;песня | песня;песня
12;P_1801;Цыганская песня;Из собрания старых и новых цыганских песен;песня | песня;песня
13;P_1810;Отрывок из русской сказки Баба-Яга;;отрывок | сказка;отрывок
14;P_1870;Надписи;Сонет;надпись | сонет;сонет
15;P_1891;Песня из собрания песен Русского моряка;Посвящается флотам Балтийскому и Черноморскому;песня | песня;песня
16;P_1908;Мех и уголь;Подражание новой басне Виенне, увенчанной в последнем заседании пяти Парижских академий;подражание | басня;басня
17;P_1948;Песнь пленников;Псалом 136 (Преложение);песнь | псалом;песнь
18;P_211;Пальма;Подражание арабской песне;подражание | песня;песня
19;P_23;Похоронная песня Иакифа Маглановича;Песни западных славян;песня | песня;песня
20;P_27;Песня о Георгие Черном;Песни западных славян;песня | песня;песня
21;P_36;Невеста;Элегия. Подражание Андрею Шенье;элегия | подражание;элегия
22;P_366;Молитва;Дума;молитва | дума;дума
23;P_49;Сонет;Вольное подражание Вордсворту;сонет | подражание;сонет
24;P_523;Песнь матери;Подражание итальянскому;песнь | подражание;песнь
25;P_529;Подражание псалму III;;подражание | псалом;псалом
26;P_681;Привет стихотворениям юного певца дум, посланий, элегий, дев и прочего;;дума | послание | элегия;
27;P_699;Бесценный дар;Баллада. Подражание Уланду;баллада | подражание;баллада
28;P_718;Молитва на юрьев день;Славянские песни;молитва | песня;песнь
29;P_813;Колыбельная песня;Два отрывка из новой драмы “Стешнева”;песня | отрывок;песня
30;P_845;Как она прекрасна!;Песня. Подражание Беранжеру;песня | подражание;песня
31;C_112__15;Отрывок из послания к А.П. Л...у;;отрывок | послание;отрывок
32;C_115__64;LXV. Надпись к портрету: Судьи Обиралова;Эпиграммы;надпись | эпиграмма;надпись
33;C_143__22;Арабская надпись ;Все к лучшему. Рассказ в 5-ти сонетах;надпись | сонет;надпись
34;C_145__37;Песнь гусар ;Песни ;песнь | песня;песня
35;C_145__39;Солдатская песня ;Песни ;песня | песня;песня
36;C_145__40;Песнь всадника ;Песни ;песнь | песня;песня
37;C_145__46;К И.Ф. И-чу. Послание 1;Послания ;послание | послание;послание
38;C_145__48;К И.Ф. И-чу. Послание 2;Послания ;послание | послание;послание
39;C_145__50;К М.А.Б. (Отрывок) ;Послания;отрывок | послание;послание
40;C_153__4;Песнь Баязета в смертный час ;Подражание восточному;песнь | подражание;песнь
41;C_156__36;Сонет ;Ю.М. Познанскому на перевод сонета: Do Laury;сонет | сонет;сонет
42;C_194__17;Песнь и молитва Маргариты ;"Из ""Фауста"" Гете";песнь | молитва;песнь
43;C_203__16;Явление гения ;"Отрывок из фантазии ""Мститель""";отрывок | фантазия;отрывок
44;C_240__18;Песнь на биваке ;Подражание Греческому;песнь | подражание;песнь
45;C_249__35;Молитва ;Дума;молитва | дума;дума
46;C_298__6;Народная песня ;Из собрания песен, свадебных обрядов и поверьев по Олонецкой губернии;песня | песня;песня
47;C_301__25;Романс ;Подражание Гете;романс | подражание;романс
48;C_312__1;Подражание IV псалму Царя Давида;;подражание | псалом;псалом
49;C_327__61;Отрывок из сказки: Три Царицы в золотом челноке, с золотыми веслами на море;;отрывок | сказка;отрывок
50;C_75__33;Две песни ;Подражание Уланду;песня | подражание;песня
51;C_92__1;Тоска по милом ;Романсы и песни;романс | песня;романс
