"","topic","label"
"1",1,"1_слеза плакать лить скорбь тоска"
"2",2,"2_человек свет век жить добрый"
"3",3,"3_радость день жизнь счастливый юность"
"4",4,"4_душа чувство мысль сердце понимать"
"5",5,"5_любовь огонь грудь сердце кровь"
"6",6,"6_мир вечный природа творец земля"
"7",7,"7_стоять окно дверь стена дом"
"8",8,"8_петь песня соловей песнь голос"
"9",9,"9_звук струна внимать глас лира"
"10",10,"10_гора скала лес стоять дикий"
"11",11,"11_знать другой говорить дело становиться"
"12",12,"12_счастие искать находить свет жить"
"13",13,"13_небо звезда солнце луч свет"
"14",14,"14_сон спать покой ночь вставать"
"15",15,"15_сказать дом бог сын одиссей"
"16",16,"16_путь идти дорога пойти шаг"
"17",17,"17_лететь крыло орел туда летать"
"18",18,"18_небо мир земля земной небесный"
"19",19,"19_ветер туча буря небо гроза"
"20",20,"20_дар принимать хранить труд сердце"
"21",21,"21_пить вино чаша пир веселие"
"22",22,"22_душа мечта поэт вдохновение восторг"
"23",23,"23_правда закон зло суд истина"
"24",24,"24_ночь луна ночной темный тень"
"25",25,"25_душа страсть страдание мука тоска"
"26",26,"26_лес тень лист луг роща"
"27",27,"27_рука глаз голова нога лицо"
"28",28,"28_красота видеть природа вид прелесть"
"29",29,"29_девица молодой красный старик белый"
"30",30,"30_муза певец слава лира хвала"
"31",31,"31_жизнь судьба смерть умирать рок"
"32",32,"32_волна море берег вода брег"
"33",33,"33_жизнь душа земной мир миг"
"34",34,"34_лев становиться зверь волк говорить"
"35",35,"35_два брат становиться сказать три"
"36",36,"36_цветок роза весна цвет цвести"
"37",37,"37_могила гроб земля прах лежать"
"38",38,"38_дева любовь прекрасный юный юноша"
"39",39,"39_свобода сила цепь оковы судьба"
"40",40,"40_богатый нужда хлеб отдавать деньги"
"41",41,"41_гром страшный средь страх пасть"
"42",42,"42_взор око немой улыбка чей"
"43",43,"43_ах оставлять горе бедный скоро"
"44",44,"44_вода река струя бежать ручей"
"45",45,"45_забывать прощать помнить друг последний"
"46",46,"46_сердце тоска душа грудь печаль"
"47",47,"47_другой первый иной находить меж"
"48",48,"48_отец мать сын ребенок жена"
"49",49,"49_час ждать пора прийти скоро"
"50",50,"50_толпа ум свет пускай гордый"
"51",51,"51_видеть знать никто сказать ничто"
"52",52,"52_уста око грудь кудри нега"
"53",53,"53_год время день новый проходить"
"54",54,"54_сказать князь де очень садиться"
"55",55,"55_ум иметь большой труд дело"
"56",56,"56_мечта душа сон воспоминание пора"
"57",57,"57_бог святой молитва боже вера"
"58",58,"58_любить любовь сердце знать жить"
"59",59,"59_царь народ слава великий россия"
"60",60,"60_слава народ век великий имя"
"61",61,"61_храм рука глава венец священный"
"62",62,"62_край страна родной чужой далекий"
"63",63,"63_любовь сердце надежда душа верить"
"64",64,"64_злой враг кровь смерть страшный"
"65",65,"65_стих писать поэт читать перо"
"66",66,"66_друг милый верный дружба круг"
"67",67,"67_давать хотеть воля бог сила"
"68",68,"68_день ночь утро тень прекрасный"
"69",69,"69_сказать слово говорить ответ хотеть"
"70",70,"70_враг бой меч герой брань"
"71",71,"71_конь поле степь пыль скакать"
"72",72,"72_луч небо заря солнце блистать"
"73",73,"73_зреть дух сие свет коль"
"74",74,"74_глядеть долго смотреть пора глаз"
"75",75,"75_милый сердце любовь нежный ах"
