"word","word_acc","stress_pattern","closure_pattern","closure","ending_st"
"кантемир","кантеми'р","001","1","masc","и'р"
"равнялись","равня'лись","010","10","fem","я'лись"
"блистал","блиста'л","01","1","masc","а'л"
"находился","находи'лся","0010","10","fem","и'лся"
"вечно","ве'чно","10","10","fem","е'чно"
"настанет","наста'нет","010","10","fem","а'нет"
"молодое","молодо'е","0010","10","fem","о'е"
"свиданье","свида'нье","010","10","fem","а'нье"
"стало","ста'ло","10","10","fem","а'ло"
"разлука","разлу'ка","010","10","fem","у'ка"
"пустыне","пусты'не","010","10","fem","ы'не"
"красотой","красото'й","001","1","masc","о'й"
"спокоен","споко'ен","010","10","fem","о'ен"
"врагу","врагу'","01","1","masc","гу'"
"друзьями","друзья'ми","010","10","fem","я'ми"
"друг","дру'г","1","1","masc","у'г"
"участьем","у'частьем","100","100","dactylic","у'частьем"
"слепец","слепе'ц","01","1","masc","е'ц"
"страданьем","страда'ньем","010","10","fem","а'ньем"
"молитвы","моли'твы","010","10","fem","и'твы"
"животворной","животво'рной","0010","10","fem","о'рной"
"холодной","холо'дной","010","10","fem","о'дной"
"спас","спа'с","1","1","masc","а'с"
"искупитель","искупи'тель","0010","10","fem","и'тель"
"нам","на'м","1","1","masc","а'м"
"природы","приро'ды","010","10","fem","о'ды"
"высок","высо'к","01","1","masc","о'к"
"николая","никола'я","0010","10","fem","а'я"
"приплыла","приплыла'","001","1","masc","ла'"
"ярова","я'рова","100","100","dactylic","я'рова"
"меня","меня'","01","1","masc","ня'"
"глаза","глаза'","01","1","masc","за'"
"он","о'н","1","1","masc","о'н"
"весточкой","ве'сточкой","100","100","dactylic","е'сточкой"
"дальной","да'льной","10","10","fem","а'льной"
"чужой","чужо'й","01","1","masc","о'й"
"руки","ру'ки","10","10","fem","у'ки"
"удержать","удержа'ть","001","1","masc","а'ть"
"своды","сво'ды","10","10","fem","о'ды"
"страданья","страда'нья","010","10","fem","а'нья"
"гробовой","гробово'й","001","1","masc","о'й"
"влюбленный","влюблё'нный","01'0","01'0","other","ё'нный"
"нем","не'м","1","1","masc","е'м"
"ниц","ни'ц","1","1","masc","и'ц"
"склонялась","склоня'лась","010","10","fem","я'лась"
"приснилось","присни'лось","010","10","fem","и'лось"
"берегла","берегла'","001","1","masc","ла'"
"славян","славя'н","01","1","masc","я'н"
"стены","сте'ны","10","10","fem","е'ны"
"уничтоженье","уничто'женье","00100","100","dactylic","о'женье"
"нет","не'т","1","1","masc","е'т"
"взвивался","взвива'лся","010","10","fem","а'лся"
"стрел","стре'л","1","1","masc","е'л"
"супругом","супру'гом","010","10","fem","у'гом"
"петух","пету'х","01","1","masc","у'х"
"перун","перу'н","01","1","masc","у'н"
"смелы","сме'лы","10","10","fem","е'лы"
"возлетим","возлети'м","001","1","masc","и'м"
"крылами","крыла'ми","010","10","fem","а'ми"
"удалец","удале'ц","001","1","masc","е'ц"
"оставил","оста'вил","010","10","fem","а'вил"
"бурна","бурна'","01","1","masc","на'"
"тени","те'ни","10","10","fem","е'ни"
"столицы","столи'цы","010","10","fem","и'цы"
"постановив","постанови'в","0001","1","masc","и'в"
"стадами","стада'ми","010","10","fem","а'ми"
"смущен","смущё'н","01'","01'","other","ё'н"
"лет","ле'т","1","1","masc","е'т"
"удел","уде'л","01","1","masc","е'л"
"золотые","золоты'е","0010","10","fem","ы'е"
"лугу","лугу'","01","1","masc","гу'"
"грады","гра'ды","10","10","fem","а'ды"
"вознесть","возне'сть","01","1","masc","е'сть"
"сладим","сла'дим","10","10","fem","а'дим"
"лбов","лбо'в","1","1","masc","о'в"
"кратки","кра'тки","10","10","fem","а'тки"
"век","ве'к","1","1","masc","е'к"
"части","ча'сти","10","10","fem","а'сти"
"других","други'х","01","1","masc","и'х"
"моститься","мости'ться","010","10","fem","и'ться"
"блистать","блиста'ть","01","1","masc","а'ть"
"пленяешь","пленя'ешь","010","10","fem","я'ешь"
"шум","шу'м","1","1","masc","у'м"
"простирает","простира'ет","0010","10","fem","а'ет"
"воззвать","воззва'ть","01","1","masc","а'ть"
"знал","зна'л","1","1","masc","а'л"
"озаренны","оза'ренны","0100","100","dactylic","а'ренны"
"тишиной","тишино'й","001","1","masc","о'й"
"терзают","терза'ют","010","10","fem","а'ют"
"человек","челове'к","001","1","masc","е'к"
"мученья","му'ченья","100","100","dactylic","у'ченья"
"пустотой","пустото'й","001","1","masc","о'й"
"поставляешь","поставля'ешь","0010","10","fem","я'ешь"
"вслед","всле'д","1","1","masc","е'д"
"свобода","свобо'да","010","10","fem","о'да"
"есть","е'сть","1","1","masc","е'сть"
"творенье","творе'нье","010","10","fem","е'нье"
"быть","бы'ть","1","1","masc","ы'ть"
"страсти","стра'сти","10","10","fem","а'сти"
"обладать","облада'ть","001","1","masc","а'ть"
"полный","по'лный","10","10","fem","о'лный"
"идет","идё'т","01'","01'","other","ё'т"
"нарушитель","наруши'тель","0010","10","fem","и'тель"
"слез","сле'з","1","1","masc","е'з"
"ощущаем","ощуща'ем","0010","10","fem","а'ем"
"мещет","меще'т","01","1","masc","е'т"
"наслажденье","наслажде'нье","0010","10","fem","е'нье"
"хребтам","хребта'м","01","1","masc","а'м"
"находит","нахо'дит","010","10","fem","о'дит"
"я","я'","1","1","masc","я'"
"священно","свяще'нно","010","10","fem","е'нно"
"печать","печа'ть","01","1","masc","а'ть"
"ослепленью","ослепле'нью","0010","10","fem","е'нью"
"предстал","предста'л","01","1","masc","а'л"
"мира","ми'ра","10","10","fem","и'ра"
"иметь","име'ть","01","1","masc","е'ть"
"приближаюсь","приближа'юсь","0010","10","fem","а'юсь"
"мог","мо'г","1","1","masc","о'г"
"помышлений","помышле'ний","0010","10","fem","е'ний"
"ей","е'й","1","1","masc","е'й"
"изображенье","изображе'нье","00010","10","fem","е'нье"
"глазах","глаза'х","01","1","masc","а'х"
"ветерке","ветерке'","001","1","masc","ке'"
"порфира","порфи'ра","010","10","fem","и'ра"
"познаю","познаю'","001","1","masc","аю'"
"утушать","утуша'ть","001","1","masc","а'ть"
"помышляю","помышля'ю","0010","10","fem","я'ю"
"священным","свяще'нным","010","10","fem","е'нным"
"сказала","сказа'ла","010","10","fem","а'ла"
"рукой","руко'й","01","1","masc","о'й"
"сомненье","сомне'нье","010","10","fem","е'нье"
"пал","па'л","1","1","masc","а'л"
"буду","бу'ду","10","10","fem","у'ду"
"моего","моего'","001","1","masc","го'"
"терзаться","терза'ться","010","10","fem","а'ться"
"рассуждать","рассужда'ть","001","1","masc","а'ть"
"растворяет","растворя'ет","0010","10","fem","я'ет"
"лил","ли'л","1","1","masc","и'л"
"разлученье","разлу'ченье","0100","100","dactylic","у'ченье"
"эфире","эфи'ре","010","10","fem","и'ре"
"луна","луна'","01","1","masc","на'"
"освещала","освеща'ла","0010","10","fem","а'ла"
"лучем","лу'чем","10","10","fem","у'чем"
"рукою","руко'ю","010","10","fem","о'ю"
"почивала","почива'ла","0010","10","fem","а'ла"
"глубоку","глубо'ку","010","10","fem","о'ку"
"сне","сне'","1","1","masc","не'"
"зефиры","зефи'ры","010","10","fem","и'ры"
"принося","принося'","001","1","masc","ся'"
"доволен","дово'лен","010","10","fem","о'лен"
"своим","свои'м","01","1","masc","и'м"
"праву","пра'ву","10","10","fem","а'ву"
"великаном","велика'ном","0010","10","fem","а'ном"
"рожден","рождё'н","01'","01'","other","ё'н"
"своей","свое'й","01","1","masc","е'й"
"янтарных","янта'рных","010","10","fem","а'рных"
"светлиц","светли'ц","01","1","masc","и'ц"
"растабары","растаба'ры","0010","10","fem","а'ры"
"потряслось","потрясло'сь","001","1","masc","о'сь"
"очутилась","очути'лась","0010","10","fem","и'лась"
"мной","мно'й","1","1","masc","о'й"
"корона","коро'на","010","10","fem","о'на"
"злат","зла'т","1","1","masc","а'т"
"славы","сла'вы","10","10","fem","а'вы"
"ветьвями","ве'тьвями","100","100","dactylic","е'тьвями"
"уснув","усну'в","01","1","masc","у'в"
"воззрела","воззре'ла","010","10","fem","е'ла"
"чаешь","ча'ешь","10","10","fem","а'ешь"
"ночам","ноча'м","01","1","masc","а'м"
"несчастный","несча'стный","010","10","fem","а'стный"
"внемли","вне'мли","10","10","fem","е'мли"
"доброхотство","доброхо'тство","0010","10","fem","о'тство"
"когда","когда'","01","1","masc","да'"
"чести","че'сти","10","10","fem","е'сти"
"путей","путе'й","01","1","masc","е'й"
"грому","гро'му","10","10","fem","о'му"
"строй","стро'й","1","1","masc","о'й"
"наполненну","напо'лненну","0100","100","dactylic","о'лненну"
"яд","я'д","1","1","masc","я'д"
"жрица","жри'ца","10","10","fem","и'ца"
"ненасыщенных","ненасы'щенных","00100","100","dactylic","ы'щенных"
"черты","черты'","01","1","masc","ты'"
"явилась","яви'лась","010","10","fem","и'лась"
"оглушенный","оглушё'нный","001'0","001'0","other","ё'нный"
"был","бы'л","1","1","masc","ы'л"
"царевна","царе'вна","010","10","fem","е'вна"
"своему","своему'","001","1","masc","му'"
"бросала","броса'ла","010","10","fem","а'ла"
"моей","мое'й","01","1","masc","е'й"
"поэту","поэ'ту","010","10","fem","э'ту"
"чли","чли'","1","1","masc","ли'"
"лестью","ле'стью","10","10","fem","е'стью"
"больно","бо'льно","10","10","fem","о'льно"
"сидит","сиди'т","01","1","masc","и'т"
"преступленье","преступле'нье","0010","10","fem","е'нье"
"небес","небе'с","01","1","masc","е'с"
"арбуза","арбу'за","010","10","fem","у'за"
"продаю","продаю'","001","1","masc","аю'"
"добродетель","доброде'тель","0010","10","fem","е'тель"
"мечты","мечты'","01","1","masc","ты'"
"поставлю","поста'влю","010","10","fem","а'влю"
"воли","во'ли","10","10","fem","о'ли"
"чудный","чу'дный","10","10","fem","у'дный"
"всей","все'й","1","1","masc","е'й"
"работы","рабо'ты","010","10","fem","о'ты"
"сил","си'л","1","1","masc","и'л"
"просторен","просто'рен","010","10","fem","о'рен"
"укрощает","укроща'ет","0010","10","fem","а'ет"
"набег","набе'г","01","1","masc","е'г"
"земля","земля'","01","1","masc","ля'"
"волною","во'лною","100","100","dactylic","о'лною"
"науки","нау'ки","010","10","fem","у'ки"
"главой","главо'й","01","1","masc","о'й"
"злата","зла'та","10","10","fem","а'та"
"озарена","озарена'","0001","1","masc","на'"
"державы","держа'вы","010","10","fem","а'вы"
"тебе","тебе'","01","1","masc","бе'"
"лукава","лука'ва","010","10","fem","а'ва"
"горда","горда'","01","1","masc","да'"
