,word,lemma
0,краса,краса
1,огневым,огнев
2,красавицей,красавица
3,око,око
4,силки,силок
5,стонет,стонать
6,спор,спор
7,тучи,туча
8,тумане,туман
9,сном,сон
10,твоя,твой
11,тишине,тишина
12,поймет,понимать
13,гордись,гордиться
14,чело,чело
15,скрижаль,скрижаль
16,ея,она
17,главой,глава
18,зови,звать
19,соловьем,соловей
20,утратой,утрата
21,порой,пора
22,краю,край
23,унылой,унылый
24,чудес,чудо
25,мною,я
26,мечтами,мечта
27,слетит,слетать
28,ты,ты
29,воли,воля
30,упованьем,упование
31,лукаво,лукаво
32,исполненье,исполнение
33,мной,я
34,забывалась,забываться
35,ночь,ночь
36,посмотри,посмотреть
37,хорош,хороший
38,тронь,тронуть
39,рук,рука
40,любовь,любовь
41,паренёк,паренек
42,раз,раз
43,миг,миг
44,селянина,селянин
45,мой,мой
46,друг,друг
47,дарами,дар
48,позабудь,позабывать
49,небеса,небо
50,золотые,золотой
51,вековой,вековой
52,конрад,конрад
53,схватке,схватка
54,плеч,плечо
55,покой,покой
56,рассуждает,рассуждать
57,отслужил,отслуживать
58,пустыне,пустыня
59,проберусь,пробираться
60,стуле,стул
61,сидит,сидеть
62,ничего,ничего
63,супруге,супруга
64,беда,беда
65,погубила,погубить
66,тобой,ты
67,нам,мы
68,решиться,решаться
69,стерпеть,стерпеть
70,грешна,грешный
71,отворяю,отворять
72,запал,западать
73,ждать,ждать
74,рассуждаешь,рассуждать
75,дверь,дверь
76,спасай,спасать
77,нужно,нужно
78,крючков,крючок
79,жена,жена
80,помешало,помешать
81,заблестел,заблестеть
82,закрыв,закрывать
83,благородный,благородный
84,злодей,злодей
85,одет,одевать
86,гробницу,гробница
87,два,два
88,ней,она
89,баронов,барон
90,молодой,молодой
91,горят,гореть
92,похоронном,похоронный
93,гром,гром
94,гостям,гость
95,разъезжаться,разъезжаться
96,доски,доска
97,пустых,пустой
98,час,час
99,завыла,завыть
100,чужую,чужой
101,вскочил,вскакивать
102,зажигает,зажигать
