"word","word_acc","stress_pattern","closure_pattern","closure","pos","feats","ending_st"
"краса","краса'","01","1","masc","S","S,жен,неод=им,ед","са'"
"огневым","огневы'м","001","1","masc","S","S,фам,муж,од=(дат,мн|твор,ед)","ы'м"
"красавицей","краса'вицей","0100","100","dactylic","S","S,жен,од=твор,ед","а'вицей"
"око","о'ко","10","10","fem","S","S,сред,неод=(вин,ед|им,ед)","о'ко"
"силки","силки'","01","1","masc","S","S,муж,неод=(вин,мн|им,мн)","ки'"
"стонет","сто'нет","10","10","fem","V","V,несов,нп=непрош,ед,изъяв,3-л","о'нет"
"спор","спо'р","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'р"
"тучи","ту'чи","10","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","у'чи"
"тумане","тума'не","010","10","fem","S","S,муж,неод=пр,ед","а'не"
"сном","сно'м","1","1","masc","S","S,муж,неод=твор,ед","о'м"
"твоя","твоя'","01","1","masc","APRO","APRO=им,ед,жен","оя'"
"тишине","тишине'","001","1","masc","S","S,ед,жен,неод=(пр|дат)","не'"
"поймет","поймё'т","01","1","masc","V","V=непрош,ед,изъяв,3-л,сов","ё'т"
"гордись","горди'сь","01","1","masc","V","V,несов,нп=ед,пов,2-л","и'сь"
"чело","чело'","01","1","masc","S","S,сред,неод=(вин,ед|им,ед)","ло'"
"скрижаль","скрижа'ль","01","1","masc","S","S,жен,неод=(вин,ед|им,ед)","а'ль"
"ея","ея'","01","1","masc","SPRO","SPRO,ед,3-л,жен=(устар,вин|устар,род)","ея'"
"главой","главо'й","01","1","masc","S","S,жен,неод=твор,ед","о'й"
"зови","зови'","01","1","masc","V","V,несов,пе=ед,пов,2-л","ви'"
"соловьем","соловьё'м","001","1","masc","S","S,муж,од=твор,ед","ё'м"
"утратой","утра'той","010","10","fem","S","S,жен,неод=твор,ед","а'той"
"порой","поро'й","01","1","masc","S","S,жен,неод=твор,ед","о'й"
"краю","кра'ю","10","10","fem","S","S,муж,неод=(дат,ед|местн,ед)","а'ю"
"унылой","уны'лой","010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","ы'лой"
"чудес","чуде'с","01","1","masc","S","S,сред,неод=род,мн","е'с"
"мною","мно'ю","10","10","fem","SPRO","SPRO,ед,1-л=твор","о'ю"
"мечтами","мечта'ми","010","10","fem","S","S,жен,неод=твор,мн","а'ми"
"слетит","слети'т","01","1","masc","V","V,нп=непрош,ед,изъяв,3-л,сов","и'т"
"ты","ты'","1","1","masc","SPRO","SPRO,ед,2-л=им","ты'"
"воли","во'ли","10","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","о'ли"
"упованьем","упова'ньем","0010","10","fem","S","S,сред,неод=твор,ед","а'ньем"
"лукаво","лука'во","010","10","fem","ADV","ADV=","а'во"
"исполненье","исполне'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
