"","source_id","type","class","book_title","city","publisher","year","volume","issue","n_texts","total_pages"
"1","C_101","book","col -- lyr","Сочинения Дмитрия Кашкина: В 3 т. Т. 1","М.","Степанова",1836,"","",47,"468"
"2","C_1027","book","col -- lyr","Стихотворения Н. Кожухова","М.","Ун. тип",1835,"","",5,"24"
"3","C_107","book","col -- lyr","Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","СПб.","Вингебера",1836,"","",17,"73"
"4","C_111","book","col -- lyr","Стихотворения Алексея Мейснера","М.","Семена",1836,"","",106,"270"
"5","C_112","book","col -- lyr","Кальян. Стихотворения Полежаева / Изд. 2","М.","Ун. тип",1838,"","",16,"131"
"6","C_113","book","col -- lyr","Песни, романсы и стихотворения А.П. / Изд. 2","М.","Кирилова",1836,"","",39,"95"
"7","C_114","book","col -- lyr","Время не праздно. Стихотворения крестьянина М. Суханова","СПб.","Вингебера",1836,"","",62,"112"
"8","C_115","book","col -- lyr","Мои сельские досуги","СПб.","Вингебера",1836,"","",70,"110"
"9","C_117","book","col -- lyr","Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","СПб.","Гутенбергова тип.",1836,"","",21,"194"
"10","C_118","book","col -- lyr","Стихотворения Христофора Тростина","М.","Ун. тип",1836,"","",10,"32"
"11","C_121","book","alm -- ","Маскерад. Подарок прекрасному полу на 1837 год","СПб.","Гинце",1836,"","",9,"35"
"12","C_122","book","col -- lyr","Мечты при луне. Стихотворения","М.","Кирилова",1836,"","",21,"27"
"13","C_124","book","col -- lyr","Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]","Харьков","Ун. тип",1836,"","",31,"284"
"14","C_125","book","alm -- ","Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","СПб.","Крылова",1836,"","",27,"206"
"15","C_128","book","col -- lyr","Басни Михайла Майкова","Ярославль","Губ. правления",1836,"","",12,"30"
"16","C_1292","book","sep -- lyr","Ек... Ив... Б.л.г.в.кой : Стихотворение","СПб.","Штаба отд. корп. внутр. стражи",1840,"","",1,"4"
"17","C_131","book","col -- lyr","Литературные занятия","СПб.","Акад. наук",1836,"","",25,"252"
"18","C_141","book","col -- lyr","Стихи Е. Бернета","СПб.","Снегирева",1837,"","",41,"167"
"19","C_142","book","col -- lyr","Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","М.","Селивановского",1837,"","",12,"242"
"20","C_143","book","col -- lyr","И моя доля в сонетах. В 2 ч. Соч. Бутырского","СПб.","Вингебера",1837,"","",51,NA
"21","C_144","book","col -- lyr","Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","СПб.","Вингебера",1837,"","",46,"154"
"22","C_145","book","col -- lyr","Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","СПб.","Вингебера",1837,"","",51,"186"
"23","C_149","book","col -- lyr","Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","СПб.","Вингебера",1837,"","",10,"31"
"24","C_151","book","sep -- lyr","Ксантиппа : Экспромт : [В стихах]","СПб.","Морск. тип.",1837,"","",1,"4"
"25","C_153","book","col -- lyr","Стихотворения Виктора Кашаева","М.","Кирилова",1837,"","",20,"43"
"26","C_154","book","col -- lyr","Поэтические произведения А. Мартынова. В 3-х кн.","СПб.","Вингебера",1837,"","",57,"249"
"27","C_156","book","col -- lyr","Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","СПб.","А. Смирдина, И. Глазунова и Ко",1837,"","",47,"174"
"28","C_163","book","col -- lyr","Опыты. В 3 ч. Ч. 1. [Стихотворения]","СПб.","Н. Глазунова",1837,"","",6,"347"
"29","C_169","book","alm -- ","Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","СПб.","Воен. тип.",1838,"","",30,"352"
"30","C_173","book","col -- lyr","Мои пенаты: Стихотворения Пустельгина","СПб.","Крайя",1837,"","",4,"32"
"31","C_175","book","col -- lyr","Стихотворения молодого Черкеса","М.","Ун. тип",1837,"","",8,"20"
"32","C_180","book","col -- lyr","Цевница, на 1837 год. Соч. Шаршавого (Альманах)","СПб.","Вингебера",1837,"","",16,"206"
"33","C_190","book","col -- lyr","Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","СПб.","III Отд. собств. Е.И.В. канц.",1838,"","",28,"354"
"34","C_192","book","col -- lyr","Стихотворения Александра Вердеревского","М.","Степанова",1838,"","",23,"65"
"35","C_194","book","alm -- ","Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","СПб.","Фишера",1838,"","",43,"384"
"36","C_195","book","col -- lyr","Разные разности. Стихотворения М. Демидова","М.","Семена",1838,"","",40,"119"
"37","C_197","book","sep -- lyr","Взгляд на поэзию Феофила Доброхотова","М.","Семена",1838,"","",1,"24"
"38","C_200","book","col -- lyr","Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","М.","Кирилова",1838,"","",1,"21"
"39","C_202","book","col -- lyr","Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова / Изд. 3-е","СПб.","Глазунова",1838,"","",11,"36"
