"","text_id","source_id","A_ID","text_title","text_subtitle","first_line","text_page","corpus","n_lines","meter","feet"
"1","P_1","Per_1","","Солдатская песня","","Ох жизнь, молодецкая","C. 46","per",38,"Other","?"
"2","P_10","Per_2","A_50","Молния","","Зачем с небесной высоты","C. 21","per",16,"Iamb","3"
"3","P_100","Per_3","A_7","Ночлег чумаков","Сельские картины","В близи дороги столбовой","C. 9-12","per",98,"Iamb","4"
"4","P_1000","Per_4","A_41","Утешитель","","О чем грустишь так неутешно","C. 172-174","per",77,"Iamb","4"
"5","P_1001","Per_4","A_139","Город","","Движим думою чудесной","C. 175-176","per",28,"Trochee","4"
"6","P_1002","Per_4","A_11","К женщине-поэту","","Я слушал вас… я прочитал","C. 177","per",12,"Iamb","4"
"7","P_1003","Per_4","A_163","Мотылек","","Горит и красуется пышное лето","C. 178-179","per",44,"Other","?"
"8","P_1004","Per_4","A_41","Картина востока","","В пустыне виден людный град","C. 180-181","per",25,"Iamb","4"
"9","P_1005","Per_4","A_139","Старость","","Нет, это не старик, кто жизнь свою годами","C. 182-183","per",31,"Iamb","6"
"10","P_1006","Per_4","A_154","Итальянская villa","","И распростясь с тревогою житейской","C. 184-185","per",28,"Iamb","5"
"11","P_1007","Per_4","A_192","Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября","","Надежда будущих времен","C. 186-190","per",100,"Iamb","4"
"12","P_1008","Per_5","A_153","На памятник Сусанину","","Тебе ль чугун, тебе ли мрамор ставить","C. 179","per",16,"Iamb","v"
"13","P_1009","Per_5","A_161","На могиле Лели","","И вот ее прекрасное чело","C. 180","per",17,"Iamb","v"
"14","P_101","Per_3","A_113","Витязь","","Скажи мне, витязь, что твой лик","C. 12-14","per",60,"Iamb","4"
"15","P_1010","Per_5","A_154","Смотри, как запад разгорелся","","Смотри, как запад разгорелся","C. 181","per",8,"Iamb","4"
"16","P_1011","Per_5","","Освободительница","","Я в Мае утром рано встала","C. 182-184","per",56,"Iamb","4"
"17","P_1012","Per_5","A_191","Кольцо","Николаю Андреевичу Зарудному","В отдаленности глубокой","C. 187-191","per",114,"Trochee","4"
"18","P_1013","Per_5","A_50","Два мгновения","","Есть два блаженные мгновенья","C. 192-193","per",22,"Iamb","4"
"19","P_1014","Per_5","A_11","Опричник","Отрывок","Какая ночь! мороз трескучий","C. 194-195","per",35,"Iamb","4"
"20","P_1015","Per_5","A_7","Великое слово","Дума. Василию Андреевичу Жуковскому","Глубокая вечность","C. 196-198","per",58,"Amphibrach","2"
"21","P_1016","Per_6","A_153","К равнодушной","","Скажи, красавица жестокая моя","C. 76-78","per",67,"Iamb","6"
"22","P_1017","Per_6","A_242","Сонет Мильтона","","Когда придет мне в мысль, что я лишен очей","C. 79","per",14,"Iamb","6"
"23","P_1018","Per_6","A_170","К Венере Медицейской","","Богиня красоты, любви и наслажденья","C. 82-84","per",66,"Iamb","663"
"24","P_1019","Per_6","A_221","Друг, оседлай","","Друг! оседлай могучего орла","C. 85","per",15,"Iamb","v"
"25","P_102","Per_3","A_231","Бессмертие","","Чего всю жизнь достигнуть тщитесь","C. 14-16","per",64,"Iamb","4"
"26","P_1020","Per_6","A_50","За днями дни текут","","За днями дни текут обычной чередою","C. 86","per",8,"Iamb","6"
"27","P_1021","Per_6","","Алупка","","Девы! Севера родного","C. 87-88","per",24,"Trochee","4"
"28","P_1022","Per_6","A_242","К женщине","","Когда ты, женщина, предавшись обольщенью","C. 89","per",8,"Iamb","6"
"29","P_1023","Per_6","A_4","Надгробие младенцу","","Матери, общей нам всем, поручаю твой прах, мой младенец","C. 90","per",4,"Other","?"
"30","P_1024","Per_6","A_154","Арфа Скальда","","О, арфа Скальда! долго ты спала","C. 91","per",12,"Iamb","5"
"31","P_1025","Per_6","A_7","К милой","","Давно расстались мы с тобою","C. 92-93","per",28,"Iamb","4"
"32","P_1026","Per_7","A_166","Воскресное утро","Перевод из Францена","Какая всюду тишина","C. 18-20","per",60,"Iamb","4"
"33","P_1027","Per_7","A_166","","Перевод из Тегнера","Он скитался вокруг по пустынным морям","C. 27-29","per",48,"Anapest","other"
"34","P_1028","Per_7","A_166","Жалоба девы","Перевод из Рунеберга","Сердце! сердце! если б ты, тревожное","C. 44","per",12,"Trochee","v"
"35","P_1029","Per_7","A_166","Времена года в сердце девушки","Перевод из Рунеберга","Зимним утром вышла девица","C. 45","per",15,"Trochee","4"
"36","P_103","Per_3","A_143","Послание к другу","","Мой друг! куда, в какие воды","C. 155-160","per",183,"Iamb","4"
"37","P_1030","Per_7","A_166","Диво-птица","Перевод из Рунеберга","В хату сын пришел из поля на ночь","C. 45-48","per",84,"Trochee","5"
"38","P_1031","Per_7","A_166","Пленники","Перевод из Рунеберга","Как со дна реки, с песчаного","C. 49-50","per",32,"Other","?"
"39","P_1032","Per_8","A_151","Песнь русского","","Святую Русь и Белого Царя","C. 165","per",12,"Iamb","54"
"40","P_1033","Per_8","A_154","Весна","","Как ни гнетет рука судьбины","C. 169-170","per",40,"Iamb","4"
"41","P_1034","Per_8","A_51","Люблю","","Люблю я пламенные очи","C. 171-172","per",20,"Iamb","4"
"42","P_1035","Per_8","A_50","Девице-поэту","","Восторгов чистых, дум прекрасных","C. 173-174","per",36,"Iamb","4"
"43","P_1036","Per_8","A_4","Марии Д***с","","Дарами благими всещедрой рукою","C. 175","per",8,"Amphibrach","4"
"44","P_1037","Per_8","A_11","Путешенственнику","","Судьба на руль уже склонилась","C. 176","per",14,"Iamb","4"
"45","P_1038","Per_8","A_229","Сонет","","С тоской и полный грустных размышлений","C. 177","per",14,"Iamb","5"
"46","P_1039","Per_8","A_257","И как светло","","И как светло, и как прекрасно","C. 178-179","per",20,"Iamb","4"
"47","P_104","Per_3","A_220","Минувшая юность","Из Виктора Гюго","Воспоминанием отрадно вдохновенный","C. 160-161","per",26,"Iamb","v"
"48","P_1040","Per_8","A_77","Редкие мгновения","","Минуты есть: в душе благоговенье","C. 180","per",16,"Iamb","5"
