"","author","source","number_of_texts"
"1","Аблесимов А. А.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",12
"2","Алмазов Б. Н.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",11
"3","Аммосов А. Н.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",4
"4","Анастасевич В. Г.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",3
"5","Апухтин А. Н.","А. Н. Апухтин. Полное собрание стихотворений. Библиотека поэта. Большая серия. Изд. третье. -- Л.: Советский писатель, 1991",188
"6","Аргамаков А. В.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",3
"7","Арцыбашев Н. С.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",2
"8","Ахшарумов Д. Д.","Поэты-петрашевцы. Библиотека поэта. Третье издание. -- М.-Л.: Советский писатель, 1966",8
"9","Бакунин А. М.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",5
"10","Баласогло А. П.","Поэты-петрашевцы. Библиотека поэта. Третье издание. -- М.-Л.: Советский писатель, 1966",5
"11","Баратынский Е. А.","Баратынский Е. А. Полное собрание стихотворений: В 2 т. -- Л.: Сов. писатель, 1936. -- (Б-ка поэта).Т. 2. -- 1936",7
"12","Баратынский Е. А.","Баратынский Е. А. Полное собрание стихотворений: В 2 т. Л.: Сов. писатель, 1936. -- (Б-ка поэта). Т. 1. -- 1936",232
"13","Барков И. С.","И. С. Барков. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- СПб.: Академический проект, 2004",21
"14","Батеньков Г. С.","А. А. Илюшин. Поэзия декабриста Г. С. Батенькова. -- М.: Издательство Московского университета, 1978, правка по Шапир М. И. Феномен Батенькова и проблема мистификации: Лингвостиховедческий аспект // Philologica. Т. 4. М., 1997, Philologica. Т. 5. М., 1998",2
"15","Батюшков К. Н.","Батюшков К. Н.,Полное собрание стихотворений",170
"16","Бахтин И. И.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",2
"17","Бахтурин К. А.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",13
"18","Бенедиктов В. Г.","В. Г. Бенедиктов. Стихотворения. -- Л.: Советский писатель, 1939. (Библиотека поэта. Большая серия)",259
"19","Беницкий А. П.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",4
"20","Беницкий А. П.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",27
"21","Берг Н. В.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",27
"22","Берг Ф. Н.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",13
"23","Бернет Е.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",23
"24","Бестужев-Марлинский А. А.","А. А. Бестужев-Марлинский. Собрание стихотворений. -- Библиотека поэта. -- Москва: Советский писатель, 1948",38
"25","Бобрищев-Пушкин П. С.","Поэзия небес. Выпуск второй. Том I. -- СПб.: Библия для всех, 2001",2
"26","Бобров С. С.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",23
"27","Богданов В. И.","Поэты «Искры». Библиотека поэта. -- Л.: Советский писатель, 1987",16
"28","Богданович И. Ф.","И. Ф. Богданович. Стихотворения и поэмы. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1957",88
"29","Борн И. М.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",15
"30","Бунина А. П.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",9
"31","Буренин В. П.","Поэты «Искры». Библиотека поэта. -- Л.: Советский писатель, 1987",13
"32","Буринский З. А.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",3
"33","Бухарский А. И.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",3
"34","Бухарский А. И.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",2
"35","Варакин И. И.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",3
"36","Вейнберг П. И.","Поэты «Искры». Библиотека поэта. -- Л.: Советский писатель, 1987",18
"37","Вельтман А. Ф.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",21
"38","Веневитинов Д. В.","Д. В. Веневитинов. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1960",43
"39","Воейков А. Ф.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",10
"40","Воейков А. Ф.","Поэты-сатирики конца 18 -- начала 19 в. Библиотека поэта",3
"41","Волков А. Г.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",23
"42","Востоков А. Х.","А. Востоков. Стихотворения. Библиотека поэта (малая серия). -- Л.: Советский писатель, 1936",17
"43","Востоков А. Х.","А. Х. Востоков. Стихотворения. Библиотека поэта. -- Л.: Советский писатель, 1936",8
"44","Востоков А. Х.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",33
"45","Вышеславцев М. М.","Поэзия небес. Выпуск второй. Том I. -- СПб.: Библия для всех, 2001",18
"46","Вяземский П. А.","П. А. Вяземский. Стихотворения. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1986",318
"47","Габбе П. А.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",3
"48","Гагарин П. Г.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",6
"49","Глинка С. Н.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",8
"50","Глинка Ф. Н.","Ф. Глинка. Стихотворения. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1957",41
"51","Гнедич Н. И.","Н. И. Гнедич. Стихотворения. Большая серия. Второе издание. -- Л.: Советский писатель, 1956",71
"52","Голенищев-Кутузов П. И.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",4
"53","Гольц-Миллер И. И.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",15
"54","Грамматин Н. Ф.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",16
"55","Гребенка Е. П.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",14
"56","Греков Н. П.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",17
"57","Грибоедов А. С.","А. С. Грибоедов. Сочинения. М., «Художественная литература», 1988",26
"58","Григорьев А. А.","Аполлон Григорьев. Стихотворения, поэмы, драмы. Спб., «Академический проект», 2001",175
"59","Григорьев В. Н.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",24
"60","Губер Э. И.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",34
"61","Давыдов Д. В.","Д. Давыдов. Стихотворения. Библиотека поэта. Большая серия. Издание второе. -- Л. Советский писатель, 1984",94
