"","id","id_st","text","meter"
"1","P_10","P_10_1","Заче'м с небе'сной высоты',
Из го'рнего жилья',
На ло'не бу'ри мчи'шься ты,
Громо'вая струя'...
По не'бу ре'ешь и бра'здишь
Сгуще'нны облака',
И, до'лу па'дая, рази'шь
Жили'ще бедняка'?","iamb"
"2","P_10","P_10_2","Заче'м, пронза'я ду'шу мне,
Её терза'ешь ты,
Подо'бно Зевсово'й стреле'.
Поэ'зия мечты'...
Не озаря'ешь жи'зни путь,
Как мо'лния лети'шь,
Сверка'ешь, па'даешь на грудь
И се'рдце пепели'шь.
","iamb"
"3","P_100","P_100_1","Вблизи' доро'ги столбово'й
Ночу'ет та'бор кочево'й
Сыно'в Украи'ны приво'льной.
В сте'пи и па'смурно и тёмно:
Ни звёзд блестя'щих, ни луны'
На не'бе нет; и тишины'
Ночно'й никто' не наруша'ет;
Вся степь роско'шно почива'ет, -
Лишь у прое'зжих чумако'в
Ого'нь гори'т ме'жду возо'в.
Стари'к разде'тый, борода'тый,
Гото'вя у'жин небога'тый,
Поджа'вшись на нога'х, сиди'т
И ка'шу с са'лом кипяти'т.
За та'бором невдалеке'
Волы' уста'лые пасу'тся;
Они' нике'м не стерегу'тся.
Беспе'чно пред огнём в кру'жке,
Хохлы' чума'зые, седы'е,
С уса'ми хло'пцы молоды'е,
Простёршись на траве' лежа'т
И вдаль неве'село глядя'т.
Чем чумако'в прогна'ть дремо'ту?
Давно' ль утра'тили охо'ту
Они' петь пе'сни старины'?
Чем ны'не так развлечены'?
Быва'ло, ча'сто, но'чью тёмной
Я с ни'ми вре'мя разделя'л
И по'мню, пе'сням их внима'л
С како'й - то ра'достью нево'льной.
Вот раздала'сь игра' свире'ли,
Вот ти'хо под свире'ль запе'ли
Они' про жизнь свои'х де'дов,
Укра'йны до'блестной сыно'в.
И как те пе'сни се'рдцу ми'лы!
Как вырази'тельны, уны'лы,
Протя'жны, зву'чны и полны'
Пре'даньями родно'й страны'!","iamb"
"4","P_100","P_100_2","Но что, украи'нцы, они'
Всё отзыва'ются печа'лью?
Да'вным - давно' прошли' те дни,
Когда' у вас, блиста'я ста'лью,
Шуме'л раздо'ра бу'йный глас
И кровь пото'ками лила'сь.
Давно' прошли' те времена';
Везде' царе'ет тишина'
Под ски'птром Ру'сского правле'нья,
И край ваш — край тепе'рь весе'лья.
Люби'мый, саморо'дный труд
Неу'жли да'вит ва'шу грудь?
Вы чумаку'ете по во'ле:
Чего' ж ещё жела'ть вам бо'ле?","iamb"
"5","P_100","P_100_3","Я познако'мился со све'том...
И е'сли бы... да в до'брый час!..
Гото'в оста'ться я у вас!
Гото'в чумакова'ть всё ле'то.
Там, дру'ги, не живёт весе'лье,
Где мно'го слов про наслажде'нье,
Там для него' душа' мертва',
Как на сухо'й степи' трава'.
Жива'л в больши'х я города'х;
Быва'л на ва'ших хутора'х;
И замеча'л, где как живу'т,
Что го'рем, что до'бром зову'т;
С како'ю це'лью век тру'дятся,
К чему' и те и те стремя'тся;
Узна'л, вздохну'... и для меня'
Прия'тно в до'ждик обсуши'ться
У вас под бу'ркой, близ огня',
Под во'зом от грозы' укры'ться;
Прия'тно ка'шу есть суху'ю,
Укра'йны слу'шать речь просту'ю,
Беспе'чно вре'мя проводи'ть.
На во'ле лю'бо, бра'тцы, жить!
В степя'х я го'род забыва'ю,
Душо'й и се'рдцем отдыха'ю.
У вас всё бра'тски; хороша'
Бесе'да ва'ша, беспри'творна.
Где ты, прекра'сная душа',
Свое'й приро'де так поко'рна?..
Что слободско'й ва'ша атама'н?
Что ши'тый шёлковый кафта'н?
Камо'ры, по'лные,без счёту
Снаря'дов ра'зных, серебра',
Когда' в них и'скры нет добра'?
Поки'ньте, бра'тцы, вы охо'ту
Меня'ться сча'стием свои'м,
Меня'ться сте'пию широ'кой
И продово'льствием просты'м:
Блиста'ет со'лнышко далёко!..","iamb"
"6","P_100","P_100_4","Тут речь уны'ла пре'рвана
Гото'вой ка'шею просто'й;
Они' в кружо'к; шуми'т страна';
Усе'лись на траве' густо'й.
Луна' из о'блак выплыва'ет,
Споко'йный та'бор озаря'ет,
И све'тлых звёзд не миллио'н
На них гляди'т со всех сторо'н.
","iamb"
"7","P_1000","P_1000_1","О чем грусти'шь так неуте'шно?
Утра'ченных стяжа'ний жаль?...
На'что стяжа'нье челове'ку?
Ничто' непро'чно под луно'й.
Мы же'ртвы слу'чаев вражде'бных :
Придёт война' — и все на - дым ;
И жа'тву сни'мет, кто не се'ял;
И вы'рвет, кто не насади'л;
И в погре'ба за на'шим зла'том
Войду'т без спро'са, без ключе'й.
Но ничего' , я ско'лько зна'ю ,
Нет без причи'ны на земле'.
Боле'знь не из земли' выхо'дит.
И вся'кий челове'к на скорбь
Рождён, как пти'ца, на лета'нье...
Но, друг, будь добр! Но, друг, крепи'сь!
Име'й на Бо'га упова'нье:
Пред Ним смири'сь, Ему' моли'сь!
О Нем моё возвы'шу сло'во:
Он ди'вен, Он вели'к Госпо'дь;
Он дождь пусты'ням посыла'ет
И утоля'ет зной песко'в;
Он высоко' ведёт поко'рных
И Сам рассла'бленных це'лит;
Одно'й руко'ю порази'т,
Друго'ю перевя'жет ра'ну
Как о'пытный и до'брый врач.
Он осяза'ет мы'сли зло'бных
И их уме'ет облича'ть:
Пуска'й уду'мают, зате'ют;
Пусть вта'йне ко'зни их созре'ют —
Он я'рко пра'вдою блеснёт,
И ложь и та'йны их сожжёт.
О, Он уме'ет все предви'деть
И так ловя'щих улови'ть,
Что и разу'мники в безу'мье
Бегу'т как де'ти! Ча'сто им
И днем темно', и в по'лдень я'сный
Они' чуть о'щупью бреду'т.
Но Он же ни'щего хоро'нит
От уязвле'ний языка',
От зло'стных уст клеветника' —
И мо'щная Его' рука'
Чуде'сно сла'бого уво'дит
Из рук наси'лия. И Сам
Он сторожи'т над беззащи'тным.
Блажён, кого' кара'ет Бог!
Не отверга'й кара'ний Бо'га:
Они' к высо'кому веду'т.
В руке' его' гроза' и ла'ска:
Он и возьмёт и возврати'т.
Шесть раз из бед вели'ких вы'нет —
В седьмо'й к тебе' не пу'стит зла;
В час гла'да сбережёт от сме'рти,
В бою' засло'нит от мече'й,
И ты пройдёшь среди' зара'зы,
По тру'пам па'дших ты пройдёшь...
Он так скрепи'ть уме'ет се'рдце,
Что, ско'лько б бед ни налегло',
Како'е б ни пости'гло го'ре,
В глуши' лесо'в, в стра'нах чужи'х,
Все бу'дет челове'к как до'ма:
Куда' пусты'ней ни пойдёт,
Но'ги о ка'мень не пре'пнет,
И ди'кий зверь его' не тро'нет,
И я'ркий зной не опали'т;
Он хлеб найдёт свой повсеме'стно,
И ста'нет жизнь ему' легка',
И бу'дет он как гость в бесе'де
У жи'зни на пи'ру гости'ть
И прохлажда'ться на поко'е...
В его' оча'х и на уста'х
Уви'дят все самодово'льство;
И бу'дет он как по'лный класс
На ни'ве жи'зни до'лго , до'лго ,
Доко'ле, с че'стию, его'
Поло'жат в жи'тницу Госпо'дню.
","iamb"
"8","P_1001","P_1001_1","Дви'жим ду'мою чуде'сной,
""Здесь"", Он мо'лвил ""бу'дет град ,
Украше'нье поднебе'сной
И Москвы' держа'вный брат!""","trochee"
"9","P_1001","P_1001_2","Чу'до! Во'лю полубо'га
По'нял до'блестный наро'д,
И Евро'пы у поро'га
Из лесо'в и из боло'т","trochee"
"10","P_1001","P_1001_3","Встал краса'вец полу'ночи
На земле' получужо'й,
Го'рдо гля'нул ми'ру в о'чи,
Опоя'сался Нево'й.","dolnik3"
"11","P_1001","P_1001_4","И у ног его' серди'то
Во'лны Фи'нския кипя'т ;
Весь он в ла'тах из грани'та
С головы' до са'мых пят.","trochee"
"12","P_1001","P_1001_5","Де'ржит он в руке' могу'чей
Богаты'рское копьё,
И гори'т его' за ту'чей
Золото'е остриё.","trochee"
"13","P_1001","P_1001_6","Дря'хлый мир ему' диви'тся,
Сам спеши'т по ло'ну вод
Исполи'ну поклони'ться ,
И дары' поко'рно шлет.","trochee"
"14","P_1001","P_1001_7","Так - то во'лею чуде'сной
Со'здан Им могу'чий град,
Украше'нье поднебе'сной
И Москвы' держа'вный брат.
","trochee"
"15","P_1002","P_1002_1","Я слу'шал вас... я прочита'л
Сии' небре'жные созда'нья,
Где ва'ши то'мные мечта'нья
Боготворя'т свой идеа'л.","iamb"
"16","P_1002","P_1002_2","Я пил отра'ву в ва'шем взо'ре,
В испо'лненных ду'ши черта'х ,
И в ва'шем ми'лом разгово'ре,
И в ва'ших пла'менных стиха'х.","iamb"
"17","P_1002","P_1002_3","Сопе'рницы заве'тной ро'зы
Блажён бессме'ртный идеа'л!
Сто`кра'т блажён, кто ей внуша'л
Еди'ный стих и мно'го про'зы!
","iamb"
"18","P_1003","P_1003_1","
Гори'т и красу'ется пы'шное ле'то;
Все в зе'лень и в пу'рпур и в зла'то оде'то ,
Все по'лною жи'знью роско'шно цветёт.
А там, посмотри'те, на ве'тке крапи'вной
Уро'дливый червь, бледноже'лтый, лени'во
С листка' на листо'чек ползёт,
И жа'дно безвку'сные ли'стья съеда'я.
Роди'мой крапи'вы свое'й не броса'я ,
Споко'йно на ве'тке живёт.","amphibrach"
"19","P_1003","P_1003_2","
Но пролете'ло ско'ро ле'то ,
И о'сень ску'чная пришла'.
Приро'да мра'чная разде'та.
На опусте'лые по'ля
Пове'ял ве'тер — и мете'ли
По ро'щам гру'стно зашуме'ли;
Треща'т моро'зы, и сама'
К нам в го'сти жа'лует зима'.
Все ме'ртво в стра'шную годи'ну;
И заверну'вшись в паути'ну.
Примёрз, укры'вшись под листо'к,
К роди'мой ве'тке червячо'к.","iamb"
"20","P_1003","P_1003_3","
Вот весе'нний ве'тер ве'ет,
Чист и я'сен свод небе'с,
И души'сто зелене'ет
Молодо'й, кудря'вый лес ;
Разверну'лся луг цвета'ми,
Зажурча'л опя'ть руче'й ,
И опя'ть ме'жду куста'ми,
Бу'дто Пу'шкина стиха'ми,
Хва'лит Бо'га солове'й!...","dolnik3"
"21","P_1003","P_1003_4","Лучь живи'тельной денни'цы
И в черве', в его' темни'це,
Жизнь прекра'сную зажёг.
Час наста'л преображе'нья,
И из мра'ка заточе'нья
Вы'шел све'тлый мотылёк !
Цве'том ра'дуги сверка'я ,
Пы'шно кры'лья разверну'л ,
Встрепену'лся и порхну'л ,
В си'нем во'здухе игра'я!...
Как ото'рванный цвето'к ,
Он несётся над луга'ми.
Он кру'жится над вода'ми
И преле'стен и лёгок!...
","trochee"
"22","P_1004","P_1004_1","В пусты'не ви'ден лю'дный град:
Там де'ется ме'на и ку'пля ;
Шуми'т на то'ржище толпа'.
Вот дли'нной ше'ей помава'ет
Верблю'д — живо'й кора'бль пусты'нь —
И ро'ет зе'млю конь игри'вый
Под ста'тным, сму'глым седоко'м,
И с перелётным ветерко'м
Игра'ют ко'смы чёрной гри'вы;
Наду'лись но'здри, и в оча'х
Гори'т како'й - то пла'мень ди'кой ;
И тут же, сми'рная, сто'ит
Осло'в навью'ченных стани'ца.
Пленя'ют тка'ни пестрото'й;
Цвета' люби'мые в пусты'ни —
Багря'ный, я'рко - жёлтый, си'ний ,
В изде'льях ра'дужных горя'т;
Купцы' их це'нность выхваля'ют;
И ве'ет то'нкий арома'т
От ми'рры, а'мбры и ало'я.
Купцы' Осма'нские купца'м
Савве'йским продаю'т бальза'м,
Мю'скат и ла'дан благово'нный ;
И все шуми'т; везде' расчёт ;
Град поло'н жи'зни...
","iamb"
