text_ID	txt_raw	A_ID	Author_Initials	Text_title	First_line.x	PER_ID	Year	Vol	Num	Pages	Subtitle	Author_sign	Author_full_name	Author_birth	Author_death	RP_biography	first_line	Unnamed..0	path	author	dub	original	language	header	cyclus	liber	created	start	end	exact	sphere	genre_fi	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	subcorpus	meter	feet	clausula	strophe	gr_strophe	rhyme	formula	extra	verses	location	location_normalized	paths_tidy	diff	year	year_start	First_line.y
P_6	NA	NA	NA	Вечер	Уже догорало	Сев_пч	1835	NA	108	429	NA	NA	NA	NA	NA	NA	Ужедогорало	8934	xix/miatlev/miat-009	И. П. Мятлев	NA			Вечер : «Уже догорало...»			1834	1834	NA		художественная	стихотворение	н-возраст	н-уровень	большая	И. П. Мятлев. Стихотворения. Библиотека поэта. -- Л.: Советский писатель, 1969					поэтический	Аф	регулярная : 2+2+2+2+2+2+4	ж	7		сложная : абв аабв	Аф2ж...ж+Аф4ж		42			texts_plain/xix/miatlev/miat-009.txt	0	1834	1834	Ужедогорало
P_9	NA	A-2	Баратынский Е.А.	Запустение	Я посетил тебя, пленительная сень	БдЧ	1835	Т.8. Отд. 1	NA	19-21	Элегия	Е. Баратынский	Баратынский Евгений Абрамович	1800	1844	1-158	Япосетилтебяпленительнаясень	2873	xix/baratynsky/br1-142	Е. А. Баратынский	NA			Запустение : «Я посетил тебя, пленительная сень...»			1834	1834	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Баратынский Е. А. Полное собрание стихотворений: В 2 т. Л.: Сов. писатель, 1936. -- (Б-ка поэта). Т. 1. -- 1936				книга	поэтический	Я	вольная : 4,6	вольная : ж, м	0		вольная	Я4,Я6ж,м		69			texts_plain/xix/baratynsky/br1-142.txt	0	1834	1834	Япосетилтебяпленительнаясень
P_10	NA	A-50	Якубович Л.А.	Молния	Зачем с небесной высоты	БдЧ	1835	Т.8. Отд. 1	NA	21	NA	Л. Якубович	Якубович Лукьян Андреевич	1805	1839	NA	Зачемснебеснойвысоты	1232	xix/1830/1830-193	Л. А. Якубович	NA			Молния : «Зачем с небесной высоты...»			1833	1833	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972					поэтический	Я	регулярная : 4+3	м	4	0	перекрестная : абаб	Я4м+Я3м		16			texts_plain/xix/1830/1830-193.txt	0	1833	1833	Зачемснебеснойвысоты
P_13	NA	A-11	Пушкин А.С.	Сербская песня	Что ты ржешь, мой конь ретивый	БдЧ	1835	Т.8. Отд. 1	NA	158	NA	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Чтотыржешьмойконьретивый	12698	xix/pushkin/pu3-363	А. С. Пушкин	NA	П. Мериме	французский	Конь : «Что ты ржешь, мой конь ретивый...»	Песни западных славян, 16		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3		Изд-во АН СССР	1948-1949	книга	поэтический	Х	4	вольная : ж, м	0	вольная	вольная	Х4ж,м		26			texts_plain/xix/pushkin/pu3-363.txt	0	1834	1834	Чтотыржешьмойконьретивый
P_17	NA	A-11	Пушкин А.С.	Видение короля	Король ходит большими шагами	БдЧ	1835	Т.9. Отд. 1	NA	5-8	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Корольходитбольшимишагами	12683	xix/pushkin/pu3-337	А. С. Пушкин	NA	П. Мериме	французский	Видение короля : «Король ходит большими шагами...»	Песни западных славян, 1		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3				книга	поэтический	Ан, Д, тонический : Тк, Ак	3	ж	0	вольная	0	Тк3ж Ак3ж	нарушения анакрусы	82			texts_plain/xix/pushkin/pu3-337.txt	0	1834	1834	Корольходитбольшимишагами
P_19	NA	A-11	Пушкин А.С.	Битва у Зеницы-великой	Радивой поднял желтое знамя	БдЧ	1835	Т.9. Отд. 1	NA	10-11	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Радивойподнялжелтоезнамя	12685	xix/pushkin/pu3-341	А. С. Пушкин	NA	П. Мериме	французский	Битва у Зеницы-Великой : «Радивой поднял желтое знамя...»	Песни западных славян, 3		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3				книга	поэтический	Ан, тонический : Тк, Ак	3	ж	0	вольная	0	Тк3ж Ак3ж		47			texts_plain/xix/pushkin/pu3-341.txt	0	1834	1834	Радивойподнялжелтоезнамя
P_20	NA	A-11	Пушкин А.С.	Феодор и Елена	Стамати был стар и бессилен	БдЧ	1835	Т.9. Отд. 1	NA	11-14	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Стаматибылстарибессилен	12686	xix/pushkin/pu3-343	А. С. Пушкин	NA	П. Мериме	французский	Феодор и Елена : «Стамати был стар и бессилен...»	Песни западных славян, 4		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3				книга	поэтический	Ан, Аф, тонический : Тк, Ак	3	ж	0	вольная	0	Тк3ж Ак3ж	нарушения анакрусы	89			texts_plain/xix/pushkin/pu3-343.txt	0	1834	1834	Стаматибылстарибессилен
P_22	NA	A-11	Пушкин А.С.	Гайдук Хризич	В пещере, на острых каменьях	БдЧ	1835	Т.9. Отд. 1	NA	15-16	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Впещеренаострыхкаменьях	12688	xix/pushkin/pu3-347	А. С. Пушкин	NA	П. Мериме	французский	Гайдук Хризич : «В пещере, на острых каменьях...»	Песни западных славян, 6		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3				книга	поэтический	Ан, Аф, тонический : Тк	3(4)	ж	0	вольная	0	Тк3ж Тк4ж	нарушения анакрусы	40			texts_plain/xix/pushkin/pu3-347.txt	0	1834	1834	Впещеренаострыхкаменьях
P_24	NA	A-11	Пушкин А.С.	Марко Якубович	У ворот сидел Марко Якубович	БдЧ	1835	Т.9. Отд. 1	NA	17-20	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	УворотсиделМаркоЯкубович	12690	xix/pushkin/pu3-349	А. С. Пушкин	NA	П. Мериме	французский	Марко Якубович : «У ворот сидел Марко Якубович...»	Песни западных славян, 8		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3				книга	поэтический	Ан, тонический : Тк, Ак	3	ж	0	вольная	0	Тк3ж Ак3ж	нарушения анакрусы	94			texts_plain/xix/pushkin/pu3-349.txt	0	1834	1834	УворотсиделМаркоЯкубович
P_25	NA	A-11	Пушкин А.С.	Бонапарт и черногорцы	Черногорцы? что такое	БдЧ	1835	Т.9. Отд. 1	NA	20-22	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Черногорцычтотакое	12691	xix/pushkin/pu3-352	А. С. Пушкин	NA	П. Мериме	французский	Бонапарт и черногорцы : «Черногорцы? Что такое?...»	Песни западных славян, 9		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3		Изд-во АН СССР	1948-1949	книга	поэтический	Х	4	регулярная : жм	4		перекрестная : абаб	Х4жм		44			texts_plain/xix/pushkin/pu3-352.txt	0	1834	1834	Черногорцычтотакое
