"","id","COL_ID","poetry_prose","book_type","genre","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","path","A_ID"
"1",68,"COL_2","v","col","lyr","Баратынский Е.","Баратынский Е.А.","Баратынский Евгений Абрамович","Сочинения Е. Баратынского: В 2 ч.","М.","Семена","1835","189","8","22","РГБ","https://dlib.rsl.ru/01003570129","../../data/corpus1835/collections/raw_texts/unseparated_cols//68_1835.txt","A_2"
"2",69,"COL_3","pr","col","lyr","Венгер Н.","Венгер Н.","Венгер Николай","Сочинения Николая Венгера в стихах и прозе","М.","Селивановского","1835","68","12","20","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//69_1835.txt","A_3"
"3",70,"COL_4","v","col","lyr","Деларю М.","Деларю М.Д.","Деларю Михаил Данилович","Опыты в стихах Михаила Деларю","СПб.","Деп. внешней торговли","1835","152","8","20","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000656&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//70_1835.txt","A_4"
"4",71,"COL_5","v","col","lyr","Зилов А.","Зилов А.М.","Зилов Алексей Михайлович","Стихотворения Алексея Зилова [Тетрадь 1-я]","М.","Лазаревых","1835","115","12","23","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//71_1835.txt","A_5"
"5",73,"COL_7","v","col","lyr","Кольцов А.","Кольцов А.В.","Кольцов Алексей Васильевич","Стихотворения Алексея Кольцова","М.","Степанова","1835","40","8","22","РГБ","https://dlib.rsl.ru/01003559154","../../data/corpus1835/collections/raw_texts/unseparated_cols//73_1835.txt","A_7"
"6",74,"","pr","col","lyr","Лебедев В. (изд.)","Лебедев В.","Лебедев В.","Осенний вечер: [Сб. рассказов и стихов], изданный В. Лебедевым","СПб.","Вингебера","1835","238","12","18","ЧБ","https://books.google.com/books?id=0z1M1S2mJFkC&printsec=frontcover&source=gbs_ViewAPI","../../data/corpus1835/collections/raw_texts/unseparated_cols//74_1835.txt","A_8"
"7",75,"COL_9","v","col","lyr","Меркли М.","Меркли М.М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Степанова","1835","108","8","22","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//75_1835.txt","A_9"
"8",81,"COL_11","v","col","lyr","Пушкин А.С.","Пушкин А.С.","Пушкин Александр Сергеевич","Стихотворения Александра Пушкина. Ч. 4.","СПб.","Акад. наук","1835","189","","20","ЧБ","https://books.google.cz/books?vid=NKP:3186164847&printsec=frontcover#v=onepage&q&f=false","../../data/corpus1835/collections/raw_texts/unseparated_cols//81_1835.txt","A_11"
"9",83,"COL_13","v","col","lyr","Геевский С.Л.","Геевский С.Л.","Геевский Степан Лукич","Сочинения и переводы в стихах С.Г.","Харьков","Ун. тип","1835","61","8","22","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//83_1835.txt","A_13"
"10",84,"COL_14","v","col","lyr","","Савурский Н.","Савурский Николай","Весенняя ветка. Стихотворения","СПб.","Крыловского","1835","70","","20","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000934&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//84_1835.txt","A_14"
