"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID"
"1",688,NA,"v","sep","lyr","","Аксаков К.","Аксаков К.С.","Аксаков Константин Сергеевич","Стихи, читанные в день празднования учреждения Императорского Московского университета 12-го января 1835","М.","Ун. тип",1835,4,"",25,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_226"
"2",68,"COL_2","v","col","lyr","","Баратынский Е.","Баратынский Е.А.","Баратынский Евгений Абрамович","Сочинения Е. Баратынского: В 2 ч.","М.","Семена",1835,189,"8",22,"РГБ","https://dlib.rsl.ru/01003570129","Сборники стихотворений","col_lyr","Lyric collections","A_2"
"3",849,NA,"v","sep","lyr","","Бём А.","Бём А.","Бём Андрей","Утренняя зоря : Стих к Светлому Христову воскресенью","СПб.","Гинце",1835,8,"",18,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_287"
"4",90,"COL_200","v","col","lyr","","Бенедиктов В.","Бенедиктов В.Г.","Бенедиктов Владимир Григорьевич","Стихотворения Владимира Бенедиктова","СПб.","Вингебера",1835,106,"8",20,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000396&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_18"
"5",682,NA,"v","sep","lyr","","","Бенецкий Н.Ф.","Бенецкий Николай Францевич","За царя : [Стихотворение] / Пер. Н. Б-н-ц-кий","Ревель","",1835,2,"",NA,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_288"
"6",69,"COL_3","pr","col","lyr","","Венгер Н.","Венгер Н.","Венгер Николай","Сочинения Николая Венгера в стихах и прозе","М.","Селивановского",1835,68,"12",20,"","drive/photos/17","Сборники стихотворений","col_lyr","Lyric collections","A_3"
"7",83,"COL_13","v","col","lyr","","Геевский С.Л.","Геевский С.Л.","Геевский Степан Лукич","Сочинения и переводы в стихах С.Г.","Харьков","Ун. тип",1835,61,"8",22,"","drive/photos/17","Сборники стихотворений","col_lyr","Lyric collections","A_13"
"8",689,NA,"v","sep","lyr","","б. издатель Рус. вестн","Глинка С.Н.","Глинка Сергей Николаевич","Сила ласки : [Стихотворение] И.М. Снегиреву, издателю русских пословиц. Мая 8-го 1835","М.","Лазаревых",1835,4,"",20,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_251"
"9",70,"COL_4","v","col","lyr","","Деларю М.","Деларю М.Д.","Деларю Михаил Данилович","Опыты в стихах Михаила Деларю","СПб.","Деп. внешней торговли",1835,152,"8",20,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000656&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_4"
"10",91,NA,"v","col","lyr; nar","","Жуковский В.А.","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","СПб.","Экс. загот. гос. бумаг",1835,292,"",22,"РГБ","https://dlib.rsl.ru/01003819724","Сборники стихотворений","col_lyr","Lyric collections","A_19"
