"","path","path_text","col_id","year","author","text_id","title","subtitle","genre_title","first_line","pages","notes","descr"
"1","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__1.txt","C_101","1836",NA,"C_101__1","Романс","",NA,"В власти-ль смертного забыть,","349-350",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"2","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__2.txt","C_101","1836",NA,"C_101__2","Романс","",NA,"Время протекло приятно","350-352",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"3","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__3.txt","C_101","1836",NA,"C_101__3","Романс","",NA,"Пусть жизнь считают за мечту,","352-353",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"4","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__4.txt","C_101","1836",NA,"C_101__4","Романс","",NA,"Зачем несешься в путь с Зефиром?","354-355",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"5","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__5.txt","C_101","1836",NA,"C_101__5","Романс","",NA,"Закону следуя природы","355-357",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"6","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__6.txt","C_101","1836",NA,"C_101__6","Романс","",NA,"Друг милый сердцу моему,","357-358",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"7","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__7.txt","C_101","1836",NA,"C_101__7","Романс","",NA,"Винят меня в народе,","358-360",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"8","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__8.txt","C_101","1836",NA,"C_101__8","Романс","",NA,"Заревите ветры бурны,","360-361",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"9","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__9.txt","C_101","1836",NA,"C_101__9","Романс","",NA,"Соловей мой громогласный","362-363",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"10","../../data/cols_test//101_1836.txt","../../data/cols_test/texts//C_101__10.txt","C_101","1836",NA,"C_101__10","Романс","",NA,"Когда бы стройну лиру ","363-364",NA,"Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
