;author;A_ID
13;Баратынский Е.А.;2
27;Венгер Н.;3
39;Деларю М.Д.;4
48;Зилов А.М.;5
53;Кольцов А.В.;7
63;Лебедев В.;8
79;Меркли М.М.;9
84;Мятлев И.П.;10
102;Пушкин А.С.;11
104;Риль Ю.;12
31;Геевский С.Л.;13
107;Савурский Н.;14
119;Тимофеев А.В.;15
120;Топчибашев М. Д.;16
131;Цитович Н.Д.;17
17;Бенедиктов В.Г.;18
47;Жуковский В.А.;19
9;Аполлон де ***;20
52;Кашкин Д.Е.;22
62;Лавров Н.;23
78;Мейснер А.Я.;24
97;Полежаев А.И.;26
100;Пуговишников А.М.;27
115;Суханов М.Д.;28
118;Тепляков В.Г.;30
121;Тростин Х.Д.;31
130;Цимбалин К.И.;32
61;Кульчицкий А.;33
69;Майков М.А.;34
122;Тяпкин;35
14;Бахтурин К.А.;36
19;Бернет Е.;37
23;Бороздна И.П.;38
24;Бутырский Н.И.;39
25;Быстроглазов А.;40
33;Глинка Ф.Н.;41
36;Грен Н.;42
46;Дьячков С.П.;43
51;Кашаев В.;44
75;Мартынов А.;45
96;Подолинский А.И.;46
110;Скосырев К.;47
112;Смирнова А.;48
113;Соколовский В.И.;49
139;Якубович Л.А.;50
114;Стромилов С.И.;51
37;Громов И.;52
101;Пустельгин;53
68;Магденко А.;54
82;Мысовский-Светогорский С.Д.;55
94;Петров И.М.;56
132;Шаршавый П.Я.;58
4;Аладьина Е.В.;60
20;Бестужев А.А. (Марлинский);61
21;Бобылев Н.И.;62
28;Вердеревский А.;63
29;Владиславлев В.А.;65
40;Демидов М.А.;66
43;Доброхотов Ф.;67
44;Долгоруков А.В.;68
49;Карелин И.М.;69
54;Краснов С.;71
65;Леонов А.А.;72
70;Максимов М.И.;73
74;Марков М.А.;74
7;Анисимова Д.А.;75
116;Сушков Д.П.;77
117;Теплова Н.С.;78
41;Дмитриев И.И.;80
103;Раевич  И.А.;81
99;Праволамский П.;82
81;Моствило-Головач Т.;83
10;Бакунин И.М.;84
30;Волков А.А.;85
12;Барановский В.;86
95;Поднебесный М.М.;87
22;Богданов Н.;91
35;Горчаков В.Н.;92
50;Карманов Г.;94
60;Кульман Е.Б.;96
77;Медведенко Н.;97
133;Шахова Е.Н.;101
88;Олин В.Н.;103
71;Максимович М.;104
126;Харинский Х.;105
134;Шаховской А.А.;106
34;Глухарев И.Н.;108
8;Анордист Н.;109
38;Данков И.И.;111
45;Долгоруков А.И.;112
66;Лермонтов М.Ю.;114
85;Некрасов Н.А.;115
93;Папкевич А.;116
111;Слепушкин Ф.Н.;117
124;Фет А.А.;118
125;Филимонов П.С.;119
137;Эртель В.А.;120
5;Алексеев П.Ф.;121
106;Саблин Е.И.;122
56;Криксин;124
76;Маслеников-Какуев А.;125
105;Рыбников А.Н.;126
86;Ободовский П.Г.;127
15;Башкатов А.;134
123;Ушаков А.А.;135
73;Малышев Г.Г.;148
59;Кукольник Н. (изд.);162
26;Вельтман А.Ф.;176
129;Хомяков А.С.;187
57;Крылов И.А.;218
3;Аксаков К.С.;226
32;Глинка С.Н.;251
98;Полонский Я.П.;259
83;Мягков Н.Н.;102
72;Макшеева В.Д.  / Молчанова В. ;202
2;А. Ф. Ф.;285
6;Ан-в;286
11;Баласогло А.П.<?>;64
16;Бём А.;287
18;Бенецкий Н.Ф.;288
42;Дмитриевский М.И.;289
55;Красноглазов А.;290
58;Крыловский В.;291
64;Левицкий И.;292
67;Лисенецкий С.Ф.;293
80;Метлинский А.Л.;294
87;Огинский А.Г.;295
89;Оранский Н.Д.;296
90;Орлов А.А.;59
91;П. Гр…в;304
92;П. Ш.;301
108;Семенов П.;297
109;Сиянов П.Г.;298
127;Хвостов Д. И.;299
128;Хлебников Н.;300
135;Шереметевский П.В.;301
136;Щукин К.;302
138;Яковлев А.;303
