ID	A-ID	Author	Title	City	Printed_in (В тип. )	Year	Sovr	Sovr_score	OZ	OZ_score	CO	CO_score	MN	MN_score	Telescope	Telescope_score	JMNP_ukazatel	JMNP_date	JMNP	JMNP_sign	JMNP_score	Sev_pchela	Sev_pchela_reviewer_sign	Sev_pch_score	BdCH	BdCH_score	Other
COL_1	A-1	А. Я-в	Кривой бес. Русская сказка [Стихотворения]	СПб.		1835																			1835. Т. 11. С. 1	neg	Есть рец. Белинского на “Кривого беса” изд. 1845 г. в ОЗ
COL_2	A-2	Баратынский Е.	Сочинения Е. Баратынского	М.		1835									1835. Ч. 27. № 8. С. 123-137. (В. Белинский)	neg											
COL_3	A-3	Венгер Н. 	Сочинения Николая Венгера в стихах и прозе	М.	Селивановского	1835																					
COL_4	A-4	Деларю М. 	Опыты в стихах Михаила Деларю	СПб.	Деп. внешней торговли	1835																1835. № 101. 8 мая. С. 401-402	Р.М.	neg	1835. Т. 10. С. 30-31		
COL_5	A-5	Зилов А.	Стихотворения Алексея Зилова [Тетрадь 1-я]	М.	Лазаревых института восточных языков	1835																1835. № 114. 24 мая. С. 453-454		"???; скорее негативная"	1835. Т. 10. С. 29-30		
COL_6	A-6	Кожухов Н. 	Переводы с французского прозою, и сочинения в стихах Н. Кожухова	М.	Лазаревых института восточных языков	1835																			1835. Т. 12. С. 3	neg	
COL_7	A-7	Кольцов А.	Стихотворения Алексея Кольцова	М.	Степанова	1835					"1836. Ч. 176. № 12. С. 259-272; № 13. С. 309-324 (Я. Неверов)"	pos			1835. Ч. 27. С. 470-483. В. Белинский	pos			1836. Ч. 9. № 3. С. 653-658	Я.Н.[Неверов]	pos	1835. № 290. 20 дек. С. 1157-1158	П.	???			"Телескоп. 1835. № 12; ЖМНП. 1836, № 3 (Я.М. Неверов, написан по совету Станкевича); СО. 1836. № 11-13; см. также ЛитНаследство. Т.56. С. 299"
COL_8	A-8	Лебедев В. 	Осенний вечер	СПб.	Вингебера	1835																1835. № 272. 30 ноя. С. 1085-1087		pos	1835. Т. 13. С. 20-25	neg	"есть рец. белинского; в БдЧ очень длинная рец, но про поэзию мало"
COL_9	A-9	Меркли М.	Стихотворения Михаила Меркли	М.	Степанова	1835											1837. Ч. 13. № 3. С. 17. Указ: Фев 1837 (второе изд., М.: Степанова, 1837)	02.1837	1839. Ч. 23. Отд. VI. С. 118		pos				"1835. Т. 9. C. 29; 1837. Т. 21. С. 3-4"	neg	"есть отзыв Белинского (“посредственно”, I, 203); поздник отзывы АА Григорьева"
COL_10	A-10	Мятлев И.П.	Собрание стихотворений	СПб.	Гинце	1835																			1835. Т. 9. С. 23-27	"pos; выписано неск. стихов"	"отзыв Белинского (IX, 262);"
COL_11	A-11	Пушкин А.С.	Стихотворения Александра Пушкина. Ч. 4.	СПб.	Имп. Рос. Акад.	1835																			1835. Т. 12. С. 17-19	pos	
COL_12	A-12	Риль Ю.	Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем. 	СПб.	Пеца	1835																					
COL_13	A-13	Геевский С.Л.	Сочинения и переводы в стихах С.Г.	Харьков	Ун. тип.	1835																					
COL_14	A-14	Савурский Н.	Весенняя ветка. Стихотворения	СПб.	Крыловского	1835																1835. № 241. 25 окт. С. 961-962	Р.М.	neg	1835. Т. 12. С. 23	neg	есть рец. белинского 
COL_15	A-15	Тимофеев А.В.	Песни. В 2 ч.	СПб.	Гинце	1835							1836. Ч. 6. Кн. 1. С. 90-91. (С. Шевырев)	neg	Молва. 1836. № 2. С. 65-71	neg						1835. № 217. 27 сент. С. 865-867	Н.У.	pos	1835. Т. 12. С. 19-23	"pos; выписано неск. стихов"	
COL_16	A-16	Топчибашев М. Д. 	На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева	СПб.	Имп. Акад. наук	1835																			1835. Т. 11. С. 2-3	pos	
COL_17	A-17		Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа	СПб.	Вингебера	1835																					
COL_18	A-18		Шесть лет: Прощальная песнь воспитанников Имп. лицея в Царском селе	СПб.		1835																					
COL_141	A-19	Цитович Н.	Басни Н. Цитовича	СПб.	Крайя	1835																			1835. Т. 10. С. 32		
COL_200	A-20	Бенедиктов В.	Стихотворения Владимира Бенедиктова	СПб.	Вингебера	1835									1835. Ч. 27. № 10.  С. 357-387. В. Белинский	neg			1836. Ч. 9. № 1. С. 192-199	Я. Неверов	pos	1835. № 240. 24 окт. С. 957-959	Р.М.	pos	1835. Т. 13. С.  1-3	"pos; но с уколом о плохих сонетах"	
COL_212	A-21	Жуковский В.А.	Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е.	СПб.	Экс. загот. гос. бумаг	1835													1836. Ч. 9. № 1. С. 180-192	А. Н-но	pos						
COL_19	A-22	Аполлон де ***	Стихотворения Аполлона де ***	М.	Селивановского	1836									Молва. 1836. № ?. С. 63-64	neg			1838. Ч. 20. № 12. С. 589		neg				1836. Т. 18. С. 8-9	neg	
COL_20		Бенедиктов В.	Стихотворения Владимира Бенедиктова / изд. 2-е	СПб.	Гинце	1836									Молва. 1836. №?. С. 211-214	neg			1838. Ч. 20. № 12. С. 589		pos 	1836. № 144. 26 июн. С. 573-576	Р.М.	"neg; ответ МН"	1836. Т. 17. С. 1-2	pos	
COL_21		Давыдов Н.В.	Морские сцены	СПб.	Деп. внешней торговли	1836																					
COL_22		Зилов А. 	Стихотворения Алексея Зилова. Тетрадь 2-я	М.	Лазаревых	1836																			1836. Т. 17. С. 25	neg	
COL_23		Кашкин Д.Е.	Стихотворения Дмитрия Кашкина	М.	Степанова	1836																			1836. Т. 19. С. 37-41	neg	
COL_24		Лавров Н.	Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова	СПб.	Вингебера	1836																1836. № 104. 9 мая. С. 413-414	Р.М.	neg	1836. Т. 16. С. 18-19	neg	
COL_25		Мейснер А. 	Стихотворения Алексея Мейснера	М.	А. Семена	1836									Молва. 1836. Ч. 12. С. 28-30	pos			1838. Ч. 20. № 12. С. 589		neg	1836. № 190. 21 авг. С. 757-759		pos	1836. Т. 18. С. 6-8	neg	
COL_26		Муравьев Н.Н.	Некоторые из забав отдохновения… Ч. 2.	СПб.	Воен. тип.	1836																					Выход 12ой части отмечен в ЖМНП. 1838. Ч. 19. Указатель… С. 74 (06.1838)
COL_27		Полежаев А.И.	Кальян. Стихотворения Полежаева / Изд. 2	М.	Ун. тип	1836									Молва. 1836. № 5. С. 112-114	pos									1836. Т. 15. С.  1-2	"???; выписано 1 стихотв."	
COL_28		Пуговишников А.М.	Песни, романсы и стихотворения А.П. / Изд. 2	М.	Кирилова	1836									Молва. 1836. № 2. С. 64-65	neg									1837. Т. 20. С. 39-40	neg	
COL_29		Суханов М. 	Время не праздно. Стихотворения крестьянина М. Суханова	СПб.	Вингебера	1836													1838. Ч. 20. № 12. С. 589		pos	1836. № 148. 2 июл. С. 589	Z.Z.Z.	???	1836. Т. 17. С. 2-3	neg	
COL_30		Суханов М. 	Мои сельские досуги	СПб.	Вингебера	1836													1838. Ч. 20. № 12. С. 589		pos	1836. № 253. 4 ноя. С. 1009-1010	Z.Z.Z.	???	1836. Т. 19. С. 42	"pos; с уколом"	
COL_31		Темный С.	Ночь	СПб.	И. Глазунова	1836																1836. № 95. 28 апр.			1836. Т. 16. С. 3		проза??
COL_32		Тепляков В.Г.	Стихотворения Виктора Теплякова. Т. 2.	СПб.	Гутенбергова тип.	1836	1836. Т. 3. С. 170-186	pos											1838. Ч. 20. № 12. С. 589		pos				1837. Т. 20. С. 2, 29-35	"neg; огромная рец, придирки к предисл"	
COL_33		Тростин Х. 	Стихотворения Христофора Тростина	М.	Ун. тип.	1836									Молва. 1836. № ?. С. 87-88	neg									1836. Т. 16. С.  1-2	neg	
COL_34		Цимбалин К.	Сказки и басни К. Цымбалина: В 5 кн.	СПб.	Праца	1836									Молва. 1836. № ?. С. 87-88	neg									1836. Т. 18. С. 27-30	neg	РП указ. отзыв в Телескопе: 1836. № 15 (Боткин)
COL_35			Маскерад. Подарок прекрасному полу на 1837 год	СПб.	Гинце	1836																1837. № 2. 4 янв. С. 5	В. Б. 	pos	1837. Т. 21. С. 7	???	
COL_36			Мечты при луне. Стихотворения	М.	Кирилова	1836											1837. Ч. 13. № 2. С. 4	01.1837							1837. Т. 20. С. 39	neg	
COL_37			Детский павильон. Книжка, содержащая в себе черты из русской истории, разные повести, разговоры, анекдоты, стихотворения, сказочки и проч., составленная на 1836 год Б. Федоровым / Изд. Брат. Матвея и Михаила Заикиных	СПб.	Гинце	1836																					
COL_38		Кульчицкий А.	Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий	Харьков	Ун. тип	1836									Молва. 1836. №?. С. 327	neg									1836. Т. 17. С. 25-26	neg	
COL_39			Мое новоселье. Альманах на 1836 год, изд. В. Крыловским	СПб.	Крылова	1836	1836. Т. 1. С. 313-314	neg														1836. № 44. 24 фев. С. 173-175	Р.М.	neg	1836. Т. 15. С. 21-22	"neg; указание на плагиат"	
COL_40			Радуга	СПб.	Иверина	1836		 																			
COL_41			Сонет на картину К.П. Брюллова	СПб.	Крыловского	1836																					
COL_142			Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну	М.	А. Семена	1836																					
COL_143		Майков М.	Басни Михайла Майкова	Ярославль	Губ. правления	1836																					
COL_144		Лебедев В. 	Правда русского гражданина	СПб.		1836																					
COL_145			Роза и Василек. Соч. А.Ф.Ф.	СПб.	Экс. загот. гос. бумаг	1836													1838. Ч. 20. № 12. С. 589		pos				1837. Т. 20. С. 35-37	neg	
COL_206			Литературные занятия	СПб.	Акад. наук	1836																			1836. Т. 16. С. 7-8	neg	
COL_213		Тяпкин	Глас приветствия сирот своему попечителю отцу	М.	Лазаревых института восточных языков	1836																					
COL_219			Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях	М.	Ун. тип	1836													1838. Ч. 20. № 12. С. 589		pos						
COL_42		Бахтурин К.А.	Стихотворения Константина Бахтурина	СПб.	Праца и К.	1837					1837. Ч. 187. № 17. С. 114	neg					1837. Ч. 15. № 8. С. 91	07.1837	1839. Ч. 23. Отд. VI. С. 118		pos	1837. № 170. 31 июл. С. 677-680	Ф. Кони	pos	1837. Т. 24. С. 1-4	"neg; отмечена клишированность и плохие рифмы"	
COL_43		Бернет Е. 	Стихи Е. Бернета	СПб.	Снегирева	1837					1837. Ч. 187. № 17. С. 110-114	neg					1837. Ч. 15. № 8. С. 91	07.1837	1839. Ч. 23. Отд. VI. С. 118		pos	1837. № 207. 16 сент. С. 825-827	Р.М.	neg	1837. Т. 23. С. 40-42	"pos; отмечено отсутствие клише и необычн рифмы"	
COL_44		Бороздна И.П.	Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны	М.	Селивановского	1837					1837. Ч. 186. № 15. С. 341-348	pos					1837. Ч. 15. № 8. С. 91	07.1837				1837. № 185. 19 авг. С. 737-740	П.П.	pos	1837. Т. 24. С. 4-6	"pos; но с уколами"	
COL_45		Бутырский Н.И.	И моя доля в сонетах. В 2 ч. Соч. Бутырского	СПб.	Вингебера	1837											1837. Ч. 14. № 4. С. 31	03.1837				1837. № 128. 11 июн. С. 505-506	М.	"???; скорее положительная"	1837. Т. 23. С. 35-40	neg	
COL_46		Быстроглазов А. 	Стихотворения А. Быстроглазова. В 2 ч.	СПб.	Вингебера	1837											1837. Ч. 13. № 2. С. 4	01.1837							"1836. Т. 19. С. 41-42; Т. 20. С. 38-39"	neg	Первая часть вышла в конце 1836 г. !
COL_47		Глинка Ф.Н.	Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта	М.	Августа Семена. При имп. Мед.-хирург. Акад.	1837											1837. Ч. 13. № 3. С. 17. Указ: Фев 1837	02.1837	1839. Ч. 23. Отд. VI. С. 118		pos	1837. № 100. 7 мая. С. 397		pos	1837. Т. 22. С. 4	pos	
COL_48		Грен Н.	Вечера минувшей осени	СПб.	Крылова	1837													1839. Ч. 23. Отд. VI. С. 125		neg	1837. № 142. 28 июн. С. 565-567	Р.М.	neg	1837. Т. 22. С. 5-6	neg	
COL_49		Дьячков С. 	Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым	СПб.	Вингебера	1837											1837. Ч. 15. № 7. С. 76	06.1837							1837. Т. 25. С. 50-51	neg	может обозначаться как “Парнасский букет цветов, или…”
