ID	type	DC	phys_ailable_in	A_ID	Author	Title	City	Printed_in (В тип. )	Year	ЦР	Notes	Olhin	См-Сок	Available_in	РГИА билет / Одобр. ЦИАМ
COL_1	col	Y		A-1	А. Я-в	Кривой бес. Русская сказка [Стихотворения]	СПб.	Вингебера	1835	8.03.1835	сказка и несколько стихотворений				
COL_2	col	Y		A-2	Баратынский Е.	Сочинения Е. Баратынского	М.	А. Семена	1835		https://dlib.rsl.ru/viewer/01003570129#?page=1	5249			
COL_3	col	Y		A-3	Венгер Н. 	Сочинения Николая Венгера в стихах и прозе	М.	Селивановского	1835	02.12.1832	Одесский цензурный комитет!!	4385			
COL_4	col	Y		A-4	Деларю М. 	Опыты в стихах Михаила Деларю	СПб.	Деп. внешней торговли	1835	12.02.1835		5224			
COL_5	col	Y		A-5	Зилов А.	Стихотворения Алексея Зилова [Тетрадь 1-я]	М.	Лазаревых института восточных языков	1835	01.03.1835		5266			
COL_6	col	Y		A-6	Кожухов Н. 	Переводы с французского прозою, и сочинения в стихах Н. Кожухова	М.	Лазаревых института восточных языков	1835	27.04.1835	переводы	4379			
COL_7	col	ргб		A-7	Кольцов А.	Стихотворения Алексея Кольцова	М.	Степанова	1835		есть пдф в РГБ: https://dlib.rsl.ru/viewer/01003559154#?page=1	5274			
COL_8	alm		ргб	A-8	Лебедев В. 	Осенний вечер, изданный В. Лебедевым	СПб.	Вингебера	1835	28.09.1835	альманах	4357	427		
COL_9	col	Y		A-9	Меркли М.	Стихотворения Михаила Меркли	М.	Степанова	1835	21.12.1834	"Ольхин: указание на 2е изд: 1837 — в т. Кирил. ; у Балакина записано почему-то 1836 г.; нужно сравнить изд. 1835 и 1837 г."	5283			
COL_10	col		ргб	A-10	Мятлев И.П.	Собрание стихотворений	СПб.	Гинце	1835		"ргб; розанов; изд. 1857 https://archive.org/details/polnoesobranies1v2miat/page/n5/mode/2up ; В СП есть рецензия на анонимное “Собрание стихотворений” (СП. 1835. № 108. С. 429-430), нужно сверить, оттуда ли выписки"				
COL_11	col	Y		A-11	Пушкин А.С.	Стихотворения Александра Пушкина. Ч. 4.	СПб.	Имп. Рос. Акад.	1835		"розанов; всего 11 томов 1837-1841 (Ольхин указывает т. Глазунова)"	4388			
COL_12	col		ргб	A-12	Риль Ю.	Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем. 	СПб.	Пеца	1835		ргб мф			ргб	
COL_13	col	Y		A-13	Геевский С.Л.	Сочинения и переводы в стихах С.Г.	Харьков	Ун. тип	1835	03.06.1835	расшифровка по Масанову	5246			
COL_14	col	Y		A-14	Савурский Н.	Весенняя ветка. Стихотворения	СПб.	Крыловского	1835	27.03.1835	Автор в книге не указан, никаких предисловий и тп тоже нет				
COL_15	col	Y		A-15	Тимофеев А.В.	Песни. В 2 ч.	СПб.	Гинце	1835	14.08.1835	цр обеим частям выдано в одно время				
COL_16	col	Y		A-16	Топчибашев М. Д. 	На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева	СПб.	Имп. Акад. наук	1835	29.04.1835	2 стихотворения, в одном почему-то речь про балтийское море				
COL_17	sluch					Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа	СПб.	Вингебера	1835	30.07.1835					
COL_18	sluch					Шесть лет: Прощальная песнь воспитанников Имп. лицея в Царском селе	СПб.		1835	24.08.1835					
COL_141	col		рнб	A-17	Цитович Н.	Басни Н. Цитовича	СПб.	Крайя	1835			5621			
COL_200	col	Y		A-18	Бенедиктов В.	Стихотворения Владимира Бенедиктова	СПб.	Вингебера	1835	4.07.1835	"2-е издание: 1836 в т. Гинце; 2-я книга: 1838, Неймана и К."				
COL_212	col	ргб		A-19	Жуковский В.А.	Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е.	СПб.	Экс. загот. гос. бумаг	1835		выходили: 1835-1837: https://dlib.rsl.ru/viewer/01003819724#?page=5				
COL_19	col	Y		A-20	Аполлон де ***	Стихотворения Аполлона де ***	М.	Селивановского	1836	11.05.1836		5263			
COL_20	col		ргб	A-18	Бенедиктов В.	Стихотворения Владимира Бенедиктова / изд. 2-е	СПб.	Гинце	1836						27.04.1836
					Давыдов Н.В.	Морские сцены	СПб.	Деп. внешней торговли	1836		"ПРОЗА; просм на гугл-букс"				11.11.1836
COL_22	col	Y		A-5	Зилов А. 	Стихотворения Алексея Зилова. Тетрадь 2-я	М.	Лазаревых	1836	05.06.1836					
COL_23	col		"розанов; ргб"	А-22	Кашкин Д.Е.	Стихотворения Дмитрия Кашкина	М.	Степанова	1836		"цр есть в выписках; возможно, часть трехтомника: “Стихотворения Дмитрия Кашкина”"	4392		розанов	
COL_24	col	Y		А-23	Лавров Н.	Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова	СПб.	Вингебера	1836	22.02.1836					
COL_25	col	Y		А-24	Мейснер А. 	Стихотворения Алексея Мейснера	М.	А. Семена	1836	18.04.1836	много указаний город + дата!	5282			
COL_26	col		?	A-25	Муравьев Н.Н.	Некоторые из забав отдохновения… Ч. 2.	СПб.	Воен. тип.	1836		"есть ли там стихотворения?; многосерийное издание, начатое в 1805 году…"			?	23.06.1836
COL_27	col	pdf		A-26	Полежаев А.И.	Кальян. Стихотворения Полежаева / Изд. 2	М.	Ун. тип	1836	13.09.1835	"Есть 1 издание в ргб : https://dlib.rsl.ru/viewer/01003558813#?page=11 по оглавлению там все совпадает; третье издание — М., 1838"	5213			
COL_28	col	Y		A-27	Пуговишников А.М.	Песни, романсы и стихотворения А.П. / Изд. 2	М.	Кирилова	1836	15.10.1836	"Молва. 1836. № 2(?). С. 64: Песни, романсы и разные стихотворения. Занятия в свободные часы А.П. М.: В тип. Пономарева, 1836.  Автор раскрыт там же (ср. по карточке РНБ:
Авт. раскрыт по изд.: Белинский, В.Г. Полное собрание сочинений. Спб., 1900, т. 2, с. 408)"	5238			
COL_29	col	Y		A-28	Суханов М. 	Время не праздно. Стихотворения крестьянина М. Суханова	СПб.	Вингебера	1836	24.02.1836	С посвящением: “Милостивому Государю Василью Михайловичу Харитонову. В знак глубокого почитания посвящает сию книгу. М. Суханов”	5204			20.04.1836
COL_30	col	Y		А-28	Суханов М. 	Мои сельские досуги	СПб.	Вингебера	1836	1.05.1835		5220			13.09.1836
					Темный С.	Ночь	СПб.	И. Глазунова	1836		"ргб; проза??"	6531			РГИА. Ф. 777. Оп. 27. Д. 268
COL_32	col		ргб	A-30	Тепляков В.Г.	Стихотворения Виктора Теплякова. Т. 2.	СПб.	Гутенбергова тип.	1836	17.04.1836	"Первый том вышел в 1832 в Москве (Селивановского); сверить по оглавлению, что уже оцифровано и сфотографировать недостающее; предисловие ко второму тому написано Владимиром Одоевским"	5300			27.04.1836
COL_33	col	Y		A-31	Тростин Х. 	Стихотворения Христофора Тростина	М.	Ун. тип	1836	20.01.1836		5301			
COL_34	col		ргб	A-32	Цимбалин К.	Сказки и басни К. Цымбалина: В 5 кн.	СПб.	Праца	1836			5620			24.06.1836
COL_35	alm	Y				Маскерад. Подарок прекрасному полу на 1837 год	СПб.	Гинце	1836	25.12.1836	альманах без авторов и нумерации страниц, мадригалы с картинками-аллегориями		453		
COL_36	alm	Y				Мечты при луне. Стихотворения	М.	Кирилова	1836	4.09.1836	"альманах; авторы указ. в бдч: С. Лакроа, Н.Л. и Н. Петровский"				
COL_37	det	Y		A-29	Федоров Б.	Детский павильон. Книжка, содержащая в себе черты из русской истории, разные повести, разговоры, анекдоты, стихотворения, сказочки и проч., составленная на 1836 год Б. Федоровым / Изд. Брат. Матвея и Михаила Заикиных	СПб.	Гинце	1836	12.10.1835	несколько стихотворений, басен				
