"","text_id","A_ID","author_text","author_sign","text_title","text_subtitle","first_line","year","path_text","source_text","COL_ID","corpus"
"1","P_1","","","","Солдатская песня","","Ох жизнь, молодецкая","1835","../../data/corpus1835/periodicals/per_raw//P_1.txt","Сев_пч. 1835. №12. C. 46","","per"
"2","P_10","A-50","Якубович Л.А.","Л. Якубович","Молния","","Зачем с небесной высоты","1835","../../data/corpus1835/periodicals/per_raw//P_10.txt","БдЧ. 1835. Т.8. Отд. 1. C. 21","","per"
"3","P_100","A-7","Кольцов А.В.","Кольцов","Ночлег чумаков","Сельские картины","В близи дороги столбовой","1836","../../data/corpus1835/periodicals/per_raw//P_100.txt","БдЧ. 1836. Т. 16. C. 9-12","","per"
"4","P_1000","A-41","Глинка Ф.Н.","Ф. Глинка","Утешитель","","О чем грустишь так неутешно","1838","../../data/corpus1835/periodicals/per_raw//P_1000.txt","Совр. 1838. Т. 10. 3-ей паг. C. 172-174","","per"
"5","P_1001","A-139","Прокопович Н.Я.","Н. Прокопович","Город","","Движим думою чудесной","1838","../../data/corpus1835/periodicals/per_raw//P_1001.txt","Совр. 1838. Т. 10. 3-ей паг. C. 175-176","","per"
"6","P_1002","A-11","Пушкин А.С.","А. Пушкин","К женщине-поэту","","Я слушал вас… я прочитал","1838","../../data/corpus1835/periodicals/per_raw//P_1002.txt","Совр. 1838. Т. 10. 3-ей паг. C. 177","","per"
"7","P_1003","A-163","Гребенка Е.П.","Е. Гребенка","Мотылек","","Горит и красуется пышное лето","1838","../../data/corpus1835/periodicals/per_raw//P_1003.txt","Совр. 1838. Т. 10. 3-ей паг. C. 178-179","","per"
"8","P_1004","A-41","Глинка Ф.Н.","Ф. Глинка","Картина востока","","В пустыне виден людный град","1838","../../data/corpus1835/periodicals/per_raw//P_1004.txt","Совр. 1838. Т. 10. 3-ей паг. C. 180-181","","per"
"9","P_1005","A-139","Прокопович Н.Я.","Н. Прокопович","Старость","","Нет, это не старик, кто жизнь свою годами","1838","../../data/corpus1835/periodicals/per_raw//P_1005.txt","Совр. 1838. Т. 10. 3-ей паг. C. 182-183","","per"
"10","P_1006","A-154","Тютчев Ф.И.","Ф. Т-в","Итальянская villa","","И распростясь с тревогою житейской","1838","../../data/corpus1835/periodicals/per_raw//P_1006.txt","Совр. 1838. Т. 10. 3-ей паг. C. 184-185","","per"
"11","P_1007","A-192","Родзянко А.Г.","Аркадий Родзянко","Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября","","Надежда будущих времен","1838","../../data/corpus1835/periodicals/per_raw//P_1007.txt","Совр. 1838. Т. 10. 3-ей паг. C. 186-190","","per"
"12","P_1008","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","На памятник Сусанину","","Тебе ль чугун, тебе ли мрамор ставить","1838","../../data/corpus1835/periodicals/per_raw//P_1008.txt","Совр. 1838. Т. 11. 3-ей паг. C. 179","","per"
"13","P_1009","A-161","Айбулат К.М.","К. Айбулат-Розен","На могиле Лели","","И вот ее прекрасное чело","1838","../../data/corpus1835/periodicals/per_raw//P_1009.txt","Совр. 1838. Т. 11. 3-ей паг. C. 180","","per"
"14","P_101","A-113","Козлов И.И.","Иван Козлов","Витязь","","Скажи мне, витязь, что твой лик","1836","../../data/corpus1835/periodicals/per_raw//P_101.txt","БдЧ. 1836. Т. 16. C. 12-14","","per"
"15","P_1010","A-154","Тютчев Ф.И.","Ф. Т-в","Смотри, как запад разгорелся","","Смотри, как запад разгорелся","1838","../../data/corpus1835/periodicals/per_raw//P_1010.txt","Совр. 1838. Т. 11. 3-ей паг. C. 181","","per"
"16","P_1011","","","","Освободительница","","Я в Мае утром рано встала","1838","../../data/corpus1835/periodicals/per_raw//P_1011.txt","Совр. 1838. Т. 11. 3-ей паг. C. 182-184","","per"
"17","P_1012","A-191","Афанасьев-Чужбинский А.С.","Александр Чужбинский","Кольцо","Николаю Андреевичу Зарудному","В отдаленности глубокой","1838","../../data/corpus1835/periodicals/per_raw//P_1012.txt","Совр. 1838. Т. 11. 3-ей паг. C. 187-191","","per"
"18","P_1013","A-50","Якубович Л.А.","Л. Якубович","Два мгновения","","Есть два блаженные мгновенья","1838","../../data/corpus1835/periodicals/per_raw//P_1013.txt","Совр. 1838. Т. 11. 3-ей паг. C. 192-193","","per"
"19","P_1014","A-11","Пушкин А.С.","А. Пушкин","Опричник","Отрывок","Какая ночь! мороз трескучий","1838","../../data/corpus1835/periodicals/per_raw//P_1014.txt","Совр. 1838. Т. 11. 3-ей паг. C. 194-195","","per"
"20","P_1015","A-7","Кольцов А.В.","А. Кольцов","Великое слово","Дума. Василию Андреевичу Жуковскому","Глубокая вечность","1838","../../data/corpus1835/periodicals/per_raw//P_1015.txt","Совр. 1838. Т. 11. 3-ей паг. C. 196-198","","per"
"21","P_1016","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","К равнодушной","","Скажи, красавица жестокая моя","1838","../../data/corpus1835/periodicals/per_raw//P_1016.txt","Совр. 1838. Т. 12. 3-ей паг. C. 76-78","","per"
"22","P_1017","A-242","Рудыковский Н.","Н. Рудыковский","Сонет Мильтона","","Когда придет мне в мысль, что я лишен очей","1838","../../data/corpus1835/periodicals/per_raw//P_1017.txt","Совр. 1838. Т. 12. 3-ей паг. C. 79","","per"
