"","path","text_id","A_ID","author_text","text_title","first_line","PER_ID","year","vol","num","pages","subtitle","author_sign"
"1","../../data/corpus1835/periodicals/per_raw//P_1.txt","P_1","","","Солдатская песня","Ох жизнь, молодецкая","Сев_пч",1835,"","12","46","",""
"2","../../data/corpus1835/periodicals/per_raw//P_10.txt","P_10","A-50","Якубович Л.А.","Молния","Зачем с небесной высоты","БдЧ",1835,"Т.8. Отд. 1","","21","","Л. Якубович"
"3","../../data/corpus1835/periodicals/per_raw//P_100.txt","P_100","A-7","Кольцов А.В.","Ночлег чумаков","В близи дороги столбовой","БдЧ",1836,"Т. 16","","9-12","Сельские картины","Кольцов"
"4","../../data/corpus1835/periodicals/per_raw//P_1000.txt","P_1000","A-41","Глинка Ф.Н.","Утешитель","О чем грустишь так неутешно","Совр",1838,"Т. 10. 3-ей паг","","172-174","","Ф. Глинка"
"5","../../data/corpus1835/periodicals/per_raw//P_1001.txt","P_1001","A-139","Прокопович Н.Я.","Город","Движим думою чудесной","Совр",1838,"Т. 10. 3-ей паг","","175-176","","Н. Прокопович"
"6","../../data/corpus1835/periodicals/per_raw//P_1002.txt","P_1002","A-11","Пушкин А.С.","К женщине-поэту","Я слушал вас… я прочитал","Совр",1838,"Т. 10. 3-ей паг","","177","","А. Пушкин"
"7","../../data/corpus1835/periodicals/per_raw//P_1003.txt","P_1003","A-163","Гребенка Е.П.","Мотылек","Горит и красуется пышное лето","Совр",1838,"Т. 10. 3-ей паг","","178-179","","Е. Гребенка"
"8","../../data/corpus1835/periodicals/per_raw//P_1004.txt","P_1004","A-41","Глинка Ф.Н.","Картина востока","В пустыне виден людный град","Совр",1838,"Т. 10. 3-ей паг","","180-181","","Ф. Глинка"
"9","../../data/corpus1835/periodicals/per_raw//P_1005.txt","P_1005","A-139","Прокопович Н.Я.","Старость","Нет, это не старик, кто жизнь свою годами","Совр",1838,"Т. 10. 3-ей паг","","182-183","","Н. Прокопович"
"10","../../data/corpus1835/periodicals/per_raw//P_1006.txt","P_1006","A-154","Тютчев Ф.И.","Итальянская villa","И распростясь с тревогою житейской","Совр",1838,"Т. 10. 3-ей паг","","184-185","","Ф. Т-в"
"11","../../data/corpus1835/periodicals/per_raw//P_1007.txt","P_1007","A-192","Родзянко А.Г.","Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября","Надежда будущих времен","Совр",1838,"Т. 10. 3-ей паг","","186-190","","Аркадий Родзянко"
"12","../../data/corpus1835/periodicals/per_raw//P_1008.txt","P_1008","A-153","Ростопчина Е.П.","На памятник Сусанину","Тебе ль чугун, тебе ли мрамор ставить","Совр",1838,"Т. 11. 3-ей паг","","179","","Гр-ня Е. Р-на"
"13","../../data/corpus1835/periodicals/per_raw//P_1009.txt","P_1009","A-161","Айбулат К.М.","На могиле Лели","И вот ее прекрасное чело","Совр",1838,"Т. 11. 3-ей паг","","180","","К. Айбулат-Розен"
"14","../../data/corpus1835/periodicals/per_raw//P_101.txt","P_101","A-113","Козлов И.И.","Витязь","Скажи мне, витязь, что твой лик","БдЧ",1836,"Т. 16","","12-14","","Иван Козлов"
"15","../../data/corpus1835/periodicals/per_raw//P_1010.txt","P_1010","A-154","Тютчев Ф.И.","Смотри, как запад разгорелся","Смотри, как запад разгорелся","Совр",1838,"Т. 11. 3-ей паг","","181","","Ф. Т-в"
"16","../../data/corpus1835/periodicals/per_raw//P_1011.txt","P_1011","","","Освободительница","Я в Мае утром рано встала","Совр",1838,"Т. 11. 3-ей паг","","182-184","",""
"17","../../data/corpus1835/periodicals/per_raw//P_1012.txt","P_1012","A-191","Афанасьев-Чужбинский А.С.","Кольцо","В отдаленности глубокой","Совр",1838,"Т. 11. 3-ей паг","","187-191","Николаю Андреевичу Зарудному","Александр Чужбинский"
"18","../../data/corpus1835/periodicals/per_raw//P_1013.txt","P_1013","A-50","Якубович Л.А.","Два мгновения","Есть два блаженные мгновенья","Совр",1838,"Т. 11. 3-ей паг","","192-193","","Л. Якубович"
"19","../../data/corpus1835/periodicals/per_raw//P_1014.txt","P_1014","A-11","Пушкин А.С.","Опричник","Какая ночь! мороз трескучий","Совр",1838,"Т. 11. 3-ей паг","","194-195","Отрывок","А. Пушкин"
"20","../../data/corpus1835/periodicals/per_raw//P_1015.txt","P_1015","A-7","Кольцов А.В.","Великое слово","Глубокая вечность","Совр",1838,"Т. 11. 3-ей паг","","196-198","Дума. Василию Андреевичу Жуковскому","А. Кольцов"
"21","../../data/corpus1835/periodicals/per_raw//P_1016.txt","P_1016","A-153","Ростопчина Е.П.","К равнодушной","Скажи, красавица жестокая моя","Совр",1838,"Т. 12. 3-ей паг","","76-78","","Гр-ня Е. Р-на"
"22","../../data/corpus1835/periodicals/per_raw//P_1017.txt","P_1017","A-242","Рудыковский Н.","Сонет Мильтона","Когда придет мне в мысль, что я лишен очей","Совр",1838,"Т. 12. 3-ей паг","","79","","Н. Рудыковский"
"23","../../data/corpus1835/periodicals/per_raw//P_1018.txt","P_1018","A-170","Тургенев И.С.","К Венере Медицейской","Богиня красоты, любви и наслажденья","Совр",1838,"Т. 12. 3-ей паг","","82-84","","-в"
"24","../../data/corpus1835/periodicals/per_raw//P_1019.txt","P_1019","A-221","Пожарский И.","Друг, оседлай","Друг! оседлай могучего орла","Совр",1838,"Т. 12. 3-ей паг","","85","","И. Пожарский"
"25","../../data/corpus1835/periodicals/per_raw//P_102.txt","P_102","A-231","Языкова Л.","Бессмертие","Чего всю жизнь достигнуть тщитесь","БдЧ",1836,"Т. 16","","14-16","","Л. Языкова"
"26","../../data/corpus1835/periodicals/per_raw//P_1020.txt","P_1020","A-50","Якубович Л.А.","За днями дни текут","За днями дни текут обычной чередою","Совр",1838,"Т. 12. 3-ей паг","","86","","Л. Якубович"
"27","../../data/corpus1835/periodicals/per_raw//P_1021.txt","P_1021","","А.Ш.","Алупка","Девы! Севера родного","Совр",1838,"Т. 12. 3-ей паг","","87-88","","А.Ш."
"28","../../data/corpus1835/periodicals/per_raw//P_1022.txt","P_1022","A-242","Рудыковский Н.","К женщине","Когда ты, женщина, предавшись обольщенью","Совр",1838,"Т. 12. 3-ей паг","","89","","Н. Рудыковский"
"29","../../data/corpus1835/periodicals/per_raw//P_1023.txt","P_1023","A-4","Деларю М.Д.","Надгробие младенцу","Матери, общей нам всем, поручаю твой прах, мой младенец","Совр",1838,"Т. 12. 3-ей паг","","90","","М. Деларю"
"30","../../data/corpus1835/periodicals/per_raw//P_1024.txt","P_1024","A-154","Тютчев Ф.И.","Арфа Скальда","О, арфа Скальда! долго ты спала","Совр",1838,"Т. 12. 3-ей паг","","91","","Ф. Т-в"
"31","../../data/corpus1835/periodicals/per_raw//P_1025.txt","P_1025","A-7","Кольцов А.В.","К милой","Давно расстались мы с тобою","Совр",1838,"Т. 12. 3-ей паг","","92-93","","А. Кольцов"
"32","../../data/corpus1835/periodicals/per_raw//P_1026.txt","P_1026","A-166","Грот Я.К.","Воскресное утро","Какая всюду тишина","Совр",1839,"Т. 13. 1-ой паг","","18-20","Перевод из Францена","Я. Грот"
"33","../../data/corpus1835/periodicals/per_raw//P_1027.txt","P_1027","A-166","Грот Я.К.","","Он скитался вокруг по пустынным морям","Совр",1839,"Т. 13. 1-ой паг","","27-29","Перевод из Тегнера","Я. Грот"
"34","../../data/corpus1835/periodicals/per_raw//P_1028.txt","P_1028","A-166","Грот Я.К.","Жалоба девы","Сердце! сердце! если б ты, тревожное","Совр",1839,"Т. 13. 1-ой паг","","44","Перевод из Рунеберга","Я. Грот"
"35","../../data/corpus1835/periodicals/per_raw//P_1029.txt","P_1029","A-166","Грот Я.К.","Времена года в сердце девушки","Зимним утром вышла девица","Совр",1839,"Т. 13. 1-ой паг","","45","Перевод из Рунеберга","Я. Грот"
"36","../../data/corpus1835/periodicals/per_raw//P_103.txt","P_103","A-143","Ершов П.П.","Послание к другу","Мой друг! куда, в какие воды","БдЧ",1836,"Т. 16","","155-160","","П. Ершов"
"37","../../data/corpus1835/periodicals/per_raw//P_1030.txt","P_1030","A-166","Грот Я.К.","Диво-птица","В хату сын пришел из поля на ночь","Совр",1839,"Т. 13. 1-ой паг","","45-48","Перевод из Рунеберга","Я. Грот"
"38","../../data/corpus1835/periodicals/per_raw//P_1031.txt","P_1031","A-166","Грот Я.К.","Пленники","Как со дна реки, с песчаного","Совр",1839,"Т. 13. 1-ой паг","","49-50","Перевод из Рунеберга","Я. Грот"
"39","../../data/corpus1835/periodicals/per_raw//P_1032.txt","P_1032","A-151","Катенин П.А.","Песнь русского","Святую Русь и Белого Царя","Совр",1839,"Т. 13. 2-ой паг","","165","","П. К- - - ъ"
"40","../../data/corpus1835/periodicals/per_raw//P_1033.txt","P_1033","A-154","Тютчев Ф.И.","Весна","Как ни гнетет рука судьбины","Совр",1839,"Т. 13. 2-ой паг","","169-170","","Ф. Т-в"
"41","../../data/corpus1835/periodicals/per_raw//P_1034.txt","P_1034","A-51","Стромилов С.И.","Люблю","Люблю я пламенные очи","Совр",1839,"Т. 13. 2-ой паг","","171-172","","С. Стромилов"
"42","../../data/corpus1835/periodicals/per_raw//P_1035.txt","P_1035","A-50","Якубович Л.А.","Девице-поэту","Восторгов чистых, дум прекрасных","Совр",1839,"Т. 13. 2-ой паг","","173-174","","Л. Якубович"
"43","../../data/corpus1835/periodicals/per_raw//P_1036.txt","P_1036","A-4","Деларю М.Д.","Марии Д***с","Дарами благими всещедрой рукою","Совр",1839,"Т. 13. 2-ой паг","","175","","М. Деларю"
"44","../../data/corpus1835/periodicals/per_raw//P_1037.txt","P_1037","A-11","Пушкин А.С.","Путешенственнику","Судьба на руль уже склонилась","Совр",1839,"Т. 13. 2-ой паг","","176","","А. Пушкин"
"45","../../data/corpus1835/periodicals/per_raw//P_1038.txt","P_1038","A-229","Петерсон К.А.","Сонет","С тоской и полный грустных размышлений","Совр",1839,"Т. 13. 2-ой паг","","177","","Крлптрсн"
"46","../../data/corpus1835/periodicals/per_raw//P_1039.txt","P_1039","A-257","Милькеев Е.Л.","И как светло","И как светло, и как прекрасно","Совр",1839,"Т. 13. 2-ой паг","","178-179","","Эм- - въ"
"47","../../data/corpus1835/periodicals/per_raw//P_104.txt","P_104","A-220","Панаев И.И.","Минувшая юность","Воспоминанием отрадно вдохновенный","БдЧ",1836,"Т. 16","","160-161","Из Виктора Гюго","И. Панаев"
"48","../../data/corpus1835/periodicals/per_raw//P_1040.txt","P_1040","A-77","Сушков Д.П.","Редкие мгновения","Минуты есть: в душе благоговенье","Совр",1839,"Т. 13. 2-ой паг","","180","","Д. Сушков"
"49","../../data/corpus1835/periodicals/per_raw//P_1041.txt","P_1041","A-161","Айбулат К.М.","Вал","Кипучий вал, тревожный вал","Совр",1839,"Т. 13. 2-ой паг","","181-182","","К. Айбулат"
"50","../../data/corpus1835/periodicals/per_raw//P_1042.txt","P_1042","A-163","Гребенка Е.П.","Богдан","Ночь. Вся окрестность тихо спит","Совр",1839,"Т. 14. 3-ей паг","","137-141","Отрывок из поэмы","Е. Гребенка"
"51","../../data/corpus1835/periodicals/per_raw//P_1043.txt","P_1043","A-153","Ростопчина Е.П.","Отрывок из поэмы","Как тяжело, как грустно сиротство","Совр",1839,"Т. 14. 3-ей паг","","142-144","","Гр-ня Е. Р-на"
"52","../../data/corpus1835/periodicals/per_raw//P_1044.txt","P_1044","A-154","Тютчев Ф.И.","День и ночь","На мир таинственный духов","Совр",1839,"Т. 14. 3-ей паг","","145","","Ф. Т - - в"
"53","../../data/corpus1835/periodicals/per_raw//P_1045.txt","P_1045","A-161","Айбулат К.М.","Красная","Пойдем-ка, брат - ведь ты знаток","Совр",1839,"Т. 14. 3-ей паг","","146-147","","К. Айбулат"
"54","../../data/corpus1835/periodicals/per_raw//P_1046.txt","P_1046","A-51","Стромилов С.И.","М.П. Бибикову","Ты счастлив, друг! В страну очарованья","Совр",1839,"Т. 14. 3-ей паг","","148-149","","С. Стромилов"
"55","../../data/corpus1835/periodicals/per_raw//P_1047.txt","P_1047","A-153","Ростопчина Е.П.","Сосновый лес","Весенних дней цветущее убранство","Совр",1839,"Т. 14. 3-ей паг","","150-151","","Гр-ня Е. Р-на"
"56","../../data/corpus1835/periodicals/per_raw//P_1048.txt","P_1048","","М. Пожарский","Ночь","Ночь. Кругом все грозно было","Совр",1839,"Т. 14. 3-ей паг","","152-153","","М. Пожарский"
"57","../../data/corpus1835/periodicals/per_raw//P_1049.txt","P_1049","A-154","Тютчев Ф.И.","Не верь, не верь поэту","Не верь, не верь поэту, дева","Совр",1839,"Т. 14. 3-ей паг","","154-155","","Ф. Т - - в"
"58","../../data/corpus1835/periodicals/per_raw//P_105.txt","P_105","A-18","Бенедиктов В.Г.","Возвратись!","В поход мы рядились: все прихоти - в пламень","БдЧ",1836,"Т. 16","","161-163","","Бенедиктов"
"59","../../data/corpus1835/periodicals/per_raw//P_1050.txt","P_1050","","","Гробница","В долине безмолвной, где говор людской","Совр",1839,"Т. 14. 3-ей паг","","156-157","",""
"60","../../data/corpus1835/periodicals/per_raw//P_1051.txt","P_1051","A-161","Айбулат К.М.","Последний его современник","Слышишь, дядюшка, а? Дядька","Совр",1839,"Т. 14. 3-ей паг","","158","","К. Айбулат"
"61","../../data/corpus1835/periodicals/per_raw//P_1052.txt","P_1052","A-7","Кольцов А.В.","Бегство","Уж как гляну я на поле","Совр",1839,"Т. 14. 3-ей паг","","159-161","","А. Кольцов"
"62","../../data/corpus1835/periodicals/per_raw//P_1053.txt","P_1053","A-153","Ростопчина Е.П.","","Я помню: на гульбище шумном","Совр",1839,"Т. 14. 3-ей паг","","162-163","Две встречи","Гр-ня Е. Р-на"
"63","../../data/corpus1835/periodicals/per_raw//P_1054.txt","P_1054","A-153","Ростопчина Е.П.","","Я помню, я помню другое свиданье","Совр",1839,"Т. 14. 3-ей паг","","164-165","Две встречи","Гр-ня Е. Р-на"
"64","../../data/corpus1835/periodicals/per_raw//P_1055.txt","P_1055","A-242","Рудыковский Н.","Посредница","Из праха созданное тело","Совр",1839,"Т. 14. 3-ей паг","","166-167","","Н. Рудыковский"
"65","../../data/corpus1835/periodicals/per_raw//P_1056.txt","P_1056","A-257","Милькеев Е.Л.","Сон Ломоносова","Корабль на парусах летит","Совр",1839,"Т. 14. 3-ей паг","","168-171","","Эм- - въ"
"66","../../data/corpus1835/periodicals/per_raw//P_1057.txt","P_1057","","М. Межаков","Я видел море","Я видел море: предо мною","Совр",1839,"Т. 14. 3-ей паг","","172-174","","М. Межаков"
