text_id;title;first_line;pages;year;subtitle;noes;author_sign;A_ID
C_160__1;Хлоя;Цветущая Хлоя прелестна была;7-8;1837;Идиллия;;Анна Смирнова;А-48
C_160__2;Жалоба нимфам;Не розы, а терник всю жизнь мою покрыли;8-10;1837;Два сонета;;Анна Смирнова;А-48
C_160__3;Триолет тебе;Безнравственность порок;10;1837;;;Анна Смирнова;А-48
C_160__4;Сочинителю поэмы Марий на развалинах Карфагена;Ты нам изобразил прошедши Римлян злости;10-12;1837;;;Анна Смирнова;А-48
C_160__5;Мадригал;Во сне мечтался сон: днем правда пробудилась;12;1837;;;Анна Смирнова;А-48
C_160__6;Киферские сады;Тебе я посвящу мыслей своих теченье;12-14;1837;;;Анна Смирнова;А-48
C_160__7;Снежные картины;О сколько прелестей возвышенной природы;14-15;1837;;;Анна Смирнова;А-48
C_160__8;Феб и шотландец;Летая по земплям, наполненным красами;15-18;1837;;;Анна Смирнова;А-48
C_160__9;Постоянство судьбы;Тогда еще была я в ужасе природы;18-19;1837;Рондо;;Анна Смирнова;А-48
C_160__10;Характер поэта;В Аркадии стране все дышит красотою;19-20;1837;;;Анна Смирнова;А-48
C_160__11;Кавказ;О ты! гордящийся величеством Кавказ;21-22;1837;;;Анна Смирнова;А-48
C_160__12;К М… Б…;Ты молод, друг, и легковерен;22-24;1837;Ода;;Анна Смирнова;А-48
C_160__13;Мон-Блан;Природа дикая, венец порфирных гор;24-26;1837;;;Анна Смирнова;А-48
C_160__14;Лютцен;Здесь прах покоится сраженного героя;26-28;1837;;;Анна Смирнова;А-48
C_160__15;Грампианские горы (В шотландии);Отчизна милая любезного Бейрона;28-29;1837;;;Анна Смирнова;А-48
C_160__16;Идеал света;Как в первый раз учился человек;29-36;1837;;;Анна Смирнова;А-48
C_160__17;Эпитафия;Усни, мой друг, от долгих столь трудов;36;1837;Боннету;;Анна Смирнова;А-48
C_160__18;К М… Д…;Приятно видеть просвещенность;36-38;1837;Ода;;Анна Смирнова;А-48
C_160__19;Эфирные поля;Не в этих ли полях блаженны реки льются;38-39;1837;;;Анна Смирнова;А-48
C_160__20;Канны;Твой жребий прославлять героев бедоносных;39-41;1837;;;Анна Смирнова;А-48
C_160__21;Любовь;О как владычество свое далеко простираешь;41-42;1837;;;Анна Смирнова;А-48
C_160__22;Высоты Монмартра;Увы! я с сих высот поспешно удаляюсь;42-44;1837;;;Анна Смирнова;А-48
C_160__23;Тироль;Тироль! и ты в мой ум забвенно проникаешь;44-45;1837;;;Анна Смирнова;А-48
C_160__24;Идеал истины и идеал лжи;Мой труден путь, грозящий рвеньем;46-48;1837;;;Анна Смирнова;А-48
C_160__25;Клеомениада;Ах, солнце отстает сиять, Лакедемона;48-53;1837;;;Анна Смирнова;А-48
C_160__26;Море и река;Судна крепкие несутся;53-55;1837;;;Анна Смирнова;А-48
C_160__27;Зима;Что вижу? - Гераклит уж слезы проливает;55-56;1837;;;Анна Смирнова;А-48
C_160__28;Парнас;Печальная гора, лобзаемая светом;57-58;1837;;;Анна Смирнова;А-48
C_160__29;Аврора;О смертный! пробудись, Аврора улыбнулась;58-61;1837;;;Анна Смирнова;А-48
C_160__30;Сен-Готгард;Смущенный Сен-Готгард давно ли ты уныл;61-63;1837;;;Анна Смирнова;А-48
C_160__31;Адерсбах;Природа прелестью твой вид там одарила;63-64;1837;;;Анна Смирнова;А-48
C_160__32;Росни;Ни ранняя заря, ни блеск кометы важной;64-66;1837;;;Анна Смирнова;А-48
C_160__33;Шеви дер;О прелести отчизн, невинные лобзанья;66-67;1837;;;Анна Смирнова;А-48
C_160__34;Лонгвуд;Увы! в могиле сей погиб Наполеон;67-69;1837;;;Анна Смирнова;А-48
C_160__35;Гений;Уныл всегда Эдвин, в задумчивость одет;69-71;1837;;;Анна Смирнова;А-48
C_160__36;Женева;Представьте мне лучем вид мраморной Женевы;71-73;1837;С окрестностями;;Анна Смирнова;А-48
C_160__37;Кунерсдорф;В спокойствии души, ты Музой воспевал;74-75;1837;;;Анна Смирнова;А-48
C_160__38;Новы Сократ;Богатый прелестью, богатый искушеньем;75-77;1837;;;Анна Смирнова;А-48
C_160__39;К М… С…;Любить тебя не преставаю;77-79;1837;Ода;;Анна Смирнова;А-48
C_160__40;Иосифиада;Когда Иакова сыны обратно возвратились;83-86;1837;;;Анна Смирнова;А-48
C_160__41;Эпитафия;Не бойся, милый друг, что прах твой истребится;87;1837;к Др.;;Анна Смирнова;А-48
C_160__42;Леса;Блаженные леса, Венериной судьбины;88-89;1837;;;Анна Смирнова;А-48
C_160__43;Нагробная Боннету;Где ты покоишься, о друг сердец, природы;89-90;1837;;;Анна Смирнова;А-48
C_160__44;Гебр на развалинах Персеполя;Где ты, отчизна, блеск схоронила;91-93;1837;;;Анна Смирнова;А-48
C_160__45;П*** Б*** или Д*** П***;Чудесная краса, величественны горы;93-95;1837;;;Анна Смирнова;А-48
C_160__46;Прогулка в Летний сад;В прекрасный летний день, как все здесь восхищалось;95-98;1837;;;Анна Смирнова;А-48
C_160__47;Чувство аркадийца или Сильная любовь к Отечеству;Бегут стада толпой по прелестным долинам;99-109;1837;;;Анна Смирнова;А-48
