;inclued;Unnamed..0;path;author;created;formula;header;text_raw
1;yes;2772;xix/baratynsky/br1-0052;Е. А. Баратынский;1820-1827;Я4,Я5,Я6ж,м;Финляндия : «В свои расселины вы приняли певца...»;"В свои расселины вы приняли певца, 
 Граниты финские, граниты вековые, 
 Земли ледяного венца 
 Богатыри сторожевые. 
 Он с лирой между вас. Поклон его, поклон 
 Громадам, миру современным: 
 Подобно им да будет он 
 Во все годины неизменным! 
 Как всё вокруг меня пленяет чудно взор! 
 Там, необъятными водами, 
 Слилося море с небесами; 
 Тут с каменной горы к нему дремучий бор 
 Сошел тяжелыми стопами, 
 Сошел -- и смотрится в зерцале гладких вод! 
 Уж поздно, день погас; но ясен неба свод, 
 На скалы финские без мрака ночь нисходит 
 И только-что себе в убор 
 Алмазных звезд ненужный хор 
 На небосклон она выводит! 
 Так вот отечество Одиновых детей, 
 Грозы народов отдаленных! 
 Так это колыбель их беспокойных дней, 
 Разбоям громким посвященных!


Умолк призывный щит, не слышен Скальда глас, 
 Воспламененный дуб угас, 
 Развеял буйный ветр торжественные клики; 
 Сыны не ведают о подвигах отцов; 
 И в дольном прахе их богов 
 Лежат низверженные лики!


И всё вокруг меня в глубокой тишине! 
 О вы, носившие от брега к брегу бои, 
 Куда вы скрылися, полночные герои? 
 Ваш след исчез в родной стране. 
 Вы ль, на скалы ее вперив скорбящи очи, 
 Плывете в облаках туманною толпой? 
 Вы ль? дайте мне ответ, услышьте голос мой, 
 Зовущий к вам среди молчанья ночи, 
 Сыны могучие сих грозных, вечных скал! 
 Как отделились вы от каменной отчизны? 
 Зачем печальны вы? зачем я прочитал 
 На лицах сумрачных улыбку укоризны? 
 И вы сокрылися в обители теней! 
 И ваши имена не пощадило время! 
 Что ж наши подвиги, что слава наших дней, 
 Что наше ветреное племя? 
 О, всё своей чредой исчезнет в бездне лет! 
 Для всех один закон, закон уничтоженья, 
 Во всем мне слышится таинственный привет 
 Обетованного забвенья!


Но я, в безвестности, для жизни жизнь любя, 
 Я, беззаботливый душою, 
 Вострепещу ль перед судьбою? 
 Не вечный для времен, я вечен для себя: 
 Не одному ль воображенью 
 Гроза их что-то говорит? 
 Мгновенье мне принадлежит, 
 Как я принадлежу мгновенью! 
 Что нужды до былых иль будущих племен? 
 Я не для них бренчу незвонкими струнами; 
 Я, невнимаемый, довольно награжден 
 За звуки звуками, а за мечты мечтами.


"
2;;2773;xix/baratynsky/br1-007;Е. А. Баратынский;1820-1827;Я4жм;Водопад : «Шуми, шуми с крутой вершины...»;"Шуми, шуми с крутой вершины, 
 Не умолкай, поток седой! 
 Соединяй протяжный вой 
 С протяжным отзывом долины.


Я слышу: свищет Аквилон, 
 Качает елию скрыпучей, 
 И с непогодою ревучей 
 Твой рев мятежный соглашон.


Зачем, с безумным ожиданьем, 
 К тебе прислушиваюсь я? 
 Зачем трепещет грудь моя 
 Каким-то вещим трепетаньем?


Как очарованный стою 
 Над дымной бездною твоею 
 И, мнится, сердцем разумею 
 Речь безглагольную твою.


Шуми, шуми с крутой вершины, 
 Не умолкай, поток седой! 
 Соединяй протяжный вой 
 С протяжным отзывом долины!


"
3;да;2774;xix/baratynsky/br1-008;Е. А. Баратынский;1823;Я5ж+Я3м;Истина : «О счастии с младенчества тоскуя...»;"О счастии с младенчества тоскуя, 
 Всё счастьем беден я, 
 Или во век его не обрету я 
 В пустыне бытия?


Младые сны от сердца отлетели, 
 Не узнаю я свет; 
 Надежд своих лишен я прежней цели, 
 А новой цели нет.


Безумен ты и все твои желанья, 
 Мне первый опыт рек; 
 И лучшие мечты моей созданья 
 Отвергнул я навек.


Но для чего души разуверенье 
 Свершилось не вполне? 
 Зачем же в ней слепое сожаленье 
 Живет о старине?


Так некогда обдумывал с роптаньем 
 Я дольний жребий свой, 
 Вдруг Истину (то не было мечтаньем) 
 Узрел перед собой.


«Светильник мой укажет путь ко счастью! 
 (Вещала) захочу 
 И страстного отрадному бесстрастью 
 «Тебя я научу.


Пускай со мной ты сердца жар погубишь, 
 «Пускай, узнав людей, «Ты, может быть, испуганный разлюбишь 
 «И ближних и друзей.


«Я бытия все прелести разрушу, 
 «Но ум наставлю твой; 
 Я оболью суровым хладом душу, 
 «Но дам душе покой».


Я трепетал, словам ее внимая, 
 И горестно в ответ 
 Промолвил ей: о гостья роковая! 
 Печален твой привет.


Светильник твой -- светильник погребальный 
 Всех радостей земных! 
 Твой мир, увы! могилы мир печальный, 
 И страшен для живых.


Нет, я не твой! в твоей науке строгой 
 Я счастья не найду; 
 Покинь меня: кой-как моей дорогой 
 Один я побреду.


Прости! иль нет: когда мое светило 
 Во звездной вышине 
 Начнет бледнеть, и всё, что сердцу мило, 
 Забыть придется мне,


Явись тогда! раскрой тогда мне очи, 
 Мой разум просвети: 
 Чтоб, жизнь презрев, я мог в обитель ночи 
 Безропотно сойти.


"
4;да;2775;xix/baratynsky/br1-010;Е. А. Баратынский;1824;Я5мж;Череп : «Усопший брат! кто сон твой возмутил?..»;"Усопший брат! кто сон твой возмутил? 
 Кто пренебрег святынею могильной? 
 В разрытый дом к тебе я нисходил, 
 Я в руки брал твой череп желтый, пыльной!


Еще носил волос остатки он; 
 Я зрел на нем ход постепенный тленья. 
 Ужасный вид! как сильно поражон 
 Им мыслящий наследник разрушенья!


Со мной толпа безумцев молодых 
 Над ямою безумно хохотала: 
 Когда б тогда, когда б в руках моих 
 Глава твоя внезапно провещала!


Когда б она цветущим, пылким нам 
 И каждый час грозимым смертным часом, 
 Все истины известные гробам 
 Произнесла своим бесстрастным гласом!


Что говорю? Стократно благ закон, 
 Молчаньем ей уста запечатлевший; 
 Обычай прав, усопших важный сон 
 Нам почитать издревле повелевший.


Живи живой, спокойно тлей мертвец! 
 Всесильного ничтожное созданье, 
 О человек! уверься, наконец, 
 Не для тебя ни мудрость, ни всезнанье!


Нам надобны и страсти, и мечты, 
 В них бытия условие и пища: 
 Не подчинишь одним законам ты 
 И света шум и тишину кладбища!


Природных чувств мудрец не заглушит 
 И от гробов ответа не получит: 
 Пусть радости живущим жизнь дарит, 
 А смерть сама их умереть научит.


"
5;да;2776;xix/baratynsky/br1-012;Е. А. Баратынский;1823;Я4,Я6жм;Рим : «Ты был ли, гордый Рим, земли самовластитель...»;"Ты был ли, гордый Рим, земли самовластитель, 
 Ты был ли, о свободный Рим? 
 К немым развалинам твоим 
 Подходит с грустию их чуждый навеститель.


За что утратил ты величье прежних дней? 
 За что, державный Рим! тебя забыли боги? 
 Град пышный, где твои чертоги, 
 Где сильные твои? о родина мужей!


Тебе ли изменил победы мощный гений? 
 Ты ль на распутии времен 
 Стоишь в позорище племен, 
 Как пышный саркофаг погибших поколений?


Кому еще грозишь с твоих семи холмов? 
 Судьбы ли всех держав ты грозный возвеститель? 
 Или, как призрак-обвинитель, 
 Печальный предстоишь очам твоих сынов?


"
6;да;2777;xix/baratynsky/br1-013;Е. А. Баратынский;1821;Я6ммжж;Родина : «Я возвращуся к вам, поля моих отцов...»;"Я возвращуся к вам, поля моих отцов, 
 Дубравы мирные, священный сердцу кров! 
 Я возвращуся к вам, домашние иконы! 
 Пускай другие чтут приличия законы; 
 Пускай другие чтут ревнивый суд невежд; 
 Свободный наконец от суетных надежд, 
 От беспокойных снов, от ветреных желаний, 
 Испив безвременно всю чашу испытаний, 
 Не призрак счастия, но счастье нужно мне. 
 Усталый труженик, спешу к родной стране 
 Заснуть желанным сном под кровлею родимой. 
 О дом отеческий! о край всегда любимой! 
 Родные небеса! незвучный голос мой, 
 В стихах задумчивых вас пел в стране чужой, 
 Вы мне повеете спокойствием и счастьем. 
 Как в пристани пловец, испытанный ненастьем, 
 С улыбкой слушает, над бездною воссев, 
 И бури грозный свист и волн мятежный рев; 
 Так, небо не моля о почестях и злате, 
 Спокойный домосед в моей безвестной хате, 
 Укрывшись от толпы взыскательных судей, 
 В кругу друзей своих, в кругу семьи своей, 
 Я буду издали глядеть на бури света. 
 Нет, нет, не отменю священного обета! 
 Пускай летит к шатрам бестрепетный герой; 
 Пускай кровавых битв любовник молодой 
 С волненьем учится, губя часы златые, 
 Науке размерять окопы боевые: 
 Я с детства полюбил сладчайшие труды. 
 Прилежный, мирный плуг, взрывающий бразды, 
 Почтеннее меча; полезный в скромной доле, 
 Хочу возделывать отеческое поле. 
 Оратай, ветхих дней достигший над сохой, 
 В заботах сладостных наставник будет мой; 
 Мне дряхлого отца сыны трудолюбивы 
 Помогут утучнять наследственные нивы. 
 А ты, мой старый друг, мой верный доброхот, 
 Усердный пестун мой, ты, первый огород 
 На отческих полях разведший в дни былые! 
 Ты поведешь меня в сады свои густые, 
 Деревьев и цветов расскажешь имена; 
 Я сам, когда с небес роскошная весна 
 Повеет негою воскреснувшей природе, 
 С тяжелым заступом явлюся в огороде; 
 Приду с тобой садить коренья и цветы. 
 О подвиг благостный! не тщетен будешь ты: 
 Богиня пажитей признательней Фортуны! 
 Для них безвестный век, для них свирель и струны; 
 Они доступны всем и мне за легкий труд 
 Плодами сочными обильно воздадут. 
 От гряд и заступа спешу к полям и плугу; 
 А там, где ручеек по бархатному лугу 
 Катит задумчиво пустынные струи, 
 В весенний ясный день я сам, друзья мои, 
 У брега насажу лесок уединенный, 
 И липу свежую и тополь осребренный; 
 В тени их отдохнет мой правнук молодой; 
 Там дружба некогда сокроет пепел мой 
 И вместо мрамора положит на гробницу 
 И мирный заступ мой и мирную цевницу.


"
7;да;2778;xix/baratynsky/br1-015;Е. А. Баратынский;1823;Я4дм;Две доли : «Дало две доли провидение...»;"Дало две доли провидение 
 На выбор мудрости людской: 
 Или надежду и волнение, 
 Иль безнадежность и покой.


Верь тот надежде обольщающей, 
 Кто бодр неопытным умом, 
 Лишь по молве разновещающей 
 С судьбой насмешливой знаком.


Надейтесь, юноши кипящие! 
 Летите: крылья вам даны; 
 Для вас и замыслы блестящие, 
 И сердца пламенные сны!


Но вы, судьбину испытавшие, 
 Тщету утех, печали власть, 
 Вы знанье бытия приявшие, 
 Себе на тягостную часть!


Гоните прочь их рой прельстительный; 
 Так! доживайте жизнь в тиши 
 И берегите хлад спасительный 
 Своей бездейственной души.


Своим бесчувствием блаженные, 
 Как трупы мертвых из гробов, 
 Волхва словами пробужденные, 
 Встают со скрежетом зубов,


Так вы, согрев в душе желания, 
 Безумно вдавшись в их обман, 
 Проснетесь только для страдания, 
 Для боли новой прежних ран.


"
8;да;2779;xix/baratynsky/br1-016;Е. А. Баратынский;1824;Я4,Я5,Я6ж,м;Буря : «Завыла буря хлябь морская...»;"Завыла буря; хлябь морская 
 Клокочет и ревет, и черные валы 
 Идут, до неба восставая, 
 Бьют, гневно пеняся, в прибрежные скалы.


Чья неприязненная сила, 
 Чья своевольная рука 
 Сгустила в тучи облака 
 И на краю небес ненастье зародила. 
 Кто возмутив природы чин, 
 Горами влажными на землю гонит море? 
 Не тот ли злобный дух, геенны властелин, 
 Что по вселенной розлил горе, 
 Что человека подчинил 
 Желаньям, немощи, страстям и разрушенью 
 И на творенье ополчил 
 Все силы, данные творенью? 
 Земля трепещет перед ним: 
 Он небо заслонил огромными крылами 
 И двигает ревущими водами, 
 Бунтующим могуществом своим.


Иль вечным будет заточенье? 
 Когда волнам твоим я вверюсь, океан? 
 Но знай: красой далеких стран 
 Не очаровано мое воображенье. 
 Под небом лучшим обрести 
 Я лучшей доли не сумею; 
 Вновь не смогу душой моею 
 В краю цветущем расцвести. 
 Меж тем от прихоти судьбины, 
 Меж тем от медленной отравы бытия, 
 В покое раболепном я 
 Ждать не хочу своей кончины; 
 На яростных волнах, в борьбе со гневом их. 
 Она отраднее гордыне человека! 
 Как жаждал радостей младых 
 Я на заре младого века, 
 Так ныне, океан, я жажду бурь твоих!


Волнуйся, восставай на каменные грани; 
 Он веселит меня, твой грозный, дикий рев, 
 Как зов к давно-желанной брани, 
 Как мощного врага мне чем-то лестный гнев.


"
9;да;2780;xix/baratynsky/br1-0182;Е. А. Баратынский;1820-1827;Я5ж,м;Разлука : «Расстались мы на миг очарованьем...»;"Расстались мы; на миг очарованьем, 
 На краткий миг была мне жизнь моя; 
 Словам любви внимать не буду я, 
 Не буду я дышать любви дыханьем! 
 Я всё имел, лишился вдруг всего; 
 Лишь начал сон... исчезло сновиденье! 
 Одно теперь унылое смущенье 
 Осталось мне от счастья моего.


"
10;;2781;xix/baratynsky/br1-019;Е. А. Баратынский;1819-1827;Я4ж,м;В альбом : «Земляк! в стране чужой, суровой...»;"Земляк! в стране чужой, суровой 
 Сошлись мы вновь, и сей листок 
 Ждет от меня заветных строк 
 На память для разлуки новой. 
 Ты любишь милую страну, 
 Где жизнь и радость мы узнали, 
 Где зрели первую весну, 
 Где первой страстию пылали? 
 Покинул я предел родной! 
 Так и с тобою, друг мой милый, 
 Здесь проведу я день, другой, 
 И, как узнать? в стране чужой 
 Окончу я мой век унылый; 
 А ты увидишь дом отцов, 
 А ты узришь поля родные 
 И прошлых счастливых годов 
 Вспомянешь были золотые. 
 Но где товарищ, где поэт, 
 Тобой с младенчества любимый? 
 Он совершил судьбы завет, 
 Судьбы враждебной с юных лет 
 И до конца непримиримой! 
 Когда ж стихи мои найдешь, 
 Где складу нет, но чувство живо: 
 Ты их задумчиво прочтешь, 
 Глаза потупишь молчаливо... 
 И тихо лист перевернешь.


"
