"","year","header","text_raw"
"1",1835,"Утес : «Отвсюду объятый равниною моря...»","Отвсюду объятый равниною моря, 
 Утес гордо высится, -- мрачен, суров, 
 Незыблем стоит он, в могуществе споря 
 С прибоями волн и с напором веков. 
 Валы только лижут могучего пяты; 
 От времени только бразды вдоль чела; 
 Мох серый ползет на широкие скаты, 
 Седая вершина -- престол для орла.


Как в плащ исполин весь во мглу завернулся 
 Поник, будто в думах, косматой главой; 
 Бесстрашно над морем всем станом нагнулся 
 И грозно нависнул над бездной морской. 
 Вы ждете -- падет он -- не ждите паденья! 
 Наклонно он стал, чтобы сверху взирать 
 На слабые волны с усмешкой презренья 
 И смертного взоры отвагой пугать.


Он хладен, но жар в нем закован природный: 
 Во дне чудодейства зиждительных сил 
 Он силой огня -- сын огня первородный -- 
 Из сердца земли мощно выдвинут был! 
 Взлетел и застыл он твердыней гранита. 
 Ему не живителен солнечный луч; 
 Для нег его грудь вековая закрыта; 
 И дик и угрюм он: зато он могуч!


Зато он неистовой радостью блещет, 
 Как ветры помчатся в разгульный свой путь, 
 Когда в него море бурунами хлещет 
 И прыгает жадно гиганты на грудь. 
 Вот молнии пламя над ним засверкало. 
 Перун свой удар ему в сердце нанес -- 
 Что ж? -- огненный змей изломил свое жало, 
 И весь невредимый хохочет утес.


"
"2",1835,"Незабвенная : «В дни, когда в груди моей чувство развивалося...»","В дни, когда в груди моей чувство развивалося 
 Так свежо и молодо 
 И мечтой согретое сердце не сжималося 
 От земного холода, -- 
 В сумраке безвестности за Невой широкою, 
 Небом сокровенная, 
 Мне явилась чудная -- дева светлоокая, 
 Дева незабвенная. 
 Как она несла свою тихо и торжественно 
 Грудь полуразвитую! 
 Как глубоко принял я взор ее божественной 
 В душу ей открытую! 
 На младом челе ее -- над очей алмазами 
 Дивно отражалося, 
 Как ее мысль тихая, зрея в светлом разуме 
 Искрой разгоралася, 
 А потом из уст ее, словом оперенная, 
 Голубем пленительным 
 Вылетала чистая, в краски облеченная, 
 С шумом упоительным. 
 Если ж дева взорами иль улыбкой дружнею 
 Юношу лелеяла -- 
 Негою полуденной, теплотою южною 
 От прелестной веяло.


Помните ль, друзья мои? там ее видали мы 
 Вечно безмятежную, 
 С радостями темными, с ясными печалями 
 И с улыбкой нежною. 
 С ней влеклись мечтатели в области надзвездные 
 Помыслами скрытными; 
 Чудная влекла к себе и сердца железные 
 Персями магнитными. 
 Время перемчалося: скрылся ангел сладостной! 
 Все исчезло с младостью -- 
 Все, что только смертные на земле безрадостной 
 Называют радостью... 
 Перед девой новою сердца беспокойного 
 Тлело чувство новое; 
 Но уж было чувство то -- после лета знойного 
 Солнце сентябревое. 
 Предаю забвению новую прелестницу, 
 В грудь опустошенную 
 Заключив лишь первую счастья провозвестницу 
 Деву незабвенную.


Всюду в жизни суетной -- в бурях испытания 
 Бедность обнаружена; 
 Но, друзья, не беден я: в терниях страдания 
 Светится жемчужина -- 
 И по граням памяти ходит перекатная, 
 Блещет многоценная: 
 Это перл души моей -- дева невозвратная, 
 Дева незабвенная!


"
"3",1835,"Жалоба дня : «На востоке засветлело...»","На востоке засветлело, 
 Отошла ночная тень; 
 День взлетел, как ангел белой... 
 Отчего ж ты грустен, день?


«Оттого порой грущу я, 
 Что возлюбленная ночь, 
 Только к милой подхожу я -- 
 От меня уходит прочь. 
 Вот и ныне -- под востоком 
 Лишь со мной она сошлась, 
 Ярким пурпурным потоком 
 Облилась и унеслась. 
 Вслед за ней туманы плыли, 
 Облаков катился стан; 
 Тучки ложем ей служили, 
 Покрывалом был туман. 
 Я горел мечтой огнистой: 
 Так мила и так легка! 
 Покрывало было чисто, 
 Не измяты облака. 
 Без нее -- с огнями Феба 
 Что лазурный мне алтарь? 
 Я -- в роскошном царстве неба 
 Одинокий бедный царь -- 
 С той поры ищу царицы, 
 Как в пучину бытия 
 Из всемощныя десницы 
 Вышла юная земля».


Не томись, о день прелестной! 
 Ты найдешь ее, найдешь; 
 С тишиной ее чудесной 
 Блеск свой огненный сольешь, 
 Как пройдет времен тревога, 
 И, окончив грустный пир, 
 Отдохнуть на перси бога 
 Истомленный ляжет мир!


"
"4",1835,"Два видения : «Я дважды любил: две волшебницы-девы...»","Я дважды любил: две волшебницы-девы 
 Сияли мне в жизни средь божьих чудес; 
 Они мне внушали живые напевы, 
 Знакомили душу с блаженством небес. 
 Одну полюбил, как слезою печали 
 Ланита прекрасной была нажжена; 
 Другую, когда ее очи блистали 
 И сладко, роскошно смеялась она.


Исчезло, чем прежде я был разволнован, 
 Но след волнованья остался во мне; 
 Доныне их образ чудесный закован 
 На сердце железном в грудной глубине. 
 Когда ж я в глубоком тону размышленьи 
 О темном значеньи грядущего дня, -- 
 Внезапно меня посещает виденье 
 Одной из двух дев, чаровавших меня.


И первой любви моей дева приходит, 
 Как ангел скорбящий, бледна и грустна, 
 И влажные очи на небо возводит, 
 И к персям, тоскою разбитым, она 
 Крестом прижимает лилейные руки; 
 Каштановый волос струями разлит. . 
 Явление девы, исполненной муки, 
 Мне день благодатный в грядущем сулит.


Когда ж мне является дева другая, 
 Черты ее буйным весельем горят, 
 Глаза ее рыщут, как пламя сверкая, 
 Уста, напрягаясь, как струны дрожат; 
 И дева та тихо, безумно хохочет, 
 Колышась, ее надрывается грудь: 
 И это виденье мне горе пророчит, 
 Падение терний на жизненный путь.


Пред лаской судьбы и грозой ее гнева 
 Одна из предвестниц всегда прилетит; 
 Но редко мне видится первая дева, -- 
 Последняя часто мне смехом гремит; 
 И в жизни я вижу немногие розы, 
 По-многу блуждаю в тернистых путях; 
 Но в радостях редких даются мне слезы, 
 При частых страданьях есть хохот в устах.


"
"5",1835,"К Полярной звезде : «Небо полночное звезд мириадами...»","Небо полночное звезд мириадами 
 Взорам бессонным блестит; 
 Дивный венец его светит Плеядами, 
 Альдебараном горит. 
 Пышных тех звезд красоту лучезарную 
 Бегло мой взор миновал, 
 Все облетел, но, упав на Полярную, 
 Вдруг, как прикованный, стал.


Тихо горишь ты, дочь неба прелестная, 
 После докучного дня; 
 Томно и сладостно, дева небесная, 
 Смотришь с высот на меня. 
 Жителя севера ночь необъятная 
 Топит в лукавую тьму: 
 Ты безвосходная, ты беззакатная -- 
 Солнце ночное ему!


В длинную ночь селянин озабоченной, 
 Взоры стремя к высотам, 
 Ждет, не пропустит поры обуроченной: 
 Он наглядит ее там, 
 Где Колесница небес безотъездная 
 Искрой полярной блестит; 
 Там в книге звездной пред ним семизвездная 
 Времени буква стоит.


Плаватель по морю бурному носится -- 
 Где бы маяк проблеснул? 
 У моря жадного дна не допросится, 
 Берег -- давно потонул. 
 Там его берег, где ты зажигаешься, 
 Горний маяк для очес! 
 Там его дно, где ты в небо впиваешься, 
 Сребреный якорь небес!


Вижу: светил хоровод обращается -- 
 Ты неподвижна одна. 
 Лик неба синего чудно меняется -- 
 Ты неизменно верна. 
 Не от того ли так сердцу мечтателя 
 Мил твой таинственный луч? 
 Молви, не ты ли в деснице создателя, 
 Звездочка, вечности ключ?


"
"6",1835,"Смерть розы / «Весна прилетела обкинулся зеленью куст...»","Весна прилетела; обкинулся зеленью куст; 
 Вот ангел цветов у куста, оживленного снова, 
 Коснулся шипка молодого 
 Дыханьем божественных уст -- 
 И роза возникла, дохнула, раскрылась, прозрела, 
 Сладчайший кругом аромат разлила и зарей заалела. 
 И ангел цветов от прекрасной нейдет 
 И, пестрое царство свое забывая 
 И только над юною розой порхая, 
 В святом умиленьи поет:


"
"7",1835,"Смерть розы / «Рдей, царица дней прелестных!..»","Рдей, царица дней прелестных! 
 Вешней радостью дыша, 
 Льется негой струй небесных 
 Из листков полутелесных 
 Ароматная душа.


Век твой красен, хоть не долог: 
 Вся ты прелесть, вся любовь; 
 Сладкий сок твой -- счастье пчелок; 
 Алый лист твой -- брачный полог 
 Золотистых мотыльков.


Люди добрые голубят, 
 Любят пышный цвет полей; 
 Ах, они ж тебя и сгубят: 
 Люди губят все, что любят, -- 
 Так ведется у людей!


"
"8",1835,"Смерть розы / «Сбылось предвещанье -- и юноша розу сорвал...»","Сбылось предвещанье -- и юноша розу сорвал, 
 И девы украсил чело этой пламенной жатвой, 
 И девы привет с обольстительной клятвой 
 Отрадно ему прозвучал. 
 Но что ж? Не поблек еще цвет, от родного куста отделенной, 
 Как девы с приколотой розой чело омрачилось изменой. 
 Оставленный юноша долго потом 
 Страдал в воздаянье за пагубу розы; 
 Но вот уж и он осушил свои слезы, 
 А плачущий ангел порхал, безутешен, над сирым кустом.


"
"9",1835,"Золотой век : «Ты был ли когда-то, пленительный век...»","Ты был ли когда-то, пленительный век, 
 Как пышные рощи под вечной весною 
 Сияли нетленных цветов красотою, 
 И в рощах довольный витал человек, 
 И сердца людского не грызла забота, 
 И та же природа, как нежная мать, 
 С людей не сбирала кровавого пота, 
 Чтоб зернами щедро поля обнизать?


Вы были ль когда-то, прекрасные дни, 
 Как злая неправда и злое коварство 
 Не ведали входа в сатурново царство 
 И всюду сверкали Веселья одни; 
 На землю взирали с лазурного свода 
 Небесные звезды очами судей, 
 Скрижали законов давала природа, 
 И милая дикость равняла людей?


Вы были ль когда-то, златые года, 
 Как праздно лежало в недвижном покое 
 В родном подземелье железо тупое 
 И им не играла пустая вражда; 
 И хищная сила по лику земному 
 Границ не чертила кровавой чертой, 
 Но тихо катилось от рода к другому 
 Святое наследье любви родовой?


Ты было ли, время, когда в простоте, 
 Не зная обмана и тихого гнева, 
 Пред юношей стройным прекрасная дева 
 Спокойно блистала во всей красоте; 
 Когда и тела их и души сливая, 
 Любовь не гнездилась в ущелье сердец, 
 Но всюду раскрыта, всем в очи сверкая, 
 На мир одевала всеобщий венец?


Ты был ли, век дивный? Твоя красота 
 Не есть ли слиянье прекрасных видений, 
 Пленительный вымысл -- игра поколений, 
 Иль дряхлого мира о прошлом мечта? 
 Ты не был, век милый! Позорищем муки 
 Был юноша мир, как и мир наш седой, 
 Но веют тобою Овидия звуки, 
 И сердцу понятен ты, век золотой!


"
"10",1835,"Три вида : «Прекрасна дева молодая...»","Прекрасна дева молодая, 
 Когда, вся в газ облачена, 
 Несется будто неземная 
 В кругах затейливых она. 
 Ее уборы, изгибаясь, 
 То развиваясь, то свиваясь, 
 На разгоревшуюся грудь 
 Очам прокладывают путь 
 Она летит, она сверкает, -- 
 И млеют юноши крутом, 
 И в сладострастии немом 
 Паркет под ножной изнывает. 
 Огонь потупленных очей, 
 По воле милой их царицы 
 Порой блеснет из-под ресницы 
 И бросит молнию страстей. 
 Уста кокетствуют улыбкой; 
 Изобличается стан гибкий; 
 И все, что прихотям дано, 
 Резцом любви округлено.


Прекрасна дева молодая, 
 Когда, влюбленная, она, 
 О стройном юноше мечтая, 
 Сидит, печальна и бледна; 
 Сложив тяжелую снуровку, 
 Летает думой вдалеке 
 И, подпершись на локотке, 
 Покоит милую головку. 
 В очах рисуется тоска, 
 Как на лазури тень ночная, 
 И перси зыблются слегка, 
 В томленьи страстном замирая. 
 Кругом все полно тишины; 
 Недавний блеск и говор бальной 
 Сменен таинственною спальной, 
 Где в ожиданьи вьются сны 
 Над чистым ложем невидимкой, 
 С волшебной, радужною дымкой; 
 Куда в час неги с вышины 
 Мог заходить, и то с украдкой, 
 Луч обольстительный и сладкой 
 Небесной путницы -- луны.


Прекрасна дева молодая, 
 Когда покоится она, 
 Роскошно члены развивая 
 Средь упоительного сна. 
 Рука, откинута небрежно, 
 Лежит под сонной головой, 
 И, озаренная луной, 
 Глава к плечу склонилась нежно. 
 Растянут в ленту из кольца 
 Измятый локон ниспадает 
 И, брошен накось в пол -- лица, 
 Его волшебно оттеняет. 
 Грудные волны и плечо, 
 Никем незримые, открыты, 
 Ланиты негою облиты, 
 И уст дыханье горячо. 
 Давно пронзает луч денницы 
 Лилейный занавес окна: 
 В последнем обаяньи сна 
 Дрожат роскошные ресницы, -- 
 И дева силится вздохнуть; 
 По лику бледность пролетела 
 И пламенеющая грудь 
 В каком-то трепете замлела. . 
 И вот -- лазурная эмаль 
 Очей прелестных развернулась... 
 Она и рада, что проснулась, 
 И сна лукавого ей жаль.


"
