"","year","header","text_raw"
"1",1814,"Подражание первой сатире Буало : «Бегу от вас, бегу, Петропольские стены...»","Бегу от вас, бегу, Петропольские стены, 
 Сокроюсь в мрак лесов, в пещеры отдаленны. 
 Куда бы не достиг коварства дикий взор 
 Или судей, писцов и сыщиков собор. 
 Куда бы ни хвастун, ни лжец не приближался, 
 Где б слух ни ябедой, ни лестью не терзался. 
 Бегу! Я вольности обрел златую нить. 
 Пусть здесь живет Дамон,-- он здесь умеет жить. 
 За деньги счастия не редким став примером, 
 Он из-за стойки в час возникнул кавалером. 
 Пусть Клит живет, его коммерчески дела 
 Французов более нам причинили зла. 
 Иль Граблев, коего бесчинства всем знакомы, 
 Ивана Каина могли б умножить томы, 
 Иль доблестный одной дебелостью Нарцис 
 Пускай меняет здесь сиятельных Лаис. 
 Пусть к пагубе людей с друзьями записными 
 Понт счастье пригвоздил за картами своими. 
 Пусть Грей, любя одни российские рубли, 
 Катоном рядится отеческой земли. 
 Везде, хваля себя, твердит: «Чтоб жить безбедно, 
 Нам щит невежество, нам просвещенье вредно». 
 Таким людям житье в продажной стороне. 
 Но мне здесь жить? к чему? И что здесь делать мне? 
 Могу ль обманывать: могу ли притворяться? 
 Нет! К возвышению постыдно пресмыкаться. 
 Свободен мыслями, хоть скованный судьбой, 
 Не применяюсь я за выгоды душой. 
 Не захочу, на крест иль чин имея виды, 
 Смывать забвением вельможные обиды 
 Иль продавать на зло и вкусу и ушам 
 Тому, кто больше даст, стиховный фимиам! 
 Служить любовникам не ведаю искусства 
 И знатных услаждать изношенные чувства; 
 Я отдаю товар, каков он есть, лицом: 
 Осла ослом зову, Бибриса -- подлецом. 
 За то гоним, забыт, в несчастной самой доле, 
 Богат лишь бедностью, скитался в Петрополе. 
 «Скажи, к чему, теперь я слышу, говорят, 
 Слинявшей мудрости цинический наряд? 
 Сей добродетели обуховской больницы 
 Давно, весьма давно не носят средь столицы. 
 Высокомерие -- законно богачам, 
 А гибкость, рабство, лесть приличны беднякам. 
 Сим только способом бессребренны поэты 
 Исправить могут зло их мачехи-планеты». 
 Так! в наш железный век фортуна-чародей 
 Творит директоров из глупых писарей. 
 Злорада, например, на смех, на диво свету 
 С запяток в пышную перенесла карету 
 И, золотым шитьем сменивши галуны, 
 Ввела и в честь и в знать умильностью жены. 
 Теперь он, пагубным гордясь законов знаньем, 
 Упитан грабленым соседей достояньем, 
 С сверкающих колес стихиею своей 
 Из милости грязнит достойнейших людей. 
 Меж тем как Персий наш пешком повсюду рыщет 
 И обонянием чужих обедов ищет; 
 С бесценным даром сим для авторов знаком, 
 По дыму трубному спешит из дому в дом. 
 Конечно, Росский Тит, в наградах справедливый, 
 Вплетая в лавр побед дельфийские оливы, 
 Гордыню разгромив, с Европой бедных муз 
 Рукою благости освободил от уз. 
 Астреи могут ждать теперь наук пенаты, 
 Наш Август царствует,-- но где же Меценаты? 
 Опорой слабого кто здесь захочет быть? 
 Притом возможно ли дорогу проложить 
 Сквозь тысячи писцов, искателей голодных, 
 Сих жалких авторов восторгов всенародных, 
 На коих без заслуг струится дождь щедрот: 
 Шмели у пчел всегда их расхищают сот. 
 Престанем же наград лелеять ожиданье,-- 
 Без покровителей напрасно дарованье. 
 Ужель не видим мы Боянов наших дней, 
 Влачащих жизнь свою без денег, без друзей, 
 Весной без обуви, а в зиму без шинели, 
 Бледней, чем схимники в конце страстной недели, 
 И получающих в награду всех трудов 
 Насмешки, куплены ценой своих стихов, 
 На коих, потеряв здоровье и именье, 
 Лишь в смерти обретать от бедности спасенье. 
 Иль, за долги в тюрьме простершись на досках, 
 Без хлеба в жизни сей бессмертья ждать в веках. 
 На авторов давно прошла у знатных мода, 
 И лучший здесь поэт, честь русского народа, 
 Вовеки будет чтим с шутами наравне. 
 Ступай в подьячие, там счастье,-- шепчут мне. 
 Неужель должен я, наскучив Аполлоном, 
 Как прежде рифмами,-- теперь играть законом 
 И локтями сметать чернильные столы? 
 Как? чтобы я, сменив корысть на похвалы, 
 В хаосе крючкотворств бессмысленных блуждая 
 И звоном золота невинность заглушая, 
 Для сильных стал весы Фемиды уклонять, 
 По правде белое -- по форме черным звать? 
 И в справках вековых, в сношениях напрасных 
 Бесстыдно волочить просителей несчастных? 
 Скорей, чем эта мысль мне в голову придет, 
 В июне месяце Неву покроет лед. 
 Скорей луна светить в подлунную устанет, 
 Графов писать стихи, злословить Клит престанет, 
 И Трусова скорей узнают храбрецом, 
 Чем я решусь сидеть в палатах за столом. 
 Почто же медлить здесь? Оставим град развратный, 
 Не добродетелью -- лишь зданиями знатный, 
 Где дерзостный порок деяний всех вождем 
 С заслугой к счастию идут одним путем, 
 Коварство кроется в куреньях тонкой лести, 
 Где должно почести купить ценою чести, 
 Где под личиною закона изувер, 
 В почтеньи истину скрывая тьмой химер, 
 Где гнусные ханжи и набожны прелесты 
 Ниноны дух таят под покрывалом Весты, 
 Где роскоши одной является успех, 
 Наука ж, знание в презрении у всех 
 И где к их пагубе взнесли чело строптиво 
 Искусство: красть умно, а угнетать учтиво, 
 Где беззаконно всё, и мне велят молчать, 
 Но можно ли с душой холодной ободрять 
 Столичных жителей испорченные нравы? 
 И кто в улику им, путь указуя правый, 
 Не изольет свой гнев в бесхитростных стихах. 
 Нет! Чтоб сатирою вливать порочным страх, 
 Не нужно кротких муз ждать вдохновенья с неба,-- 
 Гнев справедливости, конечно, стоит Феба. 
 Потише, вопиют, вотще и остроты 
 И град блестящих слов пред ними сыплешь 
 Взойди на кафедру, шуми с профессорами 
 И стены усыпляй моральными речами. 
 Там -- худо ль, хорошо ль -- всё можно говорить. 
 Так мня грехи свои насмешками прикрыть, 
 Смеются многие над правдою и мною, 
 И с ложным мужеством под ранней сединою, 
 Чтоб в бога веровать, ждут лихорадки в дом, 
 Но бледны, трепетны, внимая дальний гром, 
 Скучают небесам безверными мольбами. 
 А в ясны дни, смеясь над бедными людями, 
 Терпите, думают, лишь было б нам легко; 
 Далеко от царя, до бога высоко! 
 Но я, уверен быв, что для самой фортуны 
 Хоть дремлют, но не спят каратели Перуны, 
 От развращения спешу себя спасти. 
 Роскошный Вавилон! В последнее прости.


"
"2",1817,"Из письма к С. В. Савицкой : «Как жаль, что веют здесь Бореи -- не Зефиры...»","Как жаль, что веют здесь Бореи -- не Зефиры, 
 Что не цветут цветы, 
 И словом: вешних дней не видно красоты! 
 А то бы, волю дав струнам пернатой лиры 
 (В простонаречии: гусиное перо), 
 На крыльях юныя мечты, 
 Я б мог представить вас среди полей, кусточков, 
 Гуляющу в тени лесов, 
 Задумавшуюся при шуме ручейков, 
 При говоре листочков, 
 При пеньи птиц лесных; 
 И даже, вспомнивши тираду из Моины, 
 Вздыхающею (для картины); 
 Или в душе с мечтой, с мадам Жанлис в руке, 
 Спешите к Волхову-реке, 
 То с песнями по ней катаясь в челноке, 
 То на уде, и гибкой, и дрожащей, 
 Прельстившись чешуей блестящей, 
 Влечете бьющихся невинных рыб из волн, 
 То к старой Ладоге стремите утлый челн 
 И там, с высот уже осиротелых башен, 
 Раздробленных веков стопой, 
 На все окрестности бросаете взор свой. 
 Воспоминаете, сколь Игорь в них был страшен, 
 Как славою сей град гремел!.. 
 А ныне? Там, где меч о камнь точил воитель, 
 Где щит войну звучал, звенели тулы стрел, 
 Смиренная стоит отшельников обитель; 
 Плющом каменья поросли, 
 Упали стены и бойницы, 
 И кролики живут героев средь столицы. 
 Вы мыслите: «Так всё проходит на земле! ..» 
 И в гости на кадриль спешите. 
 Потом я мог представить вас 
 На берегу крутом, где Волхов волны рьяны 
 Катит через порог, через бугры песчаны, 
 Стрелой летя от глаз. 
 Я вижу мысленно: на сопке вы сидите, 
 На запад пламенный глядите, 
 Любуетесь, когда среди пурпурных туч 
 Играет, отразясь, последний солнца луч; 
 Как с тверди мраки льются, 
 Как по холмам туманы вьются. 
 ...Вы погрузились в море дум; 
 Вот слышится плеск волн, дубравы тихой шум 
 И ветров хладных завыванье, 
 И под курганами подземное стенанье. 
 По чувствам трепет пробежал, 
 Цепями призрак зазвучал. 
 О ужас! близко... Не пугайтесь... 
 Не бойтесь мертвецов,-- с живыми забавляйтесь 
 В кругу своих 
 Знакомых и родных. 
 Об ужасах лишь в снах видайте, 
 Лишь в жмурках в мрачности блуждайте. 
 И, стихотворному поверя не всему, 
 Благодарите вновь зиму, 
 Котора, в теплые вас комнаты загнавши, 
 Вкруг игр и радости собравши, 
 С сестрами, братьями заставила весть дни 
 В священной отческой сени! 
 А то бы силою обильна рифм теченья 
 И летнего воображенья 
 Я, может быть, заставил вас 
 Парить из Ладоги -- по ветру на Кавказ!


Лишь к удовольствиям желания стремя, 
 Смеетесь, резвитесь, танцуете, а я?


Я не живу почти,-- дышу, 
 Скучаю сам, других смешу 
 И, хладность дружбы 
 Мечтами золотя, 
 Играю цепью службы, 
 Как милое дитя.


"
"3",1818,"К К[реницин]у : «Тебе ли, Муз Питомец юный...»","Тебе ли, Муз Питомец юный, 
 Томить печалью звучны струны, 
 Чело под скукою клонить? 
 Прожив три люстра с половиной, 
 Полет забывши соколиной, 
 Оледенить себя судьбиной! 
 Поэту ль малодушным быть?


Бесспорно, что не в нашей воле 
 Быть счастливыми в сей юдоле; 
 Но можно менее страдать 
 В оковах грусти бесполезной; 
 Поверь мне в этом, друг любезной: 
 Возможно жезл судьбы железной 
 Терпением перековать.


Не вечно ветр в долинах воет, 
 Не век Перун крылатый роет 
 Гранитну цепь Кавказских гор; 
 Почто же волею своею 
 Страдать подобно Прометею, 
 Топтать веселия Лилею, 
 Печалью свой туманить взор?


Конечно, кто избег кручины! 
 От ней ни юность, ни седины, 
 Ни сан, ни род не защитят,-- 
 Везде ее проникнут жалы, 
 И часто пиршества бокалы 
 Вздыханья царские струят.


Но ах! Чему тоска поможет? 
 Она шипы на розах множит, 
 В пыл жизни чувства холодит; 
 Нам радости даны часами, 
 Но грусть свинцовыми крылами 
 Вперед нас двигает годами; 
 А невозвратна жизнь -- летит.


Друг! Примирись с самим собою, 
 Престань печальною мечтою 
 Болезнь сердечну пробуждать; 
 Пусть Зефир дружбы с новой силой 
 Развеет мрак души унылой, 
 Путь жизни бог Цитеры милой 
 Забав цветами будет стлать.


Последуй дружества совету: 
 Поставь лишь радости за мету, 
 А скуку на ветер пускай; 
 То с чашей нектара златою, 
 То граций с резвою толпою 
 Спеши знакомою тропою 
 И в счастьи счастье воспевай!


"
"4",1819,"«Близ стана юноша прекрасный...»","Близ стана юноша прекрасный 
 Стоял, склонившись над рекой, 
 На воды взор вперивши ясный, 
 На лук опершися стальной. 
 Его волнистыми власами 
 Вечерний ветерок играл, 
 Свет солнца с запада лучами 
 В щите багряном погасал. 
 Он пел: Вы, ветерки, летите 
 К странам отцов, к драгой моей, 
 Что верен был всегда, скажите, 
 Отчизне, славе, чести, ей. 
 Отечество и образ милой 
 В боях меня воспламенят, 
 Они своей чудесной силой 
 Мне в грудь геройства дух вселят. 
 Когда ж венец побед лавровый 
 Повергну я к стопам драгим, 
 Любовь мне будет славой новой, 
 Блаженство, коль еще любим. 
 Но может завтра ж роковая 
 Меня в сраженьи ждет стрела, 
 Паду и сам, других сражая, 
 Во прах на мертвые тела. 
 Тогда вы, ветерки, летите 
 К любезной сердцу с вестью сей, 
 Что за отчизну пал, скажите, 
 Для славы, для драгой моей. 
 Умолк! Лишь лука тетивою 
 Вечерний ветерок звучал, 
 И уж над станом и рекою 
 Луны печальный свет блистал.


"
"5",1825,"Эпиграмма на Жуковского : «Из савана оделся он в ливрею...»","Из савана оделся он в ливрею, 
 На ленту променял лавровый свой венец. 
 Не подражая больше Грею, 
 С указкой втерся во дворец -- 
 И что же вышло наконец? 
 Пред знатными сгибая шею, 
 Он руку жмет камер-лакею. 
 Бедный певец!


"
"6",1824,"Михаил Тверской : «В темнице мрачной и глухой...»","В темнице мрачной и глухой 
 Ночною позднею порой 
 Лампада темная мелькает 
 И слабым светом озаряет 
 В углу темницы двух мужей: 
 Один во цвете юных дней; 
 Другой, окованный цепями, 
 Уже покрыт был сединами. 
 Зачем сей старец заключен 
 В твоих стенах, жилище страха; 
 Здесь век ли кончить присужден, 
 Или ему готова плаха? 
 Не слышно вздохов на устах, 
 И в пламенных его очах 
 Божественный покой сияет. 
 То к небу взор он подымает, 
 То с нежной грустию глядит 
 На сына, полного печали, 
 И так в утеху говорит:


«В слезах довольно утопали 
 Твои глаза, друг добрый мой; 
 Пора расстаться мне с тобою 
 И Михаиловой главою 
 Купить отечеству покой. 
 Всегда будь верен правде, чести. 
 И, если хочешь, чтоб венец 
 Имел веселью твой отец, 
 Оставь врагов его без мести...» 
 На площади народ шумит 
 В столице хищных, злобных ханов, 
 России яростных тиранов; 
 Он с зверской радостью глядит 
 На труп, весь ранами покрытый. 
 Над ним, отчаяньем убитый, 
 Младой князь слезы горьки льет. 
 Свои власы, одежду рвет. 
 Татар, Узбека укоряет 
 И бога мести призывает... 
 Он внял ему, сей сильный бог, 
 Россиянам восстать помог 
 И снял с лица земли тиранов: 
 Их город стал жилищем вранов; 
 Иссохли злачные луга, 
 Ослабла в брани их рука, 
 И, пораженные слугами, 
 Они их сделались рабами.


"
"7",1828,"Череп : «Кончины памятник безгробной!..»","Кончины памятник безгробной! 
 Скиталец-череп, возвести: 
 В отраду ль сердцу ты повержен на пути, 
 Или уму загадкой злобной?


Не ты ли -- мост, не ты ли -- первый след 
 По океану правды зыбкой? 
 Привет ли мне, иль горестный завет 
 Мерцает под твоей ужасною улыбкой?


Где утаен твой заповедный ключ, 
 Замок бессмертных дум и тленья? 
 В тебе угас ответный луч, 
 Окрест меня туман сомненья.


Ты жизнию кипел, как праздничный фиал, 
 Теперь лежишь разбитой урной; 
 Венок мышления увял, 
 И прах ума развеял вихорь бурный!


Здесь думы в творческой тиши 
 Роилися, как звезды в поднебесной. 
 И молния страстей сверкала из души, 
 И радуга фантазии прелестной.


Здесь нежный слух вкушал воздушный пир, 
 Восхищен звуков стройным хором, 
 Здесь отражался пышный мир, 
 Бездонным поглощенный взором.


Где ж знак твоих божественных страстей, 
 И сил, и замыслов, грань мира облетевших? 
 Здесь только след презрительных червей, 
 Храм запустения презревших!


Где ж доблести? Отдай мне гроба дань, 
 Познаний светлых темный вестник! 
 Ты ль бытия таинственная грань? 
 Иль дух мой -- вечности ровесник?


Молчишь! Но мысль, как вдохновенный сон. 
 Летает над своей покинутой отчизной, 
 И путник, в грустное мечтанье погружен, 
 Дарит тебя земле мирительною тризной.


"
"8",1829,"Тост : «Вам, семейство милых братий...»","Вам, семейство милых братий, 
 Вам, созвездие друзей, 
 Жар приветственных объятий 
 И цветы моих речей! 
 Вы со мной -- и лед сомненья 
 Растопил отрадный луч, 
 И невольно песнопенья 
 Из души пробился ключ! 
 В благовонном дыме трубок, 
 Как звезда, несется кубок, 
 Влажной искрою горя 
 Жемчуга и янтаря; 
 В нем, играя и светлея, 
 Дышит пламень Прометея, 
 Как бессмертия заря! 
 Раздавайся ж, клик заздравный, 
 Благоденствие, живи 
 На Руси перводержавной, 
 В лоне правды и любви! 
 И слезами винограда 
 Из чистейшего сребра 
 Да прольется ей услада 
 Просвещенья и добра! 
 Гряньте в чашу звонкой чашей. 
 Небу взор и другу длань, 
 Вознесем беседы нашей 
 Умилительную дань! 
 Да не будет чужестранцем 
 Между нами бог ланит, 
 И улыбкой, и румянцем 
 Нас здоровье озарит; 
 И предмет всемирной ловли, 
 Счастье резвое, тайком 
 Да слетит на наши кровли 
 Сизокрылым голубком! 
 Чтоб мы грозные печали 
 Незаметно промечтали, 
 Возбуждаемы порой, 
 На веселье и покой! 
 Да из нас пылает каждый, 
 Упитав наукой ум, 
 Вдохновительною жаждой 
 Правых дел и светлых дум, 
 Вечно страху неприступен, 
 Вечно златом неподкупен, 
 Безответно горделив 
 На прельстительный призыв! 
 Да украсят наши сабли, 
 Эту молнию побед, 
 Крови пламенные капли 
 И боев зубчатый след! 
 Но, подобно чаше пирной 
 В свежих розанах венца, 
 Будут искренностью мирной 
 Наши повиты сердца! 
 И в сердцах -- восторга искры, 
 Умиления слеза, 
 И на доблесть чувства быстры, 
 И порочному -- гроза! 
 Пусть любви могучий гений 
 Даст нам радости цветы 
 И перуны вдохновений 
 В поцелуе красоты! 
 Пусть он будет вестник рая, 
 Нашей молодости брат, 
 В пламень жизни подливая 
 Свой бесценный аромат, 
 Чтобы с нектаром забвенья 
 В тихий час отдохновенья 
 Позабыть у милых ног 
 Меч, и кубок, и венок.


"
"9",1829,"Разлука : «О дева, дева...»","О дева, дева, 
 Звучит труба! 
 Румянцем гнева 
 Горит судьба! 
 Уж сердце к бою 
 Замкнула сталь, 
 Передо мною 
 Разлуки даль. 
 Но всюду, всюду, 
 Вблизи, вдали, 
 Не позабуду 
 Родной земли; 
 И вечно, вечно -- 
 Клянусь, сулю! -- 
 Моей сердечной 
 Не разлюблю. 
 Ни день истомы, 
 И страх, и месть, 
 Ни битвы громы, 
 Ни славы лесть, 
 Ни кубок пенный, 
 Ни шумный хор, 
 Ни девы пленной 
 Манящий взор... 
 . . . . . . . . .


"
"10",1829,"Оживление : «Чуть крылатая весна...»","Чуть крылатая весна 
 Радостью повеет, 
 Оживает старина, 
 Сердце молодеет; 
 Присмирелые мечты 
 Рвут долой оковы, 
 Словно юные цветы 
 Рядятся в обновы, 
 И любви златые сны, 
 Осеняя вежды, 
 Вновь и вновь озарены 
 Радугой надежды.


"
