"","year","header","text_raw"
"1",1816,"«Боже! царя храни!..»","Боже! царя храни! 
 Славному долги дни 
 Дай на земли. 
 Гордых смирителю, 
 Слабых хранителю, 
 Всех утешителю 
 Всё ниспошли.


Там -- громкой славою, 
 Сильной державою 
 Мир он покрыл -- 
 Здесь безмятежною 
 Сенью надежною, 
 Благостью нежною 
 Нас осенил.


Брани в ужасный час 
 Мощно хранила нас 
 Верная длань -- 
 Глас умиления, 
 Благодарения, 
 Сердца стремления -- 
 Вот наша дань. --


"
"2",1817,"«Писать я не умею...»","Писать я не умею, 
 (Я много уписал). 
 Я дружбой пламенею, 
 Я дружбе верен стал. 
 Мне дружба заменяет 
 Умершую любовь! 
 Пусть жизнь нам изменяет; 
 Что было -- будет вновь.


"
"3",1817,"Кн. П. А. Вяземскому : «Зачем, забывши славу...»","Зачем, забывши славу, 
 Пускаешься в Варшаву? 
 Ужель ты изменил 
 Любви и дружбе нежной, 
 И резвости небрежной? 
 Но ты всё так же мил... 
 Всё мил -- и неизменно 
 В душе твоей живет 
 Всё то что в цвете лет 
 Столь было нам бесценно...


"
"4",1819,"Баллада : «Что ты, девица, грустна...»","Что ты, девица, грустна, 
 Молча присмирела, 
 Хоровод забыв одна 
 В уголку присела? 
 «Именинницу, друзья, 
 Нечем позабавить. 
 Думала в балладе я 
 Cчастье наше славить. 
 Но Жуковский наш заснул, 
 Гнедич заговелся, 
 Пушкин бесом ускользнул, 
 А Крылов объелся».


Вот в гостиной стол накрыт -- 
 Поскорее сядем, 
 В рюмках пена закипит, 
 И балладу сладим: 
 Вот и слажена она -- 
 Нужны ли поэты? -- 
 Рюмки высушив до дна, 
 Скажем: многи леты 
 Той, которую друзьям 
 Ввек любить не поздно! 
 Многи лета также нам, 
 Только с ней нерозно.


"
"5",1828,"(В. Л. Пушкину) : «Любезнейший наш друг, о ты, Василий Львович!..»","Любезнейший наш друг, о ты, Василий Львович! 
 Буянов в старину, а нынешний Храбров, 
 Меж проповедников Парнаса -- Прокопович! 
 Пленительный толмач и граций и скотов, 
 Что делаешь в Москве, первопрестольном граде? 
 А мы печемся здесь о вечном винограде 
 И соком лоз его пьем здравие твое.


"
"6",1836,"(Канон в честь М. И. Глинки) : «Пой в восторге, русский хор...»","Пой в восторге, русский хор, 
 Вышла новая новинка. 
 Веселися, Русь! наш Глинка -- 
 Уж не Глинка, а фарфор!


За прекрасную новинку 
 Славить будет глас молвы 
 Нашего Орфея Глинку 
 От Неглинной до Невы.


В честь толь славныя новинки 
 Грянь, труба и барабан, 
 Выпьем за здоровье Глинки 
 Мы глинтвеину стакан.


Слушая сию новинку, 
 Зависть, злобой омрачась, 
 Пусть скрежещет, но уж Глинку 
 Затоптать не может в грязь.


"
"7",1797,"Майское утро : «Белорумяна...»","Белорумяна 
 Всходит заря 
 И разгоняет 
 Блеском своим 
 Мрачную тьму 
 Черныя нощи.


Феб златозарный, 
 Лик свой явивши, 
 Все оживил. 
 Вся уж природа 
 Светом оделась, 
 И процвела.


Сон встрепенулся, 
 И отлетает 
 В царство свое. 
 Грезы, мечтанья, 
 Рой как пчелиный, 
 Мчатся за ним.


Смертны, вспряните! 
 С благоговеньем, 
 С чистой душой, 
 Пад пред Всевышним, 
 Пламень сердечный 
 Мы излием.


Радужны крылья 
 Распростирая, 
 Бабочка пестра 
 Вьется, кружится, 
 И лобызает 
 Нежно цветки.


Трудолюбива 
 Пчелка златая 
 Мчится, жужжит. 
 Все, что бесплодно, 
 То оставляет -- 
 К розе спешит.


Горлица нежна 
 Лес наполняет 
 Стоном своим. 
 Ах! знать, любезна, 
 Сердцу драгова 
 С ней уже нет!


Верна подружка! 
 Для чего тщетно 
 В грусти, тоске 
 Время проводишь? 
 Рвешь и терзаешь 
 Сердце свое?


Можно ль о благе 
 Плакать другого?.. 
 Он ведь заснул 
 И не страшится 
 Лука и злобы 
 Хитра стрелка.


Жизнь, мой друг, бездна 
 Слез и страданий... 
 Счастлив стократ 
 Тот, кто, достигнув 
 Мирного брега, 
 Вечным спит сном.


"
"8",1797,"Ода. Благоденствие России : «Откуда тишина златая...»","Откуда тишина златая 
 В блаженной Северной стране? 
 Чьей мощною рукой покрыта, 
 Ликует в радости она? 
 В ней воздух светел, небо ясно; 
 Не видно туч, не слышно бурь. 
 Как реки в долах тихо льются, 
 Так счастья льются в ней струи.


Умолкла брань, престали сечи; 
 Росс на трофеях опочил; 
 Там щит, и меч, и шлем пернатый, 
 И булава его лежит... 
 С улыбкой ангельской, прелестной, 
 В венце, сплетенном из олив, 
 Нисшел от горних стран эфира 
 Сын неба, животворный мир.


Нисшел -- Россия восплескала, 
 Пресветлый зря его приход; 
 И миллионы погрузились 
 В восторг, в забвенье, в тишину. 
 Спокоились моря пространны; 
 С весельем реки потекли; 
 Зиять престали жерла медны; 
 Молчит все, тихо. Гром заснул.


И кто же сей -- вещай, Россия! -- 
 Кто сей, творящий чудеса? 
 Кто долу мир с небес низводит, 
 И нову жизнь тебе дает? 
 „То Павел, Ангел мой хранитель; 
 Пример, краса венчанных глав; -- 
 Покров мой, щит мой и отрада, 
 Владыка, Пастырь, Иерарх“.


Рекла -- и перстом указует 
 Одеян славой мирной трон. 
 О, коль видение прекрасно 
 Открылось взору моему!.. 
 Там восседит, в сияньи солнца, 
 Великий Павел, будто Бог. 
 Престол его поставлен твердо 
 На Росских пламенных сердцах.


Блестящим служит балдахином 
 Ему святой его закон; 
 Его скиптр -- кротость, а держава 
 Есть благо подданных его. 
 Венец -- премудрость составляет, 
 Блистая ярко на главе; 
 Ее лучами освещает 
 Полсвета Павел с высоты.


В Его деснице зрится чаша, 
 Из коей милости Он льет, 
 Она вовек не истощится: 
 Источник то воды живой. 
 Как тихий дождь, шумя в день знойный, 
 Собой тварь жаждущу свежит: 
 Так Он струит ток благотворный 
 В сердца, приверженны к Нему.


Его чертог есть храм священный, 
 Храм правосудия, любви. 
 Вельможа в золотой одежде, 
 И бедный в рубище простом, 
 Герой с победоносным лавром, 
 Вдова с горящею слезой, 
 Невинный, сильными гнетомый: 
 Все, все равно к нему текут.


Его недремлющее око 
 Всегда на чад устремлено. 
 О их блаженстве Он печется 
 И славу возвышает их. 
 Он все содержит, устрояет, 
 Хранит все, движит и живит; 
 Он сердце, он душа России; 
 Для ней он жертвует собой.


И музы Павлом не забыты: 
 Он им отрада и покров. 
 Его порфирой осененны, 
 Оне ликуют в тишине. 
 Их гласы стройны раздаются, 
 Златые лиры их звучат; 
 Оне свой жребий ублажают, 
 В восторге сладостном поют:


„О Павел! о монарх любезный! 
 Под сильною твоей рукой 
 Мы не страшимся бурь, ненастья: 
 Спокойны и блаженны мы. 
 Ты царствуй -- мы дела прославим 
 Твои в грядущи времена; 
 Из лучезарных звезд созиждем 
 Бессмертия Тебе венец“.--


И Павел кротко песни внемлет, 
 Склоняя к ним с престола слух. 
 „Так, юны Музы,-- он вещает,-- 
 Я буду царствовать; а вы 
 Скажите позднему потомству: 
 -- Он под венцом был человек; 
 О подданных, как чадах, пекся; 
 Для них, для них лишь Он и жил.


Гнушался лести и коварства; 
 На троне истине внимал; 
 Для блага общего покоем 
 Он собственным не дорожил“.-- 
 Вещал -- и новые щедроты 
 Рекою шумной полились; 
 Вещал -- и новые законы 
 Сама премудрость изрекла.


О Россы! о дражайши Россы! 
 Каких блаженных, красных дней, 
 Каких отрад, каких восторгов 
 Не можете вы ожидать? 
 Не Царь -- Отец, Отец вам Павел; 
 Ко благу, к славе верный вождь. 
 Ступайте вслед за Ним, спешите: 
 Он в храм бессмертья вас введет!


А вы, избранных Россов чада! 
 Отечества надежда, цвет! 
 Растите, в силах укрепляйтесь; 
 Учитесь сердцем Павла чтить; 
 Питайте огнь к нему любови, 
 Питайте с самых юных лет, 
 Чтоб после быть его сынами, 
 И жизнью жертвовать ему.


"
"9",1798,"Добродетель : «Под звездным кровом тихой нощи...»","Под звездным кровом тихой нощи, 
 При свете бледныя луны, 
 В тени ветвистых кипарисов, 
 Брожу меж множества гробов. 
 Повсюду зрю сооруженны 
 Богаты памятники там, 
 Порфиром, златом обложенны; 
 Там мраморны столпы стоят.


Обитель смерти там -- покоя; 
 Усопших прахи там лежат; 
 Ничто их сна не прерывает; 
 Ничто не грезится во сне... 
 Но все ль так мирно почивают, 
 И все ли так покойно спят?.. 
 Не монументы отличают 
 И не блестяща пышность нас!


Порфир надгробный не являет 
 Душевных истинных красот; 
 Гробницы, урны, пирамиды -- 
 Не знаки ль суетности то? 
 Они блаженства не доставят 
 Ни здесь, ни в новом бытии, 
 И царь сравняется с убогим, 
 Герой там станет, где пастух.


С косою острой, кровожадной, 
 С часами быстрыми в руках, 
 С седой всклокоченной брадою, 
 Кидая всюду страшный взор, 
 Сатурн несытый и свирепый 
 Парит через вселенну всю; 
 Парит -- и груды оставляет 
 Развалин следом за собой.


Валятся дубы вековые, 
 Трясутся гор пред ним сердца, 
 Трещат забрала и твердыни, 
 И медны рушатся врата. 
 Падут и троны и начальства, 
 Истлеет посох, как и скиптр; 
 Венцы лавровые поблекнут, 
 Трофеи гордые сгниют.


Стоял где памятник герою, 
 Увы! что видим мы теперь? -- 
 Одни развалины ужасны, 
 Шипят меж коими змеи, 
 Остались вместо обелиска, 
 Что гордо высился за век, 
 За век пред сим -- и нет его... 
 И слава тщетная молчит.


И что ж покажет, что мы жили, 
 Когда все время рушит так? -- 
 Не камень гибнущий величья 
 В потомстве позднем нам придаст; 
 И не порфирны обелиски 
 Прославят нас, превознесут. 
 Увы! несчастен, кто оставил 
 Лишь их -- и боле ничего!


Исчезнут тщетны украшенья, 
 Когда застонет вся земля, 
 Как заревут ужасны громы, 
 Падет, разрушится сей мир. 
 И тени их тогда не будет, 
 И самый прах их пропадет. 
 Все, все развеется, погибнет. 
 Как пыль, как дым, как тень, как сон.


Тогда останутся нетленны 
 Одни лишь добрые дела. 
 Ничто не может их разрушить, 
 Ничто не может их затмить. 
 Пред Богом нас они прославят, 
 В одежду Правды облекут; 
 Тогда мы с радостью явимся 
 Пред трон всемощного Творца.


О сколь священна, Добродетель, 
 Должна ты быть для смертных всех! 
 Рабы, как и владыки мира, 
 Должны тебя боготворить... 
 На что мне памятники горды? 
 И скиптр и посох -- все равно: 
 Равно под мрамором в могиле, 
 Равно под дерном прах лежит.


"
"10",1798,"Добродетель : «От Света светов луч излился...»","От Света светов луч излился, 
 И Добродетель родилась! 
 В тьме мир дремавший пробудился, 
 Земля весельем облеклась; 
 В священном торжестве Природа 
 Объемлет дар для смертных рода; 
 От горних, светлых стран небес 
 Златой, блаженный век спустился, 
 Восторг божественный вселился 
 Во глубине святых сердец.


На землю дщерь Творца предстала, 
 Творений хор ей гимн воспел: 
 Пустыня светлым раем стала; 
 Как крин, повсюду мир процвел; 
 Любовь, невинность, кротость нравов; 
 Без строгости и без уставов, 
 Правдивость, честность всем эгид; 
 Повсюду дружба водворилась, 
 Повсюду истина явилась, 
 Преданность, верность, совесть, стыд.


Дохнула Злоба -- и родился 
 Кровавый, яростный Раздор; 
 Вздохнул он -- вздох сей повторился 
 Среди сердец кремнистых гор; 
 Ужасный яд -- его дыханье, 
 Убийство, смерть -- его желанье, 
 И мрак -- блистание очей. 
 Взглянул -- и брани воспылали, 
 Несчастны жертвы застонали, 
 Кровь быстрой полилась струей.


Одеян бурей век железный, 
 Потрясши круг земли, предстал; 
 Померк Натуры вид любезный, 
 И смертный счастлив быть престал. 
 С цепей своих Борей сорвался, 
 В полях небесных гром раздался, 
 Завыл и лес и сонм морей! 
 С лугов Зефиры улетели, 
 По рощам птицы онемели, 
 И светлый не журчит ручей.


Дщерь ада -- Злоба есть содетель 
 Бесчисленных лютейших бед; 
 Но не исчезла Добродетель! 
 Она еще, еще живет; 
 Еще ей созидают храмы, 
 Еще курят ей фимиамы; 
 Но, ах! златой уж век исчез, 
 В пучине вечности сокрылся, 
 Один лишь луч к нам отделился 
 И добрым мир с собой принес.


Иной гордыни чтит законы, 
 Идет неправды по стезям; 
 Иной коварству зиждет троны 
 И дышит лестию к царям; 
 Иной за славою стремится; 
 Тот злата алчностью томится, 
 Тот ратует с врагом своим, 
 И всяк путь ложный избирает, 
 В ночи как будто бы блуждает; 
 Его дела -- ничтожный дым.


И муж, премудростью почтенный, 
 Во испытаньях поседев, 
 Муж праведный и просвещенный 
 Вздохнет, на все сие воззрев; 
 В мечтаньях сих он тленность видит, 
 Порок и зло он ненавидит, 
 А Добродетели кумир 
 В своей душе он обожает, 
 Свою всю жизнь ей посвящает, 
 Его чертог -- пространный мир.


Кто правды, честности уставы 
 В теченье дней своих блюдет, 
 Тот к счастью обретет путь правый, 
 Корабль свой в пристань приведет; 
 Среди он бедствий не погибнет, 
 В гоненье рока он возникнет, 
 Его перун не устрашит. 
 Когда и смерть к нему явится, 
 То дух его возвеселится, 
 К блаженству спешно полетит.


О вы, подобье юных кринов! 
 В вас пламень бодрости горит, 
 В вас зрю я доблесть Славянинов -- 
 Учитесь Добродетель чтить; 
 В душе ей храм соорудите, 
 Ей мысли, чувства посвятите, 
 Стремитесь мудрых по стезям. 
 Круг жизни вашей совершится, 
 Но солнце ваших дней затмится, 
 Зарю оставя по следам.


"
