"","year","header","text_raw"
"1",1830,"Молодой чете : «Сбылось, что вы желали тайно...»","Сбылось, что вы желали тайно, 
 Сбылось! настал желанный час: 
 Любовь благословила вас, 
 И скоро перстень обручальный 
 На вашей ручке заблестит, 
 И пастырь вас соединит. 
 И жизнь счастливая польется, 
 Как серебристый ручеек 
 Через муравчатый лужок, 
 Журча, игривой струйкой вьется. 
 Судьба вас счастьем наградила, 
 И будет луч его светить 
 Весь век над ним и над тобой 
 Неизменимою звездой. 
 Но если вас -- избави, боже!-- 
 Когда день черный навестит, 
 Любовь все может усладить! 
 Любовь и дружба! Ты дороже 
 Всего на свете, ты одна 
 В несчастье, в счастии равна. 
 Надежды, радости земные, 
 Мгновенья жизни дорогие 
 Изменчивы для нас всегда; 
 Прямая ж дружба -- никогда!


"
"2",1830,"Последние стихи : «Пускай с насмешкою холодной...»","Пускай с насмешкою холодной 
 За скудный труд ругает свет; 
 Скажу с улыбкой благородной: 
 Я мещанин, а не поэт.


"
"3",1830,"«О, не кажи улыбки страстной!..»","О, не кажи улыбки страстной! 
 Не мучь надеждою напрасно; 
 Прошу, так нежно не гляди; 
 Со мной речей не заводи; 
 Будь больше недовольна, 
 Будь равнодушна, хладнокровна, 
 Как недруга, пренебрегай! 
 В беседах с злобою немою 
 Со мною встречи убегай. 
 Ах, ты неправдою такою 
 Меня, быть может, охладишь 
 И, к счастью, счастия лишишь!..


"
"4",1830,"Песня : «Утратив то, что было мило...»","Утратив то, что было мило, 
 Напрасно вновь к себе зову; 
 Напрасно тень подруги милой 
 Хочу я видеть наяву.


Теперь с тобой одно свиданье 
 Какой ценою б ни купил; 
 Я за твое существованье 
 Земною б жизнью заплатил!


За нежный поцелуй, за встречу, 
 За блеск приветливых очей, 
 За жар любви, за звук речей 
 Я б голову понес на сечу.


Но нет, вовек не возвратить, 
 Что было так душой любимо! 
 Вовек и тень с страны незримой 
 К призывам друга не слетит.


О, лейтесь, лейтесь же ручьями, 
 Горючи слезы, из очей! 
 Без ней нет жизни меж людями -- 
 Нет сердцу радостей без ней.


"
"5",1827,"Сирота : «Не прельщайте, не маните...»","Не прельщайте, не маните, 
 Пылкой юности мечты! 
 Удалитесь, улетите 
 От бездомной сироты!


Что ж вы, злые, что вы вьетесь 
 Над усталой головой? 
 Что вы с ветром не несетесь 
 В край неведомый, чужой?


Были дни -- и я любила 
 Сны о радости земной; 
 Но надежда изменила; 
 Радость -- сон в судьбе моей.


Наяву же -- в облегченье 
 Только слезы проливать, 
 И не верить в обольщенье, 
 И покоя не вкушать.


Не прельщайте ж, не маните, 
 Светлой радости мечты! 
 Унеситесь, улетите 
 От бездомной сироты!


"
"6",1827,"Ровеснику : «О чем, ровесник молодой...»","О чем, ровесник молодой, 
 Горюешь и вздыхаешь? 
 О чем серебряной струей 
 Ты слезы проливаешь? 
 О чем бессменная печаль 
 И частые стенанья? 
 Страшна ли жизни темна даль 
 И с юностью прощанье? 
 Или нежданная беда 
 Явилась и сразила? 
 Житейская ль тебя нужда 
 Так рано посетила? 
 Иль сердца тайная любовь 
 Раскрыла в нем желанья 
 И юным пламенем вся кровь 
 Зажглась без упованья? 
 Я вижу думу на челе, 
 Без слов, без выраженья; 
 Но есть во взорах, как в стекле, 
 Востока отраженье -- 
 Заметное волненье: 
 Ах, то любовь, любовь!.. Она 
 В твоей душе играет; 
 Она в пиру, на ложе сна 
 Покой твой разрушает. 
 Я отгадал. Дай руку мне! 
 Ты не один, кипя душою, 
 Горишь и гаснешь в тишине: 
 Прошу тебя, будь друг со мною.


"
"7",1827,"Песня : «Если встречусь с тобой...»","Если встречусь с тобой 
 Иль увижу тебя, -- 
 Что за трепет, за огнь 
 Разольется в груди.


Если взглянешь, душа, -- 
 Я горю и дрожу, 
 И бесчувствен и нем 
 Пред тобою стою!


Если молвишь мне что, 
 Я на речи твои, 
 На приветы твои, 
 Что сказать, не сыщу.


А лобзаньям твоим, 
 А восторгам живым 
 На земле, у людей, 
 Выражения нет!


Дева-радость души, 
 Это жизнь -- мы живем! 
 Не хочу я другой 
 Жизни в жизни моей!


"
"8",1828,"Путник : «Сгустились тучи, ветер веет...»","Сгустились тучи, ветер веет, 
 Трава пустынная шумит; 
 Как черный полог, ночь висит, 
 И даль пространная чернеет; 
 Лишь там, в дали степи обширной, 
 Как тайный луч звезды призывной, 
 Зажжен случайною рукою, 
 Горит огонь во тьме ночной. 
 Унылый путник запоздалый, 
 Один среди глухих степей, 
 Плетусь к ночлегу; на своей 
 Клячонке тощей и усталой 
 Держу я путь к тому огню; 
 Ему я рад, как счастья дню. 
 И кто так пристально средь ночи 
 Вперял на деву страстны очи, 
 Кто, не смыкая зорких глаз, 
 Кто так стерег условный час, 
 Как я, с походною торбою, 
 Трясясь на кляче чуть живой, 
 Встречал огонь во тьме ночной? 
 То наш очаг горит звездою, 
 То спеет каша степняка 
 Под песнь родную чумака!..


"
"9",1828,"Осень : «Настала осень непогоды...»","Настала осень; непогоды 
 Несутся в тучах от морей; 
 Угрюмеет лицо природы, 
 Не весел вид нагих полей; 
 Леса оделись синей тьмою, 
 Туман гуляет над землею 
 И омрачает свет очей. 
 Все умирает, охладело; 
 Пространство дали почернело; 
 Нахмурил брови белый день; 
 Дожди бессменные полились; 
 К людям в соседки поселились 
 Тоска и сон, хандра и лень. 
 Так точно немочь старца скучна; 
 Так точно тоже для меня 
 Всегда водяна и докучна 
 Глупца пустая болтовня.


"
"10",1828,"Послание молодой вдове : «Напрасно думаешь слезами...»","Напрасно думаешь слезами 
 Тоску от сердца ты прогнать: 
 Всевышним богом -- не людями 
 Тебе назначено страдать. 
 Конечно, сердцу нестерпимо 
 Расстаться с тем, что так любимо; 
 Что мило -- больно потерять: 
 Нельзя не плакать, не вздыхать. 
 Так, верно, верно: ты несчастна; 
 Твоей души супруг прекрасный 
 Так скоро отказался жить. 
 Он жертва смерти, он зарыт. 
 Но что? ужель весну младую 
 Слезам ты хочешь посвятить? 
 Ужели юность золотую 
 В тоске ты хочешь проводить? 
 Ужель утрата роковая 
 Пребудет памятна всегда? 
 Ужель, что было, забывая, 
 Не улыбнешься? милая! слезами 
 Тоски от сердца не прогнать: 
 Всевышним богом, а не нами 
 Тебе положено страдать.


"
