"","year","header","text_raw"
"1",1821,"К К<юхельбекер>у : «Не часто ль ты в мечтах, задумчивый Певец...»","Не часто ль ты в мечтах, задумчивый Певец, 
 Отбросив тленный мирт веселья и забавы, 
 Как будто наяву берешь от муз венец 
 И в торжестве паришь ко храму славы?


Доколе игом лет не подавлен твой дар 
 И ласковы к тебе неверные мечтанья, 
 Питай, мой друг, питай священный к славе жар; 
 Ей посвяти все мысли, все желанья!


Счастлив, кому она достанется в удел, 
 Счастлив, кто обречен каменам от рожденья! 
 Едва он начал жить, едва на мир воззрел, 
 Уже горит в нем пламень вдохновенья.


Услышит ли в полях свирели звук простой 
 Иль песни соловья, иль дальные перуны -- 
 Младенец, лиру взяв неопытной рукой, 
 С улыбкою перебирает струны!


В дни пылкой юности, привязанной к мечтам, 
 В забавах сверстников ему ли брать участье? 
 Призывный славы глас влечет его к трудам, 
 И подле них Поэт встречает счастье.


Он в будущем живет: на крыльях легких дум 
 Летит в тот край, где ждут его бессмертных тени; 
 Во сне внимает он рукоплесканий шум 
 И похвалы грядущих поколений!


Волшебный глас его пленяет всех сердца; 
 То ручейком журчит, то громом поражает. 
 Пусть зависти змия шипит у ног Певца -- 
 Он звуком струн шипенье заглушает!


И слушают его сыны чужих племен! 
 Поэт с народов дань сбирает удивленья, 
 К потомству дальнему идет сквозь мрак времен, 
 И не грозит ему река забвенья!


Но если смерть Певца безвременно сразит 
 И на младом челе незрелый лавр увянет, 
 Ужель гроб юноши никто не посетит? 
 Ужель над ним ничья слеза не канет?


Нет! нет! во всех устах любимцу муз хвала; 
 Во всех сердцах живет о нем воспоминанье -- 
 Так на лугу весной, где роза отцвела, 
 Разносится ее благоуханье!


"
"2",1821,"Разлука : «На жалобы мои, казалось, отвечали...»","На жалобы мои, казалось, отвечали 
 И камни дикие, и быстрых вод струи; 
 И преклонялся лес, исполненный печали, 
 На жалобы мои. 
 Внимало всё любви моей стенаньям, 
 Но хладная Судьба не хочет им внимать! 
 Дождусь ли я конца моим страданьям, 
 И долго ль мне еще прелестной не видать? ..


В разлуке с ней, терзаемый тоскою, 
 Брожу один средь рощей и полей, 
 Где осень бледная губительной рукою 
 Оборвала листы поблекшие с ветвей, 
 Где всё в унынии, где всё душе моей 
 О милой говорит и грусть об ней питает. 
 Ей каждый вздох, ей каждая слеза! 
 И к той стране, где друг бесценный обитает, 
 Обращены всегда мои глаза! 
 Взойдет ли день -- лечу душою к милой 
 И, взоры устремив сквозь утренний туман, 
 В безмолвии стою, как истукан, 
 Воздвигнутый над хладною могилой! 
 Настанет ночь -- покой меня бежит 
 И в грудь не льет спасительной отрады, 
 Но всё является глазам любезный вид 
 При свете гаснущей лампады. 
 Когда же поздний Сон подкрадется ко мне, 
 Чтоб усладить на миг тоску разлуки, 
 О милой я мечтаю и во сне: 
 Я слышу голоса пленительного звуки 
 И поступь легкую в полночной тишине; 
 Мечтой свиданья обольщенный, 
 Слезами радости Судьбу благодарю, 
 Сквозь сон произношу я имя незабвенной 
 И с милым призраком в восторге говорю. 
 Но скоро прочь летят волшебные мечтанья. 
 Опять я с новым днем к печали пробужден, 
 И редко слышится мне голос упованья, 
 Что сбудется прелестный сон!


"
"3",1821,"Вакхические поэты : «Невольной страстью увлеченный...»","Невольной страстью увлеченный, 
 Я должен, я хочу писать! 
 Скажи, любимец муз почтенный, 
 Какой мне род стихов избрать, 
 Чтоб славы истинной дождаться? 
 Я не привык от юных лет 
 В стихах и в свете притворяться: 
 Мне пить вино охоты нет, 
 А без вина какой поэт 
 Теперь за лиру может взяться? 
 Пускай завистники кричат, 
 Что музы не должны быть пьяны, -- 
 У нас теперь в стихах звучат 
 Так громко рифмы и стаканы, 
 Что крики злобы заглушат! 
 В том дарованья нет приметы, 
 Кто недруг чаше круговой; 
 Все наши модные поэты 
 В ней потопляют гений свой; 
 Забыв уставы Аполлона, 
 Они в вине лишь знают вкус, 
 И Вакх с вершины Геликона 
 Грозит согнать несчастных муз! 
 Но я досель на лире скромной 
 Вина еще не воспевал; 
 Итак, могу ли ждать похвал? 
 Я ввек пойду стезею темной, 
 Вдали от счастливых певцов; 
 Я никогда не буду с ними 
 Среди мечтательных пиров 
 Стучать бокалами пустыми! 
 Но что ж!.. к чему напрасный вздох? 
 Уже Парнасса грозный бог, 
 Исполненный негодованья 
 На дерзостных жрецов своих, 
 Сказал: «Да будут их посланья 
 Так сухи, как бокалы их!» 
 И страшный приговор свершился! 
 Не внемлют музы их мольбам; 
 Пред ними с шумом затворился 
 Бессмертия высокий храм! 
 Пускай трудятся: их творенья 
 Читателей обнимут сном, 
 И поглотит река забвенья 
 Венец, обрызганный вином!


"
"4",1821,"Истребленная роща : «Нимфы! скрывайтесь, бегите толпою...»","Нимфы! скрывайтесь, бегите толпою: 
 Древнюю рощу злодей истребил! 
 Плачьте, амуры! под тенью густою 
 Он ваш алтарь навсегда сокрушил! 
 Птицы умолкли и тихо стадами 
 Вдаль понеслись от знакомых ветвей. 
 Милые гости лесов и полей, 
 Видно, изгнанники есть и меж вами! 
 Странник усталый в далеком пути, 
 Пот отирая, с надеждой отрадной 
 В полдень торопится к сени прохладной, 
 Ищет ее -- и не может найти! 
 Тщетно любовник зовет на свиданье 
 Милую в рощу вечерней порой; 
 Дева придет, поглядит -- и с тоской 
 Издали другу промолвит прощанье; 
 Взоры потупит и мимо пройдет. 
 Горе тебе, истребитель жестокий! 
 Мстительный бог на тебя восстает. 
 Он на горах неприступных живет, 
 Дикой пустыни хранитель высокий! 
 Он принимает дары пастухов, 
 Внемлет обетам пастушек стыдливых; 
 Глас его слышен в полях молчаливых; 
 Видны следы на тропинках лугов. 
 Он, рассылая воздушных послов, 
 Им повелел укрывать в непогоды 
 Стебель зеленый и цвет молодой; 
 В сумраке ночи, отвергнув покой, 
 Бодрствует он для блаженства Природы; 
 Легким зефирам велит на лугах 
 Звук разносить сладкогласной свирели, 
 Веять в лесу и качать на ветвях 
 Тихо пернатых певцов колыбели. 
 Буря ль с деревьев листы оборвет, 
 Или красавица резвой ногою 
 Первые ландыши в поле сомнет, 
 Бог благотворный кропит их слезою. 
 Знай, истребитель! сей бог над тобою 
 Суд произнес. За него Купидон 
 Грозной рукою злодея накажет: 
 Он для отмщенья колчан свой развяжет -- 
 Ты на страданья любви осужден! 
 Тщетно поверишь подруге прелестной -- 
 Клятву ее унесет ветерок 
 Так же, как в роще под тенью древесной 
 Прежде кружил он летучий листок!


"
"5",1821,"Весна : «Как узник в радости, покинув мрак темницы...»","Как узник в радости, покинув мрак темницы, 
 Встречает солнца луч златой, 
 Так я, освободясь из скучных стен столицы, 
 Любуюсь юною весной!


Она живит мой глас и с лиры молчаливой 
 Свевает тихо сладкий сон,-- 
 И звук в немых струнах, как ветерок игривый, 
 Весны дыханьем пробужден!


Светлей горит заря на облаке румяном 
 Перед весенним, ясным днем, 
 И диких скал верхи, обвитые туманом, 
 Сияют радужным огнем!


С лазоревых небес густые скрылись тучи; 
 Стада бегут с весельем в луг; 
 А там уже волы чрез пни и терн колючий 
 Влекут по ниве ржавый плуг.


Ручей журчит --и лед, в волнах его сверкая, 
 Вдали скрывается от глаз; 
 И в зеркале воды пастушка молодая 
 Свой образ видит в первый раз.


Но роза нежная расцвесть еще не смеет 
 Среди обтаявших снегов, 
 И утренний мороз на мураве белеет, 
 И в роще слышен шум ветров.


Природа, мнится мне, обнявшися с весною, 
 Боится, что опять взойдет 
 Зима на льдистый трон и хладною рукою 
 Венок с чела ее сорвет.


Так дева робкая томится ожиданьем: 
 Глаза красавицы в слезах, 
 Но вот уже видна с отрадным упованьем 
 Улыбка на ее устах!


Всё скоро оживет: глас горлицы унылой 
 Настроит вновь любви тоска, 
 И юноша пойдет искать подруге милой 
 В долине первого цветка.


Древа покроют холм гостеприимной тенью, 
 Где я от зноя отдохну, -- 
 Но там найду ль приют мечтам и наслажденью 
 И возвращу ль свою весну? ..


О юность дней моих! Постой из состраданья! 
 С тобой я радостью дышал 
 И, житель счастливый в стране очарованья, 
 С весною вместе воскресал!


Теперь, от милых мне мечтаний пробужденный, 
 Жалею, что проснулся я, 
 И с гимном радостным природы оживленной 
 Вновь не сольется песнь моя!


"
"6",1821,"Могила персидского поэта : ««Заида, твой голос пленяет мой слух...»","«Заида, твой голос пленяет мой слух, 
 И в душу вливается арфы бряцанье! 
 Не тише весеннего утра дыханье 
 Волнует цветами усыпанный луг. 
 Твои песнопенья прелестны, как розы, 
 И сладки, как пламенный твой поцелуй; 
 Но кто их творец?... О поэт, торжествуй! 
 Я пролил восторга невольные слезы!»


«Тебе ль, государь, неизвестен певец, 
 Пленивший твой слух, Бенамар вдохновенный? 
 Он пел без награды и, светом забвенный, 
 Платил нищетой за лавровый венец. 
 В отчаяньи с дочерью нежной блуждает 
 Несчастный средь знойных Ирана песков; 
 Он двигает струны при шуме ветров -- 
 И сладостным звукам пустыня внимает!»


«Эмир, оседлай вороного коня: 
 Он в битвах, как вихорь, летал подо мною! 
 Помчися в Иранские степи стрелою 
 И перстень поэту вручи от меня! 
 Бесчисленны звезды на тверди небесной -- 
 Бесчисленны будут богатства его. 
 Алмаз драгоценный венца моего 
 Не скроется в прахе пустыни безвестной!


Иль дочь Бенамара навек отцветет, 
 Как дикая пальма, в стране отдаленной? 
 Да вступит она в мой чертог позлащенный 
 И счастья светило над нею взойдет!» 
 Эмир на коня -- и, как вран сизокрылый, 
 Под облаком пыли в пустыне летит 
 И вдруг близь дороги красавицу зрит 
 В венке кипарисном над свежей могилой.


«О путник, ты скоро в безводных степях 
 Погибнешь, как злак от палящего жара! 
 Куда ты спешишь?» -- «Я ищу Бенамара; 
 Но тщетно: нет следу в песчаных волнах!» 
 -- «О путник, ты дочь его зришь пред собою; 
 Во гробе лежит мой несчастный отец: 
 Он встретил страданьям желанный конец, 
 И смерти рука поднята надо мною!»


«Утешься, печальная дева красы! 
 Владетель Востока тебя призывает, 
 И счастье твое как цветок оживает, 
 Осыпанный влажным жемчугом росы!» 
 -- «Ты видишь могилу, где спит мой родитель, 
 О путник, не может раскрыться она! 
 Вот сердце мое -- я всего лишена; 
 Мне счастье во гробе, мне смерть утешитель!»


И дева печально смотрела вокруг; 
 Могилу отца обнимала с рыданьем, 
 И грудь, утомленная тяжким страданьем, 
 Вздымалась, как пены серебряный пух. 
 Вдруг арфы красавица тихо коснулась; 
 В пустыне раздался пленительный глас, 
 И, весело встретив последний свой час, 
 Певица как будто сквозь сон улыбнулась!


"
"7",1821,"Недоверчивость : «Не спрашивай, зачем я так уныл!..»","Не спрашивай, зачем я так уныл! 
 Ты знать должна вину моей печали: 
 Мой взор тебе давно ее открыл, 
 Когда об ней уста мои молчали. 
 Мне суждено по гроб тебя любить; 
 Но, знать, любви внушить я не умею! 
 Нет, счастие тобой любимым быть 
 Не для меня: я ждать его не смею! 
 Из жалости одной к моим слезам 
 Ты мне твердишь любовные обеты; 
 Не верю я пленительным словам: 
 Я не видал в тебе любви приметы! 
 Стою ль вдали, с безмолвною тоской, -- 
 Твой взор меня в толпе не отличает; 
 Иль робкою коснусь к тебе рукой -- 
 Твоя рука моей не отвечает. 
 Спокойна ты: встречаешь ли меня 
 Или даришь мне поцелуй небрежный, -- 
 В глазах твоих нет пылкого огня 
 И на щеках румянца страсти нежной. 
 Когда я шел вчера, простясь с тобой, 
 Не для меня ты у окна стояла -- 
 И тусклого стекла не отирала, 
 Чтобы взглянуть украдкой вслед за мной! 
 Досель я жил отрадой упованья, 
 Я сам себя обманывать хотел, 
 И наяву коварные мечтанья 
 Любовь твою сулили мне в удел! 
 Но ты меня лишила наслажденья: 
 Мечты мои рассеялись, как дым, 
 Упала с глаз повязка заблужденья, 
 И опыт мне сказал: ты не любим! 
 Жестокая, ты хочешь быть мне другом -- 
 Любви твоей, любви желаю я! 
 Когда меня ты назовешь супругом, 
 Без сердца мне на что рука твоя? 
 Где для меня цвели блаженства розы, 
 Там буду я лишь терния встречать; 
 В твоих глазах я должен видеть слезы 
 И на лице уныния печать! 
 Я, может быть, подстерегу случайно 
 Твой тяжкий вздох в безмолвии ночном, 
 И близь меня, забывшись тихим сном, 
 Промолвишь ты признанье в страсти тайной; 
 Огонь любви заблещет на челе, 
 И не супруг, другой тебе приснится; 
 Ты будешь днем, потупя взор к земле, 
 Передо мной мечты своей стыдиться. 
 О милый друг! Прости моим словам, 
 Забудь любви слепые подозренья,-- 
 Я им теперь еще не верю сам, 
 Но в будущем ищу себе мученья! 
 Пускай меня утешит голос твой; 
 Пусть нежный взор тоску души рассеет 
 И грудь мою надежды луч согреет! 
 Когда же нет в тебе любви прямой, 
 Когда я ждал несчастия недаром, 
 Цепей моих из жалости не рви, 
 Но обмани меня притворным жаром 
 И дружбе дай название любви!


"
"8",1821,"К Плетневу : «Винюсь, мой друг, перед тобой...»","Винюсь, мой друг, перед тобой; 
 Ты мной не можешь быть доволен: 
 Я не пою, и гений мой 
 Неизлечимо ленью болен. 
 В глуши лесов я жизнь веду; 
 Не слава, а покой мне нужен. 
 Я стал теперь с весельем дружен, 
 Но с музой часто не в ладу. 
 Она зовет меня украдкой 
 От милой сердца на Парнас, -- 
 Я нехотя клянусь подчас 
 Расторгнуть узы неги сладкой 
 И снова петь, но на стене 
 Не нахожу своей свирели: 
 Амуры, не сказавшись мне, 
 Тихонько ею завладели. 
 Возьму ль ее у них из рук? 
 Мне сладок их напев игривый, 
 И тих свирели беглый звук, 
 Как нежный вздох любви счастливой. 
 Тебе, Плетнев, другой удел! 
 Любовник славы постоянный, 
 Ты вслед за нею полетел, 
 Вдали завидя лавр желанный! 
 Ты не чуждаешься труда, 
 Чтоб знатоков привлечь вниманье, 
 И к верной музе никогда 
 Не опоздаешь на свиданье. 
 Ко мне доносят песнь твою 
 Покорные певцам зефиры, 
 И в диком северном краю 
 Я слышу звук знакомой лиры! 
 Но пусть венцы перед тобой -- 
 Не в них прямое наслажденье! 
 Когда я кончу дней теченье, 
 Быть может, ты, поэт младой, 
 Наскучив шумною столицей, 
 Придешь в страну, где друг твой жил, 
 И над его простой гробницей 
 Прочтешь слова: он счастлив был!


"
"9",1828,"А. А. К-ой : «Молодой цветок дубровы...»","Молодой цветок дубровы, 
 Расцветай в тени ветвей, 
 Где ни зной, ни хлад суровый 
 Не вредят красе твоей; 
 Но ко мне, в страну изгнанья, 
 В мой печальный, дикий край, 
 Как привет воспоминанья, 
 Запах сладкий навевай.


"
"10",1828,"К клену : «Слова любви, мой клен пустынный...»","Слова любви, мой клен пустынный, 
 Я на коре твоей писал; 
 Но вижу с грустью, друг старинный, 
 Что мне и ты неверен стал. 
 Зачем ты память сохраняешь 
 О счастьи двух сердец младых? 
 Ты их еще соединяешь, 
 А время разлучило их!


"
