"","year","header","text_raw"
"1",1828,"Осень : «Листья в поле пожелтели...»","Листья в поле пожелтели, 
 И кружатся и летят; 
 Лишь в бору поникши ели 
 Зелень мрачную хранят. 
 Под нависшею скалою 
 Уж не любит, меж цветов, 
 Пахарь отдыхать порою 
 От полуденных трудов. 
 Зверь, отважный, поневоле 
 Скрыться где-нибудь спешит. 
 Ночью месяц тускл, и поле 
 Сквозь туман лишь серебрит.


"
"2",1828,"Заблуждение Купидона : «Однажды женщины Эрота отодрали...»","Однажды женщины Эрота отодрали; 
 Досадой раздражен, упрямое дитя, 
 Напрягши грозный лук и за обиду мстя, 
 Не смея к женщинам, к нам ярость острой стали, 
 Не слушая мольбы усерднейшей, стремит. 
 Ваш подлый род один! -- безумный говорит.


С тех пор-то женщина любви не знает!.. 
 И точно как рабов считает нас она... 
 Так в наказаниях всегда почти бывает: 
 Которые смирней, на тех падет вина!..


"
"3",1828,"Цевница : «На склоне гор близ вод, прохожий, зрел ли ты...»","На склоне гор близ вод, прохожий, зрел ли ты 
 Беседку тайную, где грустные мечты 
 Сидят задумавшись? Над ними свод акаций: 
 Там некогда стоял алтарь и муз и граций, 
 И куст прелестных роз, взлелеянных весной 
 Там некогда, кругом черемухи млечной 
 Струя свой аромат, шумя, с прибрежной ивой 
 Шутил подчас зефир и резвый и игривый. 
 Там некогда моя последняя любовь 
 Питала сердце мне и волновала кровь!.. 
 Сокрылось всё теперь: так, поутру, туманы 
 От солнечных лучей редеют средь поляны. 
 Исчезло всё теперь; но ты осталось мне, 
 Утеха страждущих, спасенье в тишине, 
 О милое, души святое вспоминанье! 
 Тебе ж, о мирный кров, тех дней, когда страданье 
 Не ведало меня, я сохранил залог, 
 Который умертвить не может грозный рок, 
 Мое веселие, уж взятое гробницей, 
 И ржавый предков меч с задумчивой цевницей!


"
"4",1828,"Поэт : «Когда Рафаэль вдохновенный...»","Когда Рафаэль вдохновенный 
 Пречистой девы лик священный 
 Живою кистью окончал: 
 Своим искусством восхищенный 
 Он пред картиною упал! 
 Но скоро сей порыв чудесный 
 Слабел в груди его младой, 
 И утомленный и немой 
 Он забывал огонь небесный.


Таков поэт: чуть мысль блеснет, 
 Как он пером своим прольет 
 Всю душу; звуком громкой лиры 
 Чарует свет, и в тишине 
 Поет, забывшись в райском сне, 
 Вас, вас! души его кумиры! 
 И вдруг хладеет жар ланит, 
 Его сердечные волненья 
 Всё тише, и призра́к бежит! 
 Но долго, долго ум хранит 
 Первоначальны впечатленья.


"
"5",1829,"К Петерсону : «Забудь, любезный Петерсон...»","Забудь, любезный П<етерсо>н, 
 Мои минувшие сужденья; 
 Нет! недостоин бедный свет презренья, 
 Хоть наша жизнь минута сновиденья, 
 Хоть наша смерть струны порванной звон. 
 Мой ум его теперь ценить иначе станет. 
 Навряд ли кто-нибудь из нас страну узрит, 
 Где дружба дружбы не обманет, 
 Любовь любви не изменит. 
 Зачем же всё в сем мире бросить, 
 Зачем и счастья не найти: 
 Есть розы, друг, и на земном пути! 
 Их время злобное не все покосит!.. 
 Пусть добродетель в прах падет, 
 Пусть будут все мольбы творцу бесплодны, 
 Навеки гений пусть умрет, -- 
 Везде утехи есть толпе простонародной; 
 Но тот, на ком лежит уныния печать, 
 Кто, юный, потерял лета златые, 
 Того не могут услаждать 
 Ни дружба, ни любовь, ни песни боевые!..


"
"6",1829,"К Д....ву : «Я пробегал страны России...»","Я пробегал страны России, 
 Как бедный странник меж людей; 
 Везде шипят коварства змии; 
 Я думал: в свете нет друзей! 
 Нет дружбы нежно-постоянной, 
 И бескорыстной, и простой; 
 Но ты явился, гость незванный, 
 И вновь мне возвратил покой! 
 С тобою чувствами сливаюсь, 
 В речах веселых счастье пью; 
 Но дев коварных не терплю, -- 
 И больше им не доверяюсь!..


"
"7",1829,"Посвящение. N. N. : «Вот, друг, плоды моей небрежной музы!..»","Вот, друг, плоды моей небрежной музы! 
 Оттенок чувств тебе несу я в дар. 
 Хоть ты презрел священной дружбы узы, 
 Хоть ты души моей отринул жар... 
 Я знаю всё: ты ветрен, безрассуден, 
 И ложный друг уж в сеть тебя завлек; 
 Но вспоминай, что путь ко счастью труден 
 От той страны, где царствует порок!.. 
 Готов на всё для твоего спасенья! 
 Я так клялся и к гибели летел; 
 Но ты молчал и, полный подозренья, 
 Словам моим поверить не хотел... 
 Но час придет, своим печальным взором 
 Ты всё прочтешь в немой душе моей; 
 Тогда: -- беги, не трать пустых речей, -- 
 Ты осужден последним приговором!..


"
"8",1829,"Пир : «Приди ко мне, любезный друг...»","Приди ко мне, любезный друг, 
 Под сень черемух и акаций, 
 Чтоб разделить святой досуг 
 В объятьях мира, муз и граций. 
 Не мясо тучного тельца, 
 Не фрукты Греции счастливой 
 Увидишь ты; не мед, не пиво 
 Блеснут в стакане пришлеца; 
 Но за столом любимца Феба 
 Пирует дружба и она; 
 А снедь, кусок прекрасный хлеба 
 И рюмка красного вина.


"
"9",1829,"Веселый час : «Зачем вы на меня...»","Зачем вы на меня, 
 Любезные друзья, 
 В решетку так глядите? 
 Не плачьте, не грустите! 
 Пускай умру сейчас, 
 Коль я в углу темницы 
 Смочил один хоть раз 
 Слезой мои ресницы!.. 
 Ликуйте вы одне 
 И чаши осушайте, 
 Любви в безумном сне 
 Как прежде утопайте; 
 Но в пламенном вине 
 Меня воспоминайте!..


Я также в вашу честь, 
 Кляня любовь былую, 
 Хлеб черствый стану есть 
 И воду пить гнилую!.. 
 Пред мной отличный стол, 
 И шаткий <и> старинный; 
 И музыкой ослиной 
 Скрыпит повсюду пол. 
 В окошко свет чуть льется; 
 Я на стене кругом 
 Пишу стихи углем, 
 Браню кого придется, 
 Хвалю кого хочу, 
 Нередко хохочу, 
 Что так мне удается!


Иль если крыса, в ночь, 
 Колпак на мне сгрызает, 
 Я не гоняю прочь: 
 Меня увеселяет 
 Ее бесплодный труд. 
 Я повернусь -- и тут!.. 
 Послыша глас тревоги -- 
 Она -- давай бог ноги!..


Я сторожа дверей 
 Всегда увеселяю, 
 Смешу -- и тем сытей 
 Всегда почти бываю. 
 ................... 
 ................... 
 Тогда я припеваю 
 ................... 
 ................... 
 «Тот счастлив, в ком ни раз 
 Веселья дух не гас. 
 Хоть он всю жизнь страдает, 
 Но горесть забывает 
 В один веселый час!..»


"
"10",1829,"К друзьям : «Я рожден с душою пылкой...»","Я рожден с душою пылкой, 
 Я люблю с друзьями быть, 
 А подчас и за бутылкой 
 Быстро время проводить.


Я не склонен к славе громкой, 
 Сердце греет лишь любовь; 
 Лиры звук дрожащий, звонкой 
 Мне волнует также кровь.


Но нередко средь веселья 
 Дух мой страждет и грустит, 
 В шуме буйного похмелья 
 Дума на сердце лежит.


"
