"","year","header","text_raw"
"1",1824,"Призыв : «Отчего, мой ангел милый...»","Отчего, мой ангел милый, 
 Так мне скучно без тебя? 
 Свет сей сделался могилой, 
 Всё постыло для меня!


Отчего других мне радость 
 Уж веселья не дает? 
 Лишь в очах твоих вся сладость -- 
 В них душа моя живет!


Ты как солнце, что лучами 
 Всю вселенную живит; 
 Как весна, что нас цветами 
 К удовольствию манит;


Как луна, что освещает 
 Странника в тиши ночной; 
 Как надежда, что вселяет 
 В душу к бедному покой.


Так приди ж, мой друг бесценный! 
 Приди, рай всех чувств моих! 
 И забуду о вселенной 
 Я в объятиях твоих.


"
"2",1831,"Сомнение : «Неужель мечта пустая...»","Неужель мечта пустая, 
 Неужели тщетный сон -- 
 И любовь моя святая 
 И души моей закон? 
 Неужель мой друг сердечный, 
 Та, кем жизнь моя красна, 
 Красотой не будет вечной 
 Цвесть, как юная весна?


Неужель уста младые, 
 Яркий пламень тех ланит 
 И те очи голубые, 
 В коих сердце говорит,-- 
 Изменятся, перестанут 
 Сердце, душу волновать, 
 И уста мои не станут 
 Их как прежде целовать?


Нет, не верю; нет, пустое! 
 Навсегда они со мной -- 
 Сердце вечно молодое 
 И с любовью молодой! 
 Пусть изменится вселенна, 
 Мне что нужды до того? 
 Память сердца неизменна: 
 Она врезалась в него.


И она всё будет та же, 
 Как ее я прежде знал; 
 С нею мы под старость даже 
 Будем пить любви фиал. 
 Та ж любовь! Ее цветами 
 Жизни осень усладим, 
 А как постареет с нами -- 
 Мы ей дружбу придадим.


"
"3",1833,"Луна : «Когда волшебная луна...»","Когда волшебная луна 
 На небе голубом сияет 
 И полуспящая волна 
 Ее мерцанье отражает, 
 Когда в тиши ночной зефир 
 Колеблет листия порою, -- 
 Душа весь наполняет мир 
 Своей любимою мечтою.


Не радость в ней и не печаль, 
 Но, с будущим минувшее сливая, 
 Она глядит в туманну даль, 
 Воображению внимая. 
 Оно рисует перед ней 
 Всё, что сбылось, что изменило 
 И что в печальной жизни сей 
 Еще бы сердце веселило:


Друзей минувших юных лет, 
 И отчий дом, поля родные, 
 И тех, кого уж больше нет, 
 Но в сердце всё еще живые; 
 А горький опыта урок, 
 Что дважды младость не бывает, 
 Что счастию положен срок -- 
 Душа в раздумье забывает.


Но долго ли обольщена 
 Она любимою мечтою? 
 Зайдет за облако луна -- 
 И увлечет мечту с собою. 
 И жизни одинокий путь 
 Еще грустней, мрачней предстанет, 
 И мысль одна: когда-нибудь, 
 Авось, еще луна проглянет!


"
"4",1833,"Облако : «Как быстро облако бежит!..»","Как быстро облако бежит! 
 Оно сейчас луну закроет, 
 Мой путь вечерний омрачит, 
 И сердце вещее заноет.


Есть в жизни тоже облака, 
 И радость жизни тоже тмится, 
 Когда несчастия рука 
 Внезапно на сердце ложится.


Но ветер облако умчит -- 
 Луна по-прежнему сияет, 
 Мой путь вечерний серебрит, 
 И томный сумрак исчезает.


Ах! Если б жизни облака 
 Погода так же б уносила 
 И налетевшая тоска 
 Навек бы сердца не клеймила!


Удел наш в жизни не таков, 
 Когда спознаешься с тоскою.. . 
 Но будет жизнь без облаков, 
 И к ней я уношусь мольбою.


"
"5",1834,"Чужое дитя : «На станции дитя ко мне...»","На станции дитя ко мне 
 Пришло, ласкается, играет, 
 И мне, как бы в туманном сне, 
 Моих детей напоминает. 
 И понеслась душа моя 
 Домой привычною мечтою... 
 Моих детей ласкаю я, 
 Любуюсь милою женою, 
 Радушен, весел их привет. 
 Души желанье совершилось: 
 Тоски, усталости уж нет, 
 И сердце радостью забилось! 
 Я новой жизнию горю, 
 Дорожный посох свой бросаю, 
 Про путь им дальний говорю, 
 И их рассказам я внимаю, 
 И счастлив я любовью их! 
 Вполне блаженствую душою: 
 Жена в объятиях моих, 
 И дети все -- опять со мною! 
 Но колокольчик зазвенел... 
 Уж тройка для меня готова, 
 И я опять осиротел, 
 И тосковать я должен снова... 
 Передо мной широкий путь 
 Метель и вьюга заметает... 
 И где конец его -- кто знает! 
 Пора, пора бы отдохнуть!


"
"6",1834,"Рыбак : «Волна шумит, волна бушует...»","Волна шумит, волна бушует 
 И с пеною о берег бьет; 
 На берегу сидит, тоскует 
 Младой рыбак и слезы льет!


Грозой челнок его разбило, 
 Напрасны были все труды; 
 Погиб, но белое ветрило 
 Еще мелькает из воды, 
 То погрузится, то всплывает, 
 Как бы прощаясь с рыбаком; 
 Так пламень жизни догорает 
 С весной в страдальце молодом.


Волна шумит, волна бушует 
 И с пеною о берег бьет; 
 На берегу сидит, тоскует 
 Младой рыбак и слезы льет!


«О мой челнок, прости! Пропало 
 С тобою то, что льстило мне; 
 С какой отвагой я, бывало, 
 С тобой носился по волне! 
 Как ты летел, рулю послушный, 
 Как быстро волны рассекал, 
 С какою резвостью воздушной 
 Твой вымпел под небом играл!»


Волна шумит, волна бушует 
 И с пеною о берег бьет; 
 На берегу сидит, тоскует 
 Младой рыбак и слезы льет!


«Мы навсегда с тобой расстались; 
 С весны, бывало, до зимы 
 Веселой песней оглашались 
 Моей прибрежные холмы. 
 И я умолк! «Прости!» -- надежде, 
 И песням я «Прости!» -- сказал; 
 А море то же, как и прежде, 
 Передо мной призывный вал».


Волна шумит, волна бушует 
 И с пеною о берег бьет; 
 На берегу сидит, тоскует 
 Младой рыбак и слезы льет!


«Завесть могу челнок я новый, 
 Ветрило новое достать 
 И, вопреки судьбе суровой, 
 Пуститься по морю опять; 
 Но будет уж не то ветрило, 
 Не тот челнок, и с ними мне 
 Не будет уж, как прежде было, 
 Отрадно плавать по волне».


Волна шумит, волна бушует 
 И с пеною о берег бьет; 
 На берегу сидит, тоскует 
 Младой рыбак и слезы льет!


Так если в юности мятежной 
 Изменят счастье и любовь, 
 Уж никогда к ним верой прежней 
 Не озарится сердце вновь. 
 Быть может, счастье пожалеет, 
 Опять отдаст, что отнято, 
 И новая любовь повеет,-- 
 Но будет всё уже не то!..


Волна шумит, волна бушует 
 И с пеною о берег бьет; 
 На берегу сидит, тоскует 
 Младой рыбак и слезы льет!


"
"7",1834,"Розы : «Как хороши, как свежи были розы...»","Как хороши, как свежи были розы 
 В моем саду! Как взор прельщали мой! 
 Как я молил весенние морозы 
 Не трогать их холодною рукой!


Как я берег, как я лелеял младость 
 Моих цветов заветных, дорогих; 
 Казалось мне, в них расцветала радость; 
 Казалось мне, любовь дышала в них.


Но в мире мне явилась дева рая, 
 Прелестная, как ангел красоты; 
 Венка из роз искала молодая -- 
 И я сорвал заветные цветы.


И мне в венке цветы еще казались 
 На радостном челе красивее, свежей; 
 Как хорошо, как мило соплетались 
 С душистою волной каштановых кудрей!


И заодно они цвели с девицей! 
 Среди подруг, средь плясок и пиров, 
 В венке из роз она была царицей, 
 Вокруг ее вилась и радость и любовь!


В ее очах -- веселье, жизни пламень, 
 Ей счастье долгое сулил, казалось, рок, -- 
 И где ж она?.. В погосте белый камень, 
 На камне -- роз моих завянувший венок.


"
"8",1834,"Ветка : ««Что ты, ветка бедная...»","«Что ты, ветка бедная, 
 Ты куда плывешь? 
 Берегись -- сердитое 
 Море... Пропадешь.


Уж тебе не справиться 
 С бурною волной, 
 Как сиротке горькому 
 С хитростью людской.


Одолеет лютая, 
 Как ты ни трудись, 
 Далеко умчит тебя, 
 Ветка, берегись!»


«Для чего беречься мне? -- 
 Ветки был ответ. -- 
 Я уже иссохшая, 
 Во мне жизни нет.


От родного дерева 
 Ветер оторвал; 
 Пусть теперь несет меня, 
 Куда хочет, вал.


Я и не противлюся: 
 Мне чего искать? 
 Уж с родимым деревом 
 Не срастись опять!»


"
"9",1834,"Вечер : «Уже догорало...»","Уже догорало, 
 Скрываяся в море, 
 Дневное светило; 
 И небо пылало, 
 И сердце мечтало: 
 Минувшее горе, 
 Как дальнее эхо, его возмутило!


И тихо спускалась 
 С небесного свода 
 Завеса ночная; 
 Так точно скрывалась, 
 Чем здесь озарялась 
 Для сердца природа: 
 Любовь и надежда, и радость земная.


И сердце, уныло, 
 Вдруг вспомнило ясно 
 Счастливое прежде, 
 И сердце спросило: 
 Ужель изменило 
 Всё то, что прекрасно? 
 Ужели не верить любви и надежде?


Друзья незабвенны, 
 Которых мы в свете 
 Так рано лишились, 
 Землей сокровенны, 
 Душой вы нетленны! 
 Но где же живете? 
 Ужели навеки от нас вы сокрылись?


И звезды златые 
 Безмолвным ответом 
 На небе блеснули! 
 О! Сердцу родные, 
 В мир лучший взятые, 
 С бывалым приветом 
 И с прежней любовью не вы ли взглянули?


Я верю! Так ясно-- 
 Любви только очи 
 Пылают огнями, 
 И я не напрасно 
 На звезды так страстно 
 Взираю средь ночи: 
 В них души Ликуют утраченных нами.


"
"10",1834,"Песнь ратника : «Подайте мне булатный меч...»","Подайте мне булатный меч, 
 Подайте копие стальное! 
 За край родной в кроваву сечь 
 Мое стремится ретивое.


Я милой девою любим; 
 Она сама «люблю» сказала; 
 Сим словом я непобедим, 
 И жизнь мне в красоте предстала, 
 Но отплатить я должен ей: 
 Пусть мною тож она гордится, 
 Пусть бранной славы луч моей 
 На милой деве отразится.


Подайте мне булатный меч, 
 Подайте копие стальное, 
 За край родной в кроваву сечь 
 Мое стремится ретивое.


Но, может быть, обманут я? 
 Изменница другого любит? 
 За что ж обман? Он, как змея, 
 Всю радость дней моих погубит; 
 Тоска, и ревность, и любовь 
 Отравой в душу мне втеснятся, 
 И никогда надеждой вновь 
 Мои мечты не озарятся.


Подайте мне булатный меч, 
 Подайте копие стальное, 
 Скорей, скорей в кроваву сечь! 
 Там исцелится ретивое.


Убитым быть и пасть в бою, 
 Быть может, суждено мне роком; 
 Она узнает смерть мою! 
 И это будет ей упреком. 
 Но нет, пусть любит так другой, 
 Как я любил, как обожаю, 
 Пусть он сравняется со мной -- 
 И я изменнице прощаю!


Подайте мне булатный меч, 
 Подайте копие стальное! 
 За край родной, в кроваву сечь! 
 Пусть там погаснет ретивое.


"
