"","year","header","text_raw"
"1",1827,"Жребий : «К чему печальное сомненье?..»","К чему печальное сомненье? 
 Загадка жизни решена... 
 Мне указало провиденье, 
 Какая участь мне дана! 
 Любви, и славы, и свободы 
 Люблю таинственный призыв, 
 И для меня язык природы 
 Обилен и красноречив!.. 
 Ему внимая, сердце бьется 
 Всей жизнью юною своей, 
 И тихо из души моей 
 Сама собою песня льется. 
 Предав судьбе мой светлый век, 
 Я об одном молю у рока, 
 Чтоб умереть не мог до срока 
 Во мне поэт и человек!


"
"2",1828,"Предвещание : «Кто бросился в Волхов с крутых берегов?..»","Кто бросился в Волхов с крутых берегов? 
 В реке заклубилася пена, 
 В реке зазвенело... Не звон ли оков? 
 Наверное, беглый из плена!


Нет, беглый не будет с мечом и в броне, 
 У пленника сбруи не стало! 
 То кто-то из наших плывет на коне... 
 Зачем же надвинул забрало?


Он крепок, он молод, он волны сечет 
 С прямой богатырской отвагой, 
 И конь его сильный отважно плывет 
 И брызжет кипящею влагой.


Уж поздно -- и туча легла как свинец, 
 По Волхову ветер гуляет, 
 Откликнулся ворон, -- торопися, пловец, 
 Недоброе ворон вещает!


Вот конь погрузился, тяжеле плывет, -- 
 Но берег другой недалёко, 
 Храпит и дрожит он, и разом из вод 
 На берег взлетает высокой...


Вздыхая вольнее, он буйно заржал, 
 Взмахнул он косматою гривой 
 И бодрый, как прежде, по кочкам помча 
 Седока удалого ретиво.


К недальному бору подъехал ездок, 
 Окрест и темно всё и глухо, 
 Порою болотный блеснет огонек, 
 Ничто не доходит до слуха.


Чем дале, всё гуще и сумрачней бор, 
 Нависнули сосны да ели, 
 Как видно, не сек их бесщадный топор 
 И люди их тронуть не смели.


Конь тяжко ступает, нет более сил, 
 Дрожат, подгибаясь, колена; 
 Вот стал он упрямо, и каплет с удил 
 И кровь и багровая пена...


На землю ступил поневоле седок, 
 Коня он ведет за собою, 
 Но путь ему труден -- всё пни и песок, 
 Да иглы хрустят под ногою.


Вдруг ветер ударил, и облаком дым 
 И свет разливаются всюду, 
 Послышался голос: «Куда ты, Вадим? 
 К добру ты пришел или к худу?»


«Иду я совета искать у волхва, -- 
 Пришелец ответствует смело. -- 
 Проник он все тайны, вещает молва, 
 Так сам угадает, в чем дело».


Сказал он, и ветер затихнул, и вмиг 
 Рассеялось облако дыма, 
 И тихо подходит столетний старик 
 И взором пытает Вадима...


Расцвечена чудно одежда на нем, 
 Брада серебрится, как иней, 
 Чело ж осеняет летучим венцом 
 Огонек то румяный, то синий.


«Вадим! ты узнаешь, всеведущ ли я 
 И тщетно ль мне верят народы, 
 Покорен мне воздух, покорна земля, 
 Проник и в огонь я и в воды.


Что прежде сбылося, что будет вперед, 
 Всё знаю в пустыне безлюдной, 
 О чем ты замыслил и что тебя ждет, 
 Проведать, увидишь, нетрудно».


И шепчет гадатель, и, круг очертя, 
 Медвежьей махнул рукавицей, 
 И птицы отвсюду, шумя и свистя, 
 Слетаются бурной станицей.


«Теперь всё готово, -- промолвил старик, -- 
 Всю правду нам выскажут птицы, 
 Тебе же понятен их будет язык, 
 Пока не шагнешь за границы».


И витязь вступает в таинственный круг, 
 Ему как бы стало страшнее, 
 Он ждет предвещанья, волнуется дух, 
 И сердце забилось сильнее.


Коршун хищный! плавным кругом 
 Так высоко не летай, 
 Дай нам встретиться друг с другом, 
 Сил со мною попытай! 
 На тебя, ширококрылый, 
 Я ударю всею силой, 
 И по ветру я вокруг 
 Размечу твой серый пух; 
 А не то, во мраке ночи, 
 Если сном смежишь ты очи, 
 Неожиданный паду, 
 Где б ты ни был, я найду!


Нет! и в сумраке ночей 
 Ты под властию моей, 
 Сокол, ночью всюду я 
 За тобой, как тень твоя; 
 Ты от взора моего 
 Не укроешь ничего; 
 Ночью всё подвластно мне, -- 
 Будь твой недруг хоть во сне, 
 Пробужу я вмиг его 
 До прихода твоего...


Чья мне слышится кровь? 
 Где-то двое врагов! 
 А! коршун и сокол сшибаются вдруг, 
 По воздуху вьется разбросанный пух... 
 Жарок бой в вышине, 
 Кто ж достанется мне? 
 Вот ударил один, вот ударил другой, 
 Взвивается коршун, и кончен их бой, -- 
 Сокол, сокол, твою 
 Кровь я досыта пью!


Умолкнули птицы -- исчезнул старик, 
 Вполне совершилось гаданье, 
 Но витязь безмолвен, челом он поник, 
 Не в радость ему предсказанье!


Вот утро блеснуло, конь весело ржет, 
 Но витязь не внемлет и шуму, 
 Вадиму печален и солнца восход -- 
 Он крепкую думает думу...


"
"3",1828,"Портрет : «Когда стройна и светлоока...»","Когда стройна и светлоока 
 Передо мной стоит она, 
 Я мыслю: гурия пророка 
 С небес на землю сведена! 
 Коса и кудри темно-русы, 
 Наряд небрежный и простой, 
 И на груди роскошной бусы 
 Роскошно зыблются порой. 
 Весны и лета сочетанье 
 В живом огне ее очей, 
 И тихий звук ее речей 
 Рождает негу и желанья 
 В груди тоскующей моей.


"
"4",1829,"К *** : «Везде преследовать готова...»","Везде преследовать готова 
 Мечта ревнивая тебя, 
 И, будто праздника святого, 
 С тобою встречи жажду я. 
 Но сердцу в тягость встреча эта, 
 Как зной томительного лета! 
 На очи мне палящий взгляд 
 Наводишь ты без состраданья, 
 И при тебе одни желанья 
 В груди трепещущей кипят! 
 Так ночью летнею младенца, 
 Земли роскошной поселенца, 
 Звезда манит издалека, 
 Но он к ней тянется напрасно, -- 
 Звезды блестящей и прекрасной 
 Не досягнет его рука!..


"
"5",1829,"Ответ : «Не говори: завиден дар...»","Не говори: завиден дар 
 И вдохновение поэта, -- 
 Не вечен в нем священный жар, 
 Им грудь не часто разогрета! 
 Как много дней цветущих он 
 В бесплодных замыслах утратит, 
 И редко вдохновенный сон 
 Его создания освятит. 
 В мир необъятный, в мир иной 
 Перелетя воображеньем, 
 На мир существенный с презреньем 
 Глядит как житель неземной. 
 И часто грудь его страдает: 
 Не зная радостей земных, 
 Он их надменно отвергает, 
 А заменить не может их.


"
"6",1829,"Природа : «Цветет она розой, летит мотыльком...»","Цветет она розой, летит мотыльком, 
 В дубровах, в долинах поет соловьем, 
 Могучей пятою колеблет гранит 
 И брызгами в пропасть с утеса летит. 
 Из снов развивает блестящую цепь, 
 Дыханьем волнует песчаную степь, 
 Сливает свой голос с напевом духов 
 И радугой блещет в дыму облаков. 
 Над бездной воздушной чертог создает, 
 И мысль человека и сердце зовет, 
 Но видима всюду, но всюду слышна, 
 Лишь изредка манит и кличет она: 
 Кто ж близко подходит, познаньем томим, 
 Волшебница бездну разверзнет под ним!


"
"7",1830,"Безнадежность : «Узник ждет конца неволи...»","Узник ждет конца неволи, 
 Ждет малиновка весны, 
 Я не жду ни лучшей доли, 
 Ни весенней тишины.


Путь свершаю понемногу 
 По дороге бытия, 
 День прошел -- и слава богу, 
 Если слез не пролил я,


Если долгое забвенье 
 Глухо на душу падет, 
 Если в темном отдаленьи 
 Тень минувшего блеснет.


Но когда во мраке ночи 
 Слышу страстный разговор 
 И любовью полны очи 
 Встретит мой потухший взор --


Сердцу грустно, сердцу больно, 
 Камнем на сердце тоска -- 
 И к очам тогда невольно 
 Подымается рука...


Пусть же так, как волны в Лете, 
 Охладеет в сердце кровь, 
 Чтоб забыл я, что на свете 
 Есть и дружба и любовь!


"
"8",1830,"К «Литературной газете» б<арона> Д<ельвига> : «Не для большого ты числа...»","Не для большого ты числа, 
 А ради дружбы выходила; 
 Где колыбель твоя была, 
 Там и могила!


"
"9",1831,"Сонет : «Любовь он пел, печалью вдохновенный...»","Любовь он пел, печалью вдохновенный, 
 И чуждых слов не понял я вполне, 
 И только был напев одноплеменный, 
 Как томный взор, как вздох, понятен мне.


Но ты постиг душою умиленной, 
 Что звуков тех таилось в глубине, 
 И скорбь души, страданьем утомленной, 
 Отозвалась и на твоей струне.


И я внемлю понятному мне звуку, 
 Как бы внимал страдальцу самому, 
 И я б хотел с участьем брата руку


При встрече с ним хоть раз пожать ему, -- 
 Мне тот не чужд, кто знал любовь и муку 
 И кто их пел по сердцу моему.


"
"10",1831,"Сонет : «Не потому томительным виденьем...»","Не потому томительным виденьем 
 Во снах твоих блуждает образ мой, 
 Что, может быть, с тоскою и волненьем 
 Ты обо мне подумаешь порой,


Но оттого, что часто с напряженьем, 
 В ночи без сна, к тебе стремлюсь мечтой, 
 И увлечен я весь воображеньем 
 И с сном твоим сливаюся душой.


Прости меня! Невольной, неизбежной, 
 Я предаюсь мечте моей вполне, 
 Я бы хотел, чтоб призрак мой мятежный


Не говорил о милой старине, -- 
 Но ты простишь: не ты ль сама так нежно 
 Об этих снах рассказывала мне! ..


"
