"","year","header","text_raw"
"1",1844,"«О, долго буду я, в молчаньи ночи тайной...»","О, долго буду я, в молчаньи ночи тайной, 
 Коварный лепет твой, улыбку, взор случайный, 
 Перстам послушную волос густую прядь 
 Из мыслей изгонять и снова призывать; 
 Дыша порывисто, один, никем не зримый, 
 Досады и стыда румянами палимый, 
 Искать хотя одной загадочной черты 
 В словах, которые произносила ты; 
 Шептать и поправлять былые выраженья 
 Речей моих с тобой, исполненных смущенья, 
 И в опьянении, наперекор уму, 
 Заветным именем будить ночную тьму.


"
"2",1844,"«Когда мечты мои за гранью прошлых дней...»","Когда мечты мои за гранью прошлых дней 
 Найдут тебя опять за дымкою туманной, 
 Я плачу сладостно, как первый иудей 
 На рубеже земли обетованной.


Не жаль мне детских игр, не жаль мне тихих снов, 
 Тобой так сладостно и больно возмущенных 
 В те дни, как постигал я первую любовь 
 По бунту чувств неугомонных,


По сжатию руки, по отблеску очей, 
 Сопровождаемым то вздохами, то смехом, 
 По ропоту простых, незначащих речей, 
 Лишь нам звучавших страсти эхом.


"
"3",1847,"«Когда мечтательно я предан тишине...»","Когда мечтательно я предан тишине 
 И вижу кроткую царицу ясной ночи, 
 Когда созвездия заблещут в вышине 
 И сном у Аргуса начнут смыкаться очи,


И близок час уже, условленный тобой, 
 И ожидание с минутой возрастает, 
 И я стою уже безумный и немой, 
 И каждый звук ночной смущенного пугает;


И нетерпение сосет больную грудь, 
 И ты идешь одна, украдкой, озираясь, 
 И я спешу в лицо прекрасной заглянуть, 
 И вижу ясное, -- и тихо, улыбаясь,


Ты на слова любви мне говоришь «люблю!», 
 А я бессвязные связать стараюсь речи, 
 Дыханьем пламенным дыхание ловлю, 
 Целую волоса душистые и плечи,


И долго слушаю, как ты молчишь, -- и мне 
 Ты предаешься вся для страстного лобзанья, -- 
 О друг, как счастлив я, как счастлив я вполне! 
 Как жить мне хочется до нового свиданья!


"
"4",1855,"«Постой! здесь хорошо! зубчатой и широкой...»","Постой! здесь хорошо! зубчатой и широкой 
 Каймою тень легла от сосен в лунный свет... 
 Какая тишина! Из-за горы высокой 
 Сюда и доступа мятежным звукам нет.


Я не пойду туда, где камень вероломный, 
 Скользя из-под пяты с отвесных берегов, 
 Летит на хрящ морской; где в море вал огромный 
 Придет -- и убежит в объятия валов.


Одна передо мной, под мирными звездами, 
 Ты здесь, царица чувств, властительница дум... 
 А там придет волна -- и грянет между нами... 
 Я не пойду туда: там вечный плеск и шум!


"
"5",1847,"«Странное чувство какое-то в несколько дней овладело...»","Странное чувство какое-то в несколько дней овладело 
 Телом моим и душой, целым моим существом: 
 Радость и светлая грусть, благотворный покой и желанья 
 Детские, резвые -- сам даже понять не могу. 
 Вот хоть теперь: посмотрю за окно на веселую зелень 
 Вешних деревьев, да вдруг ветер ко мне донесет 
 Утренний запах цветов и птичек звонкие песни -- 
 Так бы и бросился в сад с кликом: пойдем же, пойдем! 
 Да как взгляну на тебя, как уселась ты там безмятежно 
 Подле окошка, склоня иглы ресниц на канву, 
 То уж не в силах ничем я шевельнуться, а только 
 Всю озираю тебя, всю -- от пробора волос 
 До перекладины пялец, где вольно, легко и уютно, 
 Складки раздвинув, прильнул маленькой ножки носок. 
 Жалко... да нет -- хорошо, что никто не видал, как взглянула 
 Ты на сестрицу, когда та приходила сюда 
 Куклу свою показать. Право, мне кажется, всех бы 
 Вас мне хотелось обнять. Даже и брат твой, шалун, 
 Что изучает грамматику в комнате ближней, мне дорог. 
 Можно ль так ложно его вещи учить понимать! 
 Как отворялися двери, расслушать я мог, что учитель 
 Каждый отдельный глагол прятал в отдельный залог: 
 Он говорил, что любить есть действие -- не состоянье. 
 Нет, достохвальный мудрец, здесь ты не видишь ни зги; 
 Я говорю, что любить -- состоянье, еще и какое! 
 Чудное, полное нег!.. Дай бог нам вечно любить!


"
"6",1847,"«Я знаю, гордая, ты любишь самовластье...»","Я знаю, гордая, ты любишь самовластье; 
 Тебя в ревнивом сне томит чужое счастье; 
 Свободы смелый лик и томный взор любви 
 Манят наперерыв желания твои. 
 Чрез всю толпу рабов у пышной колесницы 
 Я взгляд лукавый твой под бархатом ресницы 
 Давно прочел, давно -- и разгадал с тех пор, 
 Где жертву новую твой выбирает взор. 
 Несчастный юноша! давно ль, веселья полный, 
 Скользил его челнок, расталкивая волны? 
 Смотри, как счастлив он, как волен... он -- ничей; 
 Лобзает ветр один руно его кудрей. 
 Рука, окрепшая в труде однообразном, 
 Минула берега, манящие соблазном. 
 Но горе! ты поешь; на зыбкое стекло 
 Из ослабевших рук упущено весло; 
 Он скован, -- ты поешь, ты блещешь красотою, 
 Для взоров божество -- сирена под водою.


"
"7",1847,"«Ее не знает свет, -- она еще ребенок...»","Ее не знает свет, -- она еще ребенок; 
 Но очерк головы у ней так чист и тонок, 
 И столько томности во взгляде кротких глаз, 
 Что детства мирного последний близок час. 
 Дохнет тепло любви, -- младенческое око 
 Лазурным пламенем засветится глубоко, 
 И гребень, ласково-разборчив, будто сам 
 Пойдет медлительней по пышным волосам, 
 Персты румяные, бледнея, подлиннеют... 
 Блажен, кто замечал, как постепенно зреют 
 Златые гроздия, и знал, что, виноград 
 Сбирая, он вопьет их сладкий аромат!


"
"8",1847,"«Эх, шутка-молодость! Как новый, ранний снег...»","Эх, шутка-молодость! Ка́к новый, ранний снег 
 Всегда и чист и свеж! Царица тайных нег, 
 Луна зеркальная над древнею Москвою 
 Одну выводит ночь блестящей за другою. 
 Что, все ли улеглись, уснули? Не пора ль?.. 
 На сердце жар любви, и трепет, и печаль!.. 
 Бегу! Далекие, как бы в вознагражденье, 
 Шлют звезды в инее свое изображенье. 
 В сияньи полночи безмолвен сон Кремля. 
 Под быстрою стопой промерзлая земля 
 Звучит, и по крутой, хотя недавней стуже 
 Доходит бой часов порывистей и туже. 
 Бегу! Нигде огня, -- соседи полегли, 
 И каждый звук шагов, раздавшийся вдали, 
 Иль тени на стене блестящей колыханье 
 Мне напрягает слух, прервав мое дыханье.


"
"9",1847,"«Лозы мои за окном разрослись живописно и даже...»","Лозы мои за окном разрослись живописно и даже 
 Свет отнимают. Смотри, вот половина окна 
 Верхняя темною зеленью листьев покрыта; меж ними, 
 Будто нарочно, в окне кисть начинает желтеть. 
 Милая, полно, не трогай!.. К чему этот дух разрушенья! 
 Ты доставать виноград высунешь руку на двор, -- 
 Белую, полную ручку легко распознают соседи, 
 Скажут: она у него в комнате тайно была.


"
"10",1847,"«Тебе в молчании я простираю руку...»","Тебе в молчании я простираю руку 
 И детских укоризн в грядущем не страшусь. 
 Ты втайне поняла души смешную муку, 
 Усталых прихотей ты разгадала скуку; 
 Мы вместе -- и судьбе я молча предаюсь.


Без клятв и клеветы ребячески-невинной 
 Сказала жизнь за нас последний приговор. 
 Мы оба молоды, но с радостью старинной 
 Люблю на локон твой засматриваться длинный; 
 Люблю безмолвных уст и взоров разговор.


Как в дни безумные, как в пламенные годы, 
 Мне жизни мировой святыня дорога; 
 Люблю безмолвие полунощной природы, 
 Люблю ее лесов лепечущие своды, 
 Люблю ее степей алмазные снега.


И снова мне легко, когда, святому звуку 
 Внимая не один, я заживо делюсь; 
 Когда, за честный бой с тенями взяв поруку, 
 Тебе в молчании я простираю руку 
 И детских укоризн в грядущем не страшусь.


"
"11",1854,"«Не говори, мой друг: «Она меня забудет...»","Не говори, мой друг: «Она меня забудет, 
 Изменчив времени всемощного полет; 
 Измученной души напрасный жар пройдет, 
 И образ роковой преследовать не будет 
 Очей задумчивых; свободней и смелей 
 Вздохнет младая грудь; замедленных речей 
 Польется снова ток блистательный и сладкой; 
 Ланиты расцветут -- и в зеркало украдкой 
 Невольно станет взор с вопросом забегать, -- 
 Опять весна в груди -- и счастие опять». 
 Мой милый, не лелей прекрасного обмана: 
 В душе мечтательной смертельна эта рана. 
 Видал ли ты в лесах под тению дубов 
 С винтовками в руках засевших шалунов, 
 Когда с холмов крутых, окрестность оглашая, 
 Несется горячо согласных гончих стая 
 И, праздным юношам дриад жестоких дань, 
 Уже из-за кустов выскакивает лань? 
 Вот-вот и выстрелы -- и в переливах дыма 
 Еще быстрее лань, как будто невредима, 
 Проклятьям вопреки и хохоту стрелков, 
 Уносится во мглу безбрежную лесов, -- 
 Но ловчий опытный уж на позыв победный 
 К сомкнувшимся губам рожок подносит медный.


"
"12",1854,"«Не спится. Дай зажгу свечу. К чему читать?...»","Не спится. Дай зажгу свечу. К чему читать? 
 Ведь снова не пойму я ни одной страницы -- 
 И яркий белый свет начнет в глазах мелькать, 
 И ложных призраков заблещут вереницы.


За что ж? Что сделал я? Чем грешен пред тобой? 
 Ужели помысел мне должен быть укором, 
 Что так язвительно смеется призрак твой 
 И смотрит на меня таким тяжелым взором?


"
"13",1856,"«Под небом Франции, среди столицы света...»","Под небом Франции, среди столицы света, 
 Где так изменчива народная волна, 
 Не знаю отчего грустна душа поэта 
 И тайной скорбию мечта его полна.


Каким-то чуждым сном весь блеск несется мимо, 
 Под шум ей грезится иной, далекий край; 
 Так древле дикий скиф средь праздничного Рима 
 Со вздохом вспоминал свой северный Дунай.


О боже, перед кем везде страданья наши 
 Как звезды по небу полночному горят, 
 Не дай моим устам испить из горькой чаши 
 Изгнанья мрачного по капле жгучий яд!


"
"14",1856,"Смерти : «Когда, измучен жаждой счастья...»","Когда, измучен жаждой счастья 
 И громом бедствий оглушен, 
 Со взором, полным сладострастья, 
 В тебе последнего участья 
 Искать страдалец обречен, --


Не верь, суровый ангел Бога, 
 Тушить свой факел погоди. 
 О, как в страданьи веры много! 
 Постой! безумная тревога 
 Уснет в измученной груди.


Придет пора -- пора иная: 
 Повеет жизни благодать, 
 И будет тот, кто, изнывая, 
 В тебе встречал предтечу рая, 
 Перед тобою трепетать.


Но кто не молит и не просит, 
 Кому страданье не дано, 
 Кто жизни злобно не поносит, 
 А молча, сознавая, носит 
 Твое могучее зерно,


Кто дышит с равным напряженьем, -- 
 Того, безмолвна, посети, 
 Повея полным примиреньем, 
 Ему предстань за сновиденьем 
 И тихо вежды опусти.


"
"15",1857,"«Целый заставила день меня промечтать ты сегодня...»","Целый заставила день меня промечтать ты сегодня: 
 Только забудусь -- опять ты предо мною в саду. 
 Если очнусь, застаю у себя на устах я улыбку; 
 Вновь позабудусь -- и вновь листья в глазах да цветы, 
 И у суровой коры наклоненного старого клена, 
 Милая дева-дитя, в белом ты чинно сидишь. 
 Да, ты ребенок еще; но сколько любви благодатной 
 Светит в лазурных очах мальчику злому вослед! 
 Златоволосый, как ты, на твоих он играет коленях, 
 В вожжи твой пояс цветной силясь, шалун, обратить. 
 Крепко сжимая концы ленты одною ручонкой, 
 Веткой левкоя тебя хочет ударить другой. 
 Полно, шалун! Ты сронил диадему с румяной головки; 
 Толстою прядью скользя, вся развернулась коса. 
 Цвет изумительный: точно опала и бронзы слиянье 
 Иль назревающей ржи колос слегка-золотой. 
 О Афродита! Не твой ли здесь шутит кудрявый упрямец? 
 Долго недаром вокруг белый порхал мотылек; 
 Мне еще памятен образ Амура и нежной Психеи! 
 Душу мою ты в свой мир светлый опять унесла.


"
"16",1856,"Одинокий дуб : «Смотри, -- синея друг за другом...»","Смотри, -- синея друг за другом, 
 Каким широким полукругом 
 Уходят правнуки твои! 
 Зачем же тенью благотворной 
 Всё кружишь ты, старик упорный, 
 По рубежам родной земли?


Когда ж неведомым страданьям, 
 Когда жестоким испытаньям 
 Придет медлительный конец? 
 Иль вечно понапрасну годы 
 Рукой суровой непогоды 
 Упрямый щиплют твой венец?


И под изрытою корою 
 Ты полон силой молодою. 
 Так старый витязь, сверстник твой, 
 Не остывал душой с годами 
 Под иззубренною мечами, 
 Давно заржавленной броней.


Всё дальше, дальше с каждым годом 
 Вокруг тебя незримым ходом 
 Ползет простор твоих корней, 
 И, в их кривые промежутки 
 Гнездясь, с пригорка незабудки 
 Глядят смелее в даль степей.


Когда же, вод взломав оковы, 
 Весенний ветр несет в дубровы 
 Твои поблеклые листы, 
 С ним вести на простор широкий, 
 Что жив их пращур одинокий, 
 Ко внукам посылаешь ты.


"
"17",1858,"Италия : «Италия, ты сердцу солгала!..»","Италия, ты сердцу солгала! 
 Как долго я в душе тебя лелеял, -- 
 Но не такой мечта тебя нашла, 
 И не родным мне воздух твой повеял.


В твоих степях любимый образ мой 
 Не мог, опять воскреснувши, не вырость; 
 Сын севера, люблю я шум лесной 
 И зелени растительную сырость.


Твоих сынов паденье и позор 
 И нищету увидя, содрогаюсь; 
 Но иногда, суровый приговор 
 Забыв, опять с тобою примиряюсь.


В углах садов и старческих руин 
 Нередко жар я чувствую мгновенный 
 И слушаю -- и кажется, один 
 Я слышу гимн Сивиллы вдохновенной.


В подобный миг чужие небеса 
 Неведомой мне в душу веют силой, 
 И я люблю, увядшая краса, 
 Твой долгий взор, надменный и унылый,


И ящериц, мелькающих кругом, 
 И негу их на нестерпимом зное, 
 И страстного кумира под плющом 
 Раскидистым увечье вековое.


"
"18",1858,"На развалинах цезарских палат : «Над грудой мусора, где плющ тоскливо вьется...»","Над грудой мусора, где плющ тоскливо вьется, 
 Над сводами глухих и темных галерей 
 В груди моей сильней живое сердце бьется, 
 И в жилах кровь бежит быстрей.


Пускай вокруг меня, тяжелые громады, 
 Из праха восстают и храмы, и дворцы, 
 И драгоценные пестреют колоннады, 
 И воскресают мертвецы,


И шум на площади, и женщин вереница, 
 И вновь увенчанный святой алтарь горит, 
 И из-под новых врат златая колесница 
 К холму заветному спешит.


Нет! нет! не ослепишь души моей тревожной! 
 Пускай я не дерзну сказать: «Ты не велик», 
 Но, Рим, я радуюсь, что грустный и ничтожный 
 Ты здесь у ног моих приник!


Безжалостный квирит, тебя я ненавижу 
 За то, что на земле ты видел лишь себя, 
 И даже в зрелищах твоих кровавых вижу, 
 Что музы прокляли тебя.


Напрасно лепетал ты эллинские звуки: 
 Ты смысла тайного речей не разгадал 
 И на учителя безжалостные руки, 
 Палач всемирный, подымал.


Законность измерял ты силою великой -- 
 Что ж сиротливо так безмолвствуешь теперь? 
 Ты сам, бездушный Рим, пал жертвой силы дикой, 
 Как устаревший хищный зверь.


И вот растерзаны блестящие одежды, 
 В тумане утреннем развалина молчит, 
 И трупа буйного, жестокого невежды 
 Слезой камена не почтит.


"
"19",1859,"«Пойду навстречу к ним знакомою тропою...»","Пойду навстречу к ним знакомою тропою. 
 Какою нежною, янтарною зарею 
 Сияют небеса, нетленные, как рай. 
 Далеко выгнулся земли померкший край, 
 Прохлада вечера и дышит и не дышит 
 И колос зреющий едва-едва колышет. 
 Нет, дальше не пойду: под сению дубов 
 Всю ночь, всю эту ночь я просидеть готов, 
 Смотря в лицо зари иль вдоль дороги серой... 
 Какою молодой и безграничной верой 
 Опять душа полна! Ка́к в этой тишине 
 Всем, всем, что жизнь дала, довольная вполне, 
 Иного уж она не требует удела. 
 Собака верная у ног моих присела 
 И, ухо чуткое насторожив слегка, 
 Глядит на медленно ползущего жука. 
 Иль мне послышалось? -- В подобные мгновенья 
 Вдали колеблются и звуки, и виденья. 
 Нет, точно -- издали доходит до меня 
 Нетерпеливый шаг знакомого коня.


"
"20",1859,"Старые письма : «Давно забытые, под легким слоем пыли...»","Давно забытые, под легким слоем пыли, 
 Черты заветные, вы вновь передо мной 
 И в час душевных мук мгновенно воскресили 
 Всё, что давно-давно утрачено душой.


Горя огнем стыда, опять встречают взоры 
 Одну доверчивость, надежду и любовь, 
 И задушевных слов поблекшие узоры 
 От сердца моего к ланитам гонят кровь.


Я вами осужден, свидетели немые 
 Весны души моей и сумрачной зимы. 
 Вы те же светлые, святые, молодые, 
 Как в тот ужасный час, когда прощались мы.


А я доверился предательскому звуку -- 
 Как будто вне любви есть в мире что-нибудь! -- 
 Я дерзко оттолкнул писавшую вас руку, 
 Я осудил себя на вечную разлуку 
 И с холодом в груди пустился в дальний путь.


Зачем же с прежнею улыбкой умиленья 
 Шептать мне о любви, глядеть в мои глаза? 
 Души не воскресит и голос всепрощенья, 
 Не смоет этих строк и жгучая слеза.


"
"21",1857,"«О нет, не стану звать утраченную радость...»","О нет, не стану звать утраченную радость, 
 Напрасно горячить скудеющую кровь; 
 Не стану кликать вновь забывчивую младость 
 И спутницу ее безумную любовь.


Без ропота иду навстречу вечной власти, 
 Молитву затвердя горячую одну: 
 Пусть тот осенний ветр мои погасит страсти, 
 Что каждый день с чела роняет седину.


Пускай с души больной, борьбою утомленной, 
 Без грохота спадет тоскливой жизни цепь, 
 И пусть очнусь вдали, где к речке безыменной 
 От голубых холмов бежит немая степь,


Где с дикой яблонью убором спорит слива, 
 Где тучка чуть ползет, воздушна и светла, 
 Где дремлет над водой поникнувшая ива 
 И вечером, жужжа, к улью́ летит пчела.


Быть может -- вечно вдаль с надеждой смотрят очи! -- 
 Там ждет меня друзей лелеющий союз, 
 С сердцами чистыми, как месяц полуночи, 
 С душою чуткою, как песни вещих муз.


Там наконец я всё, чего душа алкала, 
 Ждала, надеялась, на склоне лет найду 
 И с лона тихого земного идеала 
 На лоно вечности с улыбкой перейду.


"
"22",1864,"«Не первый год у этих мест...»","Не первый год у этих мест 
 Я в час вечерний проезжаю, 
 И каждый раз гляжу окрест, 
 И над березами встречаю 
 Всё тот же золоченый крест.


Среди зеленой густоты 
 Карнизов обветшалых пятна, 
 Внизу могилы и кресты, 
 И мне -- мне кажется понятно, 
 Что́ шепчут куполу листы.


Еще колеблясь и дыша 
 Над дорогими мертвецами, 
 Стремлюсь куда-то, вдаль спеша, 
 Но встречу с тихими гробами 
 Смиренно празднует душа.


"
