"","genre","id","author","title","year","text_lemm"
"1","BL","B_1_1840_Alekseyev.txt","Алексеев П.Ф.","Могила",1840,"во сырой бор могила
с буйный ветер говорить:
«ветер, ты куда лететь,
чей ты прах, лететь, кружить?»

ветер черный крест качать
и могила отвечать:
«я до молодец лететь,
прах красавица крутить».

в небо ходить синь туча,
виться клуб прах летучий,
свистать ветер крест трещать
чу! в плита мертвец стучать.

дикий зверь вдруг завыть
безотрадный могила:
«ветер, ветер, не гудеть,
прах мертвый не будить!»

ходить месяц, бродить туча;
виться клуб прах летучий;
и тяжелый плита 
мертвец приподымать.

присмиреть ветер сила,
расступилася могила,
и выходить, наконец,
из могила тот мертвец.

он рука оледенелый,
подымать к небо саван белый;
и на впалый глаз
накатилася слеза.

ходить месяц, бродить туча;
виться клуб прах летучий;
стонать ветер, бор гудеть;
мертвый на небо глядеть.

вот срываться саван белый,
синий труп, оледенелый,
зашататься, застонать...
и, склонясь на крест, упасть...

прах истлевать, в вид пыль,
разлетаться; и завыть,
наклонясь к сырой земля,
есть шаткий во мгла.

и, как облако туман,
долести до океан,
прах рассыпаться волна
и быть пожирать глубина.
"
"2","BL","B_10_1840_Fet.txt","Фет А. А.","Удавленник",1840,"ужин снимать. слава бог,
что собираться как-нибудь;
ну, присаживаться на дорога
да и с бог в дальний путь.

вот уж месяц вполовину
показываться; - не поздавать;
только слушать: ты долина
за кладбище объехать!

речь давно об она вестись:
там удавленник зарывать.
только полночь - он просыпаться
и проезжий сторожить.

как огонь, у исполин
светить страшный глаз;
на макушка, как щетина,
поднялисить волос!

с шея, петля обвивать,
как котел он посинеть,
зуб кровие обливать,
и язык окостеневать.

сам я с он возиться
доводиться год пять назад;
и теперь - когда случаться,
вспомнить ночь - и не рад!

весь ли в путь собирать сын?
вот и с бог: поехать!
только слушать: ты долина
за кладбище объехать.
"
"3","BL","B_100_1847_Glebov.txt","Глебов Л. И.","Ямщик",1847,"конь мчалисить быстрый стрела,
только снег под сани скрипеть;
как нарочно ямщик мой лихой
все молчать и я песня не петь.
и все быть печально вокруг:
хоть направо, хоть влево глядеть —
все лишь степь, да лес — разве вдруг
зачернеть верста впереди.
и печально, сквозь туча пора,
месяц ясный светить надо я.

рассказывать я, ямщик, что—нибудь,
на последок он я сказать:
а то, право, так скучный наш путь,
что я только весь время дремать.
—""ну да что-ж ты, барин, сказать,
коли я ничто не видать?
я нигде не случаться бывать,
я ни с кто никуда не езжать!""
рассказывать: как ты жить , что узнавать
и потом в ямщик как попадать?

""в ямщик как попадать: эх , о то
много сказывать надо ты...
знать, чтоб быть я теперь ямщик,
захотеться недобрый судьба...
знать, в слободка я жить сирота, —
но я не быть кругом сирота:
там я славно с красотка один
проводить молодой лето.
но не знать ты , барин, то, —
я любить она пуще все!

но не долго, знать, счастие жить:
у богатый он гостевать...
на несчастие приходить мой черед —
я велено в рекрут взять...
и я вспомнить тогда со слеза,
что я горький бедняк-сирота,
что я с горе в сторонка чужой
проводить молодой лето...
и я думать себя погубить, —
но я в свет хотеться пожить.

и рыдать, как будто дитя,
молодой подружка мой,
когда она доносить не шутить,
что в чужбина сбираюся я.
вот, однажды, сидеть она,
пригорюниться в садочек свой,
во слеза, молчаливый, смутный,
без румянец в лицо молодой.
весь глядеть она в дальний путь,
и томилася белый грудь.

по садочек в тот раз проходить
постоялец-то они генерал.
увидать он весь то...добрый быть!
и, ласкать она, так сказать:
""отчего ты смутилася вдруг,
и в глаз твой слеза блестеть?
аль покидать ты милый друг?
аль забывать он человек велеть?
рассказывать ты я все, мой дочь,
может я тот мочь в что помогать?""

—""не помогать ты, батюшка, я,
генерал она говорить :
нет я счастие в родной сторона,
и сердеченький крепко болеть...
я любить дружка мой, —
но велеть он в служба итить...
разве можно я жить без он?
разве можно он позабывать?""
—""не горевать-же , не плакать — говорить
твой голубчик к ты прилетать!""

и я выпускать быть в тот же день.
чрез неделя к отец побежать,
вздевать шапка свой набекрень.
я сознаваться он, я сказать,
что любить он дочь, чтоб на она
непременно я он женить, —
но отец ее, старый злодей,
наотрез отказывать, разбранить...
и пойти я назад со стыд,
и проснулася злость в ретивый.

и я думать себя застреливать,
чтоб не мучить душа печаль , —
но я в свет хотеться пожить,
но я душа сгубить — становиться жаль...
и хотеть я потом позабывать
свое горе, отказ и ее,
и желать я другой любить, —
но не слушаться сердце мой.
и нигде не находить я такой
по душа себя глаз голубой.

не хотеть она, становиться-быть,
чтоб не я быть она муж, а другой, —
и пойти себя век доживать
в монастырь что вон там под москва...
и жалеть ее старик,
потерять любить дочь...
а я, видеть, пойти в ямщик —
и покой я нет день и ночь...
лишь тогда я петь, веселиться,
когда тройка лихой нестись!""
"
"4","BL","B_101_1847_N_T.txt","[Н. Т.]","Ямщик",1847,"туман на земля спускаться
в час полночь глухой,
то по долу расстилаться,
столб виться над река.

и в туман месяц дальный
светить тускло свысока
свой последний луч прощальный
он бросать сквозь облако.

колокольчик отдаленный
чуть звенеть там за гора,
стихать он вдруг утомленный,
снова брякнуть под дуга.

и уныло раздаваться
песнь лихой ямщик;
тройка ухарский мчаться
весь в пыль из далекий. 

так он петь все про былой,
петь про око юный дева, -
этот песнь для все родной,
весь знак этот напев:

""где ты молодость деваться,
""жизнь разгульный мой,
""что ты, бросать, вдруг умчаться
""так нежданно от я?

""где бывалый веселие,
""где пир лихой друг,
""и попойка и похмелье,
""хоровод деревня?

""как теперь я помнить око,
""милый взгляд тот огневой,
""как звезда гореть ночь
""и пленять весь себя.

""судьба злой разлучать
""мы железный рука,
""радость светлый сменить
""грусть, тяжкий слеза.""""

и замолкать ямщик пора,
знать счернеть на душа,
колокольчик под дуга
звенеть томно в тишина.
"
"5","BL","B_102_1847_N_T.txt","[Н. Т.]","Беда",1847,"конь борзый скакать
весь в пена, в пыль,
и всадник мчать
стрела из давать.
броня стальной
с солнце играть,
сбруя златой
громко бряцать.

веселый и стройный
витязь млада,
мчаться покойный
он сердце, душа.

вдруг что-то в давать
блеснуть светло -
знать солнце луч
бросаться в стекло.
терем открываться
с зубчатый стена,
путник дивиться
могучий краса.

в терем скоро
любовь кипеть,
витязь быстро
погнать он конь.

мчаться стрела
но ров и бугор
пылкий душа
он к черный око:
ждать там свидание
он с милый краса,
лепет признание
ждать слышать душа.

тяжкий ломать
ворот он запор,
витязь въезжать
на княжеский двор.
спать затвор
с тяжелый дверь,
звякнуть шпора
и витязь скоро
он смелый стопа
вбегать на крыльцо,
могучий рука
звенеть уж в кольцо.

нету ответ,
еще раз звенеть;
дружба, привет
никто не дарить.

но долго он ждать:
не выходить ли кто,
и сам он не знать
подумать на что.
в терем он входить —
весь пусто кругом,
терем проходить —
все дико так в немой.

будто волна
все затапливать,
грозный судьба
все схоронить.

грустный, унылый
витязь вкруг ходить —
сердце что милый
он не находить:
счастие былой
и дева млада,
рая земной,
тот взгляд огневой.

сердце так больно,
душа тяжело,
горе невольно
впиваться так в он.

вдруг видеть — идти
старец с клюка,
к себя он звать
дряхлый рука,
и витязь к он
поспешно бежать,
знать хотеть беда,
но старец молчать.

грустный, вздыхать
он тяжко с слеза
и начинать
рассказ роковой

""я знать ты,
""видать прежде здесь —
""лихой конь
""давать ты я весть,
""дряхлый рука
""ласкать я он,
""витязь ты
""дивиться я все.

""молодой и стройный,
себя ты красивый.
сердце покойный
и быть ты счастливый.

""теперь ты зачем
""примчаться сюда?
""иль присылать ты кто?
""ты видеть беда:
""жизнь, веселие
""и шумный пир,
друг и похмелье
не видно след.

""знать, наш княжна —
""цветок молодой,
""вдруг сгибнуть она
""ночной пора.

""шум и тревога
""там все на конь;
""где ж тот дорога,
""куда с она злодей
""с двор больший
""в тот ночь ускакивать,
""князь седой
""надежда умчать?

""я одинокий
""сидеть здесь с клюка,
""я рок жестокий
""сзнакомлять с беда. >>

витязь, вздыхать,
все слушать рассказ,
горько рыдать
он проклинать тот час;
и бешеный вскакивать,
сорвать удила,
он небо молить
и гнать уж конь.

быстро помчаться,
куда, сам не знать;
конь спотыкаться
и мертвый вдруг пал.

судьба жестокий
он снова сражать,
и одинокий
весь средство уж лишенный
вырывать младой
княжна из коготь,
радость былой
и счастие давать она.
"
"6","BL","B_103_1848_Durov.txt","Дуров Н.","Баллада",1848,"уж полночь пробивать на башня высокий,
луна чуть меркий по небо плыть;
выть ветер уныло и в речка глубокий
вздыматься гора, шуметь волна.
и вот по волна одиноко
нестись ладья. все тихо на она!
сквозь сумрак белеться парус далеко,
но веселый не видно, не видно человек!
ладья подплывать ко брег крутой
недвижно, волшебно, становиться в близь.
луна проясниваться по темный свод,
вдруг освещать кладбище в давать.
все мрачно—спокойно, на этот кладбище!
но вот шевелиться гроб!
и с шум покидать смиренно жилище
выходить с гроб мертвец!
их саван ветер шуметь развевать,
и гул унылый окрестность полный;
их страшный лицо луна освещать,
их говор как песня: тихий и грустный!
на холм высокий виднеться могила
и насыпь лежать свежий,
толпа мертвец во круг она ходить
и злобно взвывать, зуб скрежа:
мы нет здесь покой!
мы душно, мы жгет как огонь!
могила пылать от зной,
самоубийца в она погребать!
его из объятие земля отвергать
и страшно он стонать в гроб!
он мирный наш сон прерывать
зарывать он надо в лес!...
и вот мертвец покров скидать
с стремление к могила бежать;
сверкать око ее подрывать
и земля рука грести.
разрыть могила, они вынимать
уже посинелый труп мертвец
класть на покров свой и с он убегать.
на берег, где ждать их ладья.
в она они входить; ладья отплывать
и мчаться но волна стрела!
волна бушевать она колыхать....
и час наставать роковой!
уж близкий быть путь к назначение;
но мертвец в какой-то смятение
смотреть вокруг!..и вдруг по селение
петух прокричать! и в мгновение
ладья мертвец, потопать...
с тот пора и поныне вестись предание,
что будто в полуночный час по вода
плыть мертвец, они слышный стенание
и волна в тот время бушевать в река.
"
"7","BL","B_104_1848_Golishev.txt","Голишев Н.","Георг и Людмила",1848,"броня рыцарский покрывать,
георг с людмила стоять;
разлука с милый убитый,
печально дева он сказать:
""прощать! прекрасный подруга!
прощать на долго, мочь быть:
судьба, тосковать друг,
звать на брань — враг разить
давно наш храбрый строй помчаться
на поле битва роковой;
и я на миг один оставаться —
прощаться, милый, с ты.

""прощать, мой друг! но замирать
душа печальный во я.
ах! неужели предвещать
она несчастие на война?
как будто гневный судьба
я тайный голос вдруг изрекать,
что, милый мой, с ты
я разлучаюся на век!
о, если правда, в час унылый,
в разлука грустный, при луна, 
ах! вспомянуть я, друг милый!
не плакать, а помолиться о я!""

в слеза он с милый прощаться;
ржать добрый конь он гнедой;
и рыцарь грустный в след пускаться
скакать дорога большой.
и пыль, взвиваться под нога,
во след за всадник лететь;
людмила слезный око
георг милый следить.
мысль грустный томить девица:
ах! возвращаться-ль друг домой?
и в одинокий светлица
пойти красавица с тоска.

вот время месяц протекать:
невидимый, быстрый его полет;
людмила друг ожидать, —
он она и весточка не слать...
однажды девица сидеть,
в раздумье грустный, у окно:
в дорога дальний глядеть
и тихо плакать она;
в разлука долго-ль она томиться
без друг милый один?
вдруг, видеть: всадник быстро мчаться
к село дорога большой.

вот близко, близко и въезжать
к она всадник на широкий двор.
что дева от он узнавать? —
но мрачный незнакомец взор.
он встречать идти людмила,
невольный страх смущать:
не весть ли она? и отворять
нетерпеливо дверь она.
и входить воин изнуренный,
с тяжело-раненый рука,
булатный меч - друг неизменный -
заржаветь кровие чужой. 

""о, ты-ль георговый подруга?
входить, людмила он сказать.
не ждать к себя младой друг:
не ждать он,-он в брань пал!
с он рядом я с враг рубиться,
вдруг сабельный удар по немой:
заливаться кровь, он сваливаться
и стоптать вражий быть конь.
потом, когда враг прогнать,
находить я друг твой:
товарищ не узнавать
в кровь отекать он!

""в страдание тяжкий и с тоска
я к себя, он подзывать;
неясный, жалобный мольба,
ты давать весть он заклинать.
в слеза, сквозь стон и рыдание,
несчастный говорить так я:
""принимать заветный лобзание,
товарищ мой! в родной страна
я дева милый иметь, —
ты знать...о, не отказывать!
когда увидеться ты с она, -
утешать она... о я сказать.

—""ах, бедный мой людмила!
что быть, милый, с ты?
сказать она: сабля полагать
я на вечный здесь покой...
и этот памятник унылый —
залог любовь ее — кольцо,
отдавать назад ты дева милая:
я не носить он""... — лицо
обезображивать страдание;
кольцо он, молча, целовать;
взглядывать ко я — как в знак прощание.
и уже на век замолчать...

""взять кольцо...я завещание
исполнять друг твой:
принимать заветный лобзание! —
увы! я сам любить он!...
он друг быть я...судьба судить,
чтобы он в страна чужой
быть, безвременный, могила —
во цвет жизнь молодой.
прощать!..и на конь садиться
печальный раненый герой;
вот съезжать со двор и мчаться
опять дорога большой....

людмила весть роковой
быть внезапно сражать:
без слезать, с поникать глава,
рыдать, бедный, она,
где слово находить для выражение
душа убивать тоска?
и слабый-б быть весь сравнение,
с печаль девица млада.
она не долго здесь страдать:
прерывать горестный день,
судьба она скоро смерть посылать.
соединяться там они...
"
"8","BL","B_105_1848_Golishev.txt","Голишев Н.","Тревога ревности",1848,"иван! седлать скоро конь!
готовый! — мой конь, нести я!

я знать, что со я, мой конь,
готовый ты в вода и в огонь;

нести ж, носить скоро я:
ты видеть, что встревожить я!

о, если б все ты понимать, —
тогда б, я весь ты сказать;

но ты характер знать мой,
я рассказывать ты, постоять:

печаль мой, в мой судьба —
открывать отрадно, хоть ты.

нести ж, мой конь, скоро я
туда, где милый мой.

ах! полюбить ее другой! —
нести ж я скоро, конь мой ...

ну! быть жить — иль он, иль я
а сабля острый мой....

возможно ли? ужель она
решаться быть я неверный?

а сабля острый мой —
и она рубить уметь я. ..

но, боже! прежде умирать
позволять я, чем измена зреть!

как нежно я она любить! —
я она лишь дышать и жить.

по воля же святой твой,
любить она, дышать лишь она!

молить: о, не разрознивать ж мы.
вот слеза крупный из глаз....

убивать! иль мертвый быть я! —
иль я его, иль он я....

когда убивать, прощать конь мой!
расставаться горько я с ты!...

тогда, в степь вольная лететь,
тогда, мой добрый конь, прощать!

о всадник свой забывать,
и в степь вольный вольный быть;

но пусть другой седок
ты не гладить век рука.

нести ж, мой конь, скоро я:
ты видеть, что встревожить я! ..
"
"9","BL","B_106_1841_Shahova.txt","Шахова Е. М.","Два сна",1841,"""мой друг! я видеть страшный сон,
""у водопад, над река,
""с ребенок стоять мы с ты;
""на берег, со весь сторона
""распростираться чаща лес,
""темнеть зелень дуб,
""как бы с нависать облако
""на земля спадший завеса!
""широко прядать водопад
""с скала прибрежный в глубь речной,
""и пыль сребристый-водяной
""на мы отбрасывать назад.
""с его свирепо-дикий рев
""сливаться отклик громовой,
""как бы грозить, внезапный гнев,
""из туча стрела роковой!
""ты вдруг как лист затрепетать,
""и побледнеть, и припадать
""без сила, без чувство ко я на грудь;
""и долго я не сметь вздыхать,
""пошевелиться, с ноша милый
""в ослабевать рука,
""вдруг - с неописанный сила— 
""вновь гром отгрянуть на скала...
""я вздрагивать, клич дочь и сын —
""лишь эхо вторяться я в лес!
""скоро к они! я они спасать!
""но-как? жена грозить кончина!
""ты ль в глушь лесной предавать
""на воля мстительный гром?
""ты ль безжалостно покидать, 
""на жертва ужас, один? 
""нет! в помощь дочь и сын —
""я и перст не протягивать! 
""просыпаться, жить, душа отрада! 
""я приподымать ты с земля, 
""и перенести от водопад
""в прибрежный лес... и вот в давать
""я слышать вопль два младенец,
""от мы — в эдем переселенец! 
""в изнывать сердце стыть кровь —
""но страх перемогать любовь!
""твой хладеть рука
""дыхание уста я согревать, 
""и бледный лик, с безумство мука,
""в чело и око целовать...
""в черта прелестный жизнь мелькнуть,
""открываться око — они лазурь
""в глаз, несчастный, блеснуть
""как солнце блеск на лоно буря!
""и на щека свежий роза
""румянец снова заалеть,
""я, очарованный, смотреть —
""и проливать радостный слеза!
""для голубой твой око,
""для алый уста, кудри волнистый,
""забывать я смерть мой ребенок —
""два небо жертва, как небо чистый!
""ужасный сон! и въяве мы
""оборонять от страх, боже!
""я жизнь ребенок — мой дорогой,
""но все ты я б прежде спасать!""
так раз красавица-супруга
супруг-красавец говорить,
и страшный сон его подруга
слеза око орошать.
""—бывать сон,""она сказать,
""полный чудо как сказка фея,
""я помнить сон, страшно не знать,
""в немой сходство быть с мечта твой!
""с ребенок по озеро мы плыть,
""вокруг челн вал ходить,
""и с свист ветер в парус дуть
""и утлый челн почти тонуть;
""ты бледный быть — а я дрожать,
""сам у ноющий грудь
""малютка бедный согревать; —
""и впереди и позади,
""со весь сторона нависать туча,
""среди внезапный полумгла,
""огромный, пена кипучий,
""грозить гибель вал:
""вдруг близко остров — будто диво —
""воспрянуть вмиг из ярый волна,
""и ветер счастливый порыв
""направлять к берег наш челн...
""—ты выйдь с ребенок — а я за вы,—
""ты я сказать, — я спасать
""с два мой сирота —
""но вдруг к ты, во глубь челн,
""вкатиться волна за волна,
""заклокотать девятый вал —
""и челн погибать —...ты утопать...
""я с вопль: вместе весь кончина,
""на зло разлучница-судьба!
""к грудь прижимать дочь и сын —
""и в бездна бросаться к ты!
"
"10","BL","B_107_1850_Fet.txt","Фет А. А.","Змей",1850,"чуть вечерний роса
осыпаться трава,
чесать коса, мыть шея
чернобровый вдова,
и не сводить у окошко
с небо темный око,
и лететь, свиваться в кольцо,
в яркий искра длинный змей.
и шуметь все близко, близко,
и над вдовьин двор,
над соломенный крыша
рассыпаться огонь.
и окно тотчас затворять
чернобровый вдова;
только слышаться в светлица
поцалуй да слово.
"
