Source,Target,Weight,Type
Бакунин И.М._1,Бакунин И.М._2,2406,undirected
Бакунин И.М._1,Бернет Е._1,4,undirected
Бакунин И.М._1,Быстроглазов А._1,3,undirected
Бакунин И.М._1,Быстроглазов А._2,84,undirected
Бакунин И.М._1,Жуковский В.А._1,450,undirected
Бакунин И.М._1,Кульман Е.Б._1,709,undirected
Бакунин И.М._1,Кульман Е.Б._2,139,undirected
Бакунин И.М._1,Мейснер А._1,7,undirected
Бакунин И.М._1,Сушков Д.П._2,1,undirected
Бакунин И.М._1,Тепляков В.Г._2,107,undirected
Бакунин И.М._1,Тимофеев А.В._1,110,undirected
Бакунин И.М._2,Бакунин И.М._1,2406,undirected
Бакунин И.М._2,Крылов И.А._2,17,undirected
Бакунин И.М._2,Кульман Е.Б._1,85,undirected
Бакунин И.М._2,Сушков Д.П._1,1169,undirected
Бакунин И.М._2,Сушков Д.П._2,1139,undirected
Бакунин И.М._2,Тимофеев А.В._1,23,undirected
Баратынский Е.А._1,Баратынский Е.А._2,2406,undirected
Баратынский Е.А._1,Башкатов А._2,79,undirected
Баратынский Е.А._1,Бенедиктов В.Г._1,51,undirected
Баратынский Е.А._1,Бенедиктов В.Г._2,35,undirected
Баратынский Е.А._1,Быстроглазов А._2,29,undirected
Баратынский Е.А._1,Козлов И.И._1,334,undirected
Баратынский Е.А._1,Козлов И.И._2,1,undirected
Баратынский Е.А._1,Мейснер А._1,31,undirected
Баратынский Е.А._1,Мейснер А._2,44,undirected
Баратынский Е.А._1,Некрасов Н.А._1,23,undirected
Баратынский Е.А._1,Полежаев А.И._1,15,undirected
Баратынский Е.А._1,Ростопчина Е.П._1,5,undirected
Баратынский Е.А._1,Сушков Д.П._1,73,undirected
Баратынский Е.А._1,Сушков Д.П._2,63,undirected
Баратынский Е.А._1,Тепляков В.Г._1,560,undirected
Баратынский Е.А._1,Тимофеев А.В._1,1,undirected
Баратынский Е.А._1,Шахова Е.Н._1,2,undirected
Баратынский Е.А._1,Шахова Е.Н._2,19,undirected
Баратынский Е.А._2,Баратынский Е.А._1,2406,undirected
Баратынский Е.А._2,Бенедиктов В.Г._1,447,undirected
Баратынский Е.А._2,Бенедиктов В.Г._2,320,undirected
Баратынский Е.А._2,Бернет Е._2,140,undirected
Баратынский Е.А._2,Демидов М.А._1,1,undirected
Баратынский Е.А._2,Полежаев А.И._1,4,undirected
Баратынский Е.А._2,Ростопчина Е.П._1,89,undirected
Баратынский Е.А._2,Ростопчина Е.П._2,13,undirected
Баратынский Е.А._2,Сушков Д.П._2,34,undirected
Баратынский Е.А._2,Шахова Е.Н._1,524,undirected
Баратынский Е.А._2,Шахова Е.Н._2,79,undirected
Башкатов А._1,Башкатов А._2,2406,undirected
Башкатов А._1,Бернет Е._2,368,undirected
Башкатов А._1,Крылов И.А._1,676,undirected
Башкатов А._1,Крылов И.А._2,255,undirected
Башкатов А._1,Мартынов А.М._2,6,undirected
Башкатов А._1,Мейснер А._2,636,undirected
Башкатов А._1,Некрасов Н.А._2,17,undirected
Башкатов А._1,Тимофеев А.В._1,823,undirected
Башкатов А._1,Тимофеев А.В._2,153,undirected
Башкатов А._2,Баратынский Е.А._1,79,undirected
Башкатов А._2,Башкатов А._1,2406,undirected
Башкатов А._2,Бернет Е._2,20,undirected
Башкатов А._2,Быстроглазов А._2,4,undirected
Башкатов А._2,Зилов А.М._1,25,undirected
Башкатов А._2,Зилов А.М._2,15,undirected
Башкатов А._2,Крылов И.А._1,758,undirected
Башкатов А._2,Крылов И.А._2,332,undirected
Башкатов А._2,Мартынов А.М._2,9,undirected
Башкатов А._2,Некрасов Н.А._1,12,undirected
Башкатов А._2,Смирнова А._1,1,undirected
Башкатов А._2,Смирнова А._2,3,undirected
Башкатов А._2,Тимофеев А.В._1,4,undirected
Башкатов А._2,Тимофеев А.В._2,684,undirected
Бенедиктов В.Г._1,Баратынский Е.А._1,51,undirected
Бенедиктов В.Г._1,Баратынский Е.А._2,447,undirected
Бенедиктов В.Г._1,Бенедиктов В.Г._2,2401,undirected
Бенедиктов В.Г._1,Демидов М.А._1,140,undirected
Бенедиктов В.Г._1,Зилов А.М._1,895,undirected
Бенедиктов В.Г._1,Козлов И.И._1,292,undirected
Бенедиктов В.Г._1,Козлов И.И._2,503,undirected
Бенедиктов В.Г._1,Меркли М.М._1,140,undirected
Бенедиктов В.Г._1,Меркли М.М._2,498,undirected
Бенедиктов В.Г._1,Сушков Д.П._1,13,undirected
Бенедиктов В.Г._1,Сушков Д.П._2,18,undirected
Бенедиктов В.Г._2,Баратынский Е.А._1,35,undirected
Бенедиктов В.Г._2,Баратынский Е.А._2,320,undirected
Бенедиктов В.Г._2,Бенедиктов В.Г._1,2401,undirected
Бенедиктов В.Г._2,Демидов М.А._1,981,undirected
Бенедиктов В.Г._2,Демидов М.А._2,189,undirected
Бенедиктов В.Г._2,Зилов А.М._1,21,undirected
Бенедиктов В.Г._2,Зилов А.М._2,4,undirected
Бенедиктов В.Г._2,Козлов И.И._1,83,undirected
Бенедиктов В.Г._2,Мейснер А._2,14,undirected
Бенедиктов В.Г._2,Меркли М.М._1,894,undirected
