Source,Target,Weight,Type
Бакунин И.М._1,Бакунин И.М._2,6,undirected
Бакунин И.М._1,Быстроглазов А._1,1,undirected
Бакунин И.М._1,Мейснер А._2,5,undirected
Бакунин И.М._1,Полежаев А.И._2,2,undirected
Бакунин И.М._1,Сушков Д.П._2,1,undirected
Бакунин И.М._2,Бакунин И.М._1,6,undirected
Бакунин И.М._2,Мейснер А._1,1,undirected
Бакунин И.М._2,Мейснер А._2,4,undirected
Бакунин И.М._2,Сушков Д.П._2,1,undirected
Баратынский Е.А._1,Баратынский Е.А._2,6,undirected
Баратынский Е.А._1,Ростопчина Е.П._1,2,undirected
Баратынский Е.А._1,Сушков Д.П._2,1,undirected
Баратынский Е.А._2,Баратынский Е.А._1,6,undirected
Баратынский Е.А._2,Ростопчина Е.П._1,3,undirected
Баратынский Е.А._2,Сушков Д.П._2,4,undirected
Башкатов А._1,Башкатов А._2,6,undirected
Башкатов А._1,Жуковский В.А._2,1,undirected
Башкатов А._1,Крылов И.А._1,2,undirected
Башкатов А._1,Мартынов А.М._1,1,undirected
Башкатов А._1,Некрасов Н.А._1,1,undirected
Башкатов А._2,Башкатов А._1,6,undirected
Башкатов А._2,Мартынов А.М._1,1,undirected
Башкатов А._2,Суханов М.Д._1,2,undirected
Бенедиктов В.Г._1,Бенедиктов В.Г._2,5,undirected
Бенедиктов В.Г._1,Бернет Е._2,2,undirected
Бенедиктов В.Г._1,Меркли М.М._1,3,undirected
Бенедиктов В.Г._1,Меркли М.М._2,1,undirected
Бенедиктов В.Г._2,Бенедиктов В.Г._1,5,undirected
Бенедиктов В.Г._2,Демидов М.А._1,3,undirected
Бенедиктов В.Г._2,Демидов М.А._2,5,undirected
Бернет Е._1,Бернет Е._2,6,undirected
Бернет Е._1,Демидов М.А._2,1,undirected
Бернет Е._1,Зилов А.М._1,2,undirected
Бернет Е._2,Бенедиктов В.Г._1,2,undirected
Бернет Е._2,Бернет Е._1,6,undirected
Бернет Е._2,Зилов А.М._1,2,undirected
Бороздна И.П._1,Бороздна И.П._2,6,undirected
Бороздна И.П._1,Кульман Е.Б._1,4,undirected
Бороздна И.П._1,Кульман Е.Б._2,3,undirected
Бороздна И.П._2,Бороздна И.П._1,6,undirected
Бороздна И.П._2,Кульман Е.Б._1,2,undirected
Бороздна И.П._2,Мартынов А.М._1,1,undirected
Быстроглазов А._1,Бакунин И.М._1,1,undirected
Быстроглазов А._1,Быстроглазов А._2,6,undirected
Быстроглазов А._1,Кульман Е.Б._1,1,undirected
Быстроглазов А._1,Кульман Е.Б._2,2,undirected
Быстроглазов А._2,Быстроглазов А._1,6,undirected
Быстроглазов А._2,Крылов И.А._1,2,undirected
Быстроглазов А._2,Крылов И.А._2,1,undirected
Демидов М.А._1,Бенедиктов В.Г._2,3,undirected
Демидов М.А._1,Демидов М.А._2,6,undirected
Демидов М.А._1,Козлов И.И._2,1,undirected
Демидов М.А._1,Некрасов Н.А._2,3,undirected
Демидов М.А._1,Сушков Д.П._1,1,undirected
Демидов М.А._2,Бенедиктов В.Г._2,5,undirected
Демидов М.А._2,Бернет Е._1,1,undirected
Демидов М.А._2,Демидов М.А._1,6,undirected
Демидов М.А._2,Зилов А.М._2,1,undirected
Демидов М.А._2,Меркли М.М._2,3,undirected
Демидов М.А._2,Некрасов Н.А._2,1,undirected
Жуковский В.А._1,Жуковский В.А._2,6,undirected
Жуковский В.А._1,Полежаев А.И._1,2,undirected
Жуковский В.А._1,Смирнова А._1,3,undirected
Жуковский В.А._1,Тимофеев А.В._1,1,undirected
Жуковский В.А._2,Башкатов А._1,1,undirected
Жуковский В.А._2,Жуковский В.А._1,6,undirected
Жуковский В.А._2,Тепляков В.Г._2,2,undirected
Зилов А.М._1,Бернет Е._1,2,undirected
Зилов А.М._1,Бернет Е._2,2,undirected
Зилов А.М._1,Зилов А.М._2,6,undirected
Зилов А.М._1,Шахова Е.Н._2,3,undirected
Зилов А.М._2,Демидов М.А._2,1,undirected
Зилов А.М._2,Зилов А.М._1,6,undirected
Зилов А.М._2,Меркли М.М._2,2,undirected
Зилов А.М._2,Тимофеев А.В._2,1,undirected
Козлов И.И._1,Козлов И.И._2,6,undirected
Козлов И.И._1,Меркли М.М._2,1,undirected
Козлов И.И._1,Сушков Д.П._1,2,undirected
Козлов И.И._2,Демидов М.А._1,1,undirected
Козлов И.И._2,Козлов И.И._1,6,undirected
Козлов И.И._2,Меркли М.М._1,2,undirected
Крылов И.А._1,Башкатов А._1,2,undirected
Крылов И.А._1,Быстроглазов А._2,2,undirected
Крылов И.А._1,Крылов И.А._2,6,undirected
Крылов И.А._1,Мартынов А.М._1,2,undirected
Крылов И.А._1,Мартынов А.М._2,1,undirected
Крылов И.А._1,Суханов М.Д._1,3,undirected
Крылов И.А._1,Суханов М.Д._2,2,undirected
Крылов И.А._2,Быстроглазов А._2,1,undirected
Крылов И.А._2,Крылов И.А._1,6,undirected
Крылов И.А._2,Мартынов А.М._1,3,undirected
Крылов И.А._2,Некрасов Н.А._1,2,undirected
Крылов И.А._2,Суханов М.Д._1,4,undirected
Крылов И.А._2,Суханов М.Д._2,1,undirected
Кульман Е.Б._1,Бороздна И.П._1,4,undirected
Кульман Е.Б._1,Бороздна И.П._2,2,undirected
Кульман Е.Б._1,Быстроглазов А._1,1,undirected
Кульман Е.Б._1,Кульман Е.Б._2,6,undirected
Кульман Е.Б._1,Мартынов А.М._2,3,undirected
Кульман Е.Б._1,Мейснер А._2,1,undirected
Кульман Е.Б._1,Полежаев А.И._2,1,undirected
Кульман Е.Б._1,Смирнова А._1,2,undirected
Кульман Е.Б._1,Смирнова А._2,2,undirected
Кульман Е.Б._2,Бороздна И.П._1,3,undirected
Кульман Е.Б._2,Быстроглазов А._1,2,undirected
Кульман Е.Б._2,Кульман Е.Б._1,6,undirected
Кульман Е.Б._2,Мартынов А.М._2,1,undirected
Мартынов А.М._1,Башкатов А._1,1,undirected
Мартынов А.М._1,Башкатов А._2,1,undirected
Мартынов А.М._1,Бороздна И.П._2,1,undirected
Мартынов А.М._1,Крылов И.А._1,2,undirected
Мартынов А.М._1,Крылов И.А._2,3,undirected
Мартынов А.М._1,Мартынов А.М._2,6,undirected
Мартынов А.М._2,Крылов И.А._1,1,undirected
Мартынов А.М._2,Кульман Е.Б._1,3,undirected
Мартынов А.М._2,Кульман Е.Б._2,1,undirected
Мартынов А.М._2,Мартынов А.М._1,6,undirected
Мейснер А._1,Бакунин И.М._2,1,undirected
Мейснер А._1,Мейснер А._2,2,undirected
Мейснер А._1,Шахова Е.Н._2,5,undirected
Мейснер А._2,Бакунин И.М._1,5,undirected
Мейснер А._2,Бакунин И.М._2,4,undirected
Мейснер А._2,Кульман Е.Б._1,1,undirected
Мейснер А._2,Мейснер А._1,2,undirected
Мейснер А._2,Тимофеев А.В._2,2,undirected
Меркли М.М._1,Бенедиктов В.Г._1,3,undirected
Меркли М.М._1,Козлов И.И._2,2,undirected
Меркли М.М._1,Меркли М.М._2,6,undirected
Меркли М.М._1,Тепляков В.Г._1,1,undirected
Меркли М.М._1,Тепляков В.Г._2,4,undirected
Меркли М.М._2,Бенедиктов В.Г._1,1,undirected
Меркли М.М._2,Демидов М.А._2,3,undirected
Меркли М.М._2,Зилов А.М._2,2,undirected
Меркли М.М._2,Козлов И.И._1,1,undirected
Меркли М.М._2,Меркли М.М._1,6,undirected
Меркли М.М._2,Тепляков В.Г._1,3,undirected
Меркли М.М._2,Тепляков В.Г._2,1,undirected
Некрасов Н.А._1,Башкатов А._1,1,undirected
Некрасов Н.А._1,Крылов И.А._2,2,undirected
Некрасов Н.А._1,Некрасов Н.А._2,6,undirected
Некрасов Н.А._2,Демидов М.А._1,3,undirected
Некрасов Н.А._2,Демидов М.А._2,1,undirected
Некрасов Н.А._2,Некрасов Н.А._1,6,undirected
Полежаев А.И._1,Жуковский В.А._1,2,undirected
Полежаев А.И._1,Полежаев А.И._2,6,undirected
Полежаев А.И._1,Тепляков В.Г._2,2,undirected
Полежаев А.И._2,Бакунин И.М._1,2,undirected
Полежаев А.И._2,Кульман Е.Б._1,1,undirected
