Source,Target,Weight,Type
Бакунин И.М._1,Бакунин И.М._2,1206,undirected
Бакунин И.М._1,Бернет Е._1,1,undirected
Бакунин И.М._1,Бороздна И.П._1,12,undirected
Бакунин И.М._1,Бороздна И.П._2,49,undirected
Бакунин И.М._1,Жуковский В.А._2,2,undirected
Бакунин И.М._1,Кульман Е.Б._1,188,undirected
Бакунин И.М._1,Кульман Е.Б._2,168,undirected
Бакунин И.М._1,Мейснер А._2,57,undirected
Бакунин И.М._1,Полежаев А.И._1,4,undirected
Бакунин И.М._1,Сушков Д.П._2,4,undirected
Бакунин И.М._1,Тепляков В.Г._2,49,undirected
Бакунин И.М._1,Тимофеев А.В._1,52,undirected
Бакунин И.М._1,Тимофеев А.В._2,241,undirected
Бакунин И.М._2,Бакунин И.М._1,1206,undirected
Бакунин И.М._2,Бернет Е._1,31,undirected
Бакунин И.М._2,Бернет Е._2,64,undirected
Бакунин И.М._2,Жуковский В.А._2,150,undirected
Бакунин И.М._2,Кульман Е.Б._1,217,undirected
Бакунин И.М._2,Кульман Е.Б._2,197,undirected
Бакунин И.М._2,Смирнова А._1,15,undirected
Бакунин И.М._2,Сушков Д.П._2,30,undirected
Бакунин И.М._2,Тепляков В.Г._2,70,undirected
Баратынский Е.А._1,Баратынский Е.А._2,1206,undirected
Баратынский Е.А._1,Демидов М.А._1,29,undirected
Баратынский Е.А._1,Мейснер А._1,1,undirected
Баратынский Е.А._1,Ростопчина Е.П._2,321,undirected
Баратынский Е.А._1,Смирнова А._1,58,undirected
Баратынский Е.А._1,Тепляков В.Г._2,58,undirected
Баратынский Е.А._1,Шахова Е.Н._1,193,undirected
Баратынский Е.А._1,Шахова Е.Н._2,456,undirected
Баратынский Е.А._2,Баратынский Е.А._1,1206,undirected
Баратынский Е.А._2,Башкатов А._1,50,undirected
Баратынский Е.А._2,Башкатов А._2,59,undirected
Баратынский Е.А._2,Зилов А.М._1,2,undirected
Баратынский Е.А._2,Ростопчина Е.П._2,25,undirected
Баратынский Е.А._2,Сушков Д.П._1,19,undirected
Баратынский Е.А._2,Тепляков В.Г._2,4,undirected
Баратынский Е.А._2,Шахова Е.Н._1,213,undirected
Баратынский Е.А._2,Шахова Е.Н._2,530,undirected
Башкатов А._1,Баратынский Е.А._2,50,undirected
Башкатов А._1,Башкатов А._2,1206,undirected
Башкатов А._1,Быстроглазов А._1,7,undirected
Башкатов А._1,Крылов И.А._1,391,undirected
Башкатов А._1,Крылов И.А._2,52,undirected
Башкатов А._1,Мартынов А.М._1,49,undirected
Башкатов А._1,Мартынов А.М._2,7,undirected
Башкатов А._1,Некрасов Н.А._1,1,undirected
Башкатов А._1,Суханов М.Д._1,88,undirected
Башкатов А._2,Баратынский Е.А._2,59,undirected
Башкатов А._2,Башкатов А._1,1206,undirected
Башкатов А._2,Бенедиктов В.Г._2,2,undirected
Башкатов А._2,Бернет Е._1,9,undirected
Башкатов А._2,Быстроглазов А._1,2,undirected
Башкатов А._2,Зилов А.М._2,5,undirected
Башкатов А._2,Крылов И.А._1,370,undirected
Башкатов А._2,Крылов И.А._2,2,undirected
Башкатов А._2,Мартынов А.М._1,9,undirected
Башкатов А._2,Ростопчина Е.П._2,7,undirected
Башкатов А._2,Смирнова А._2,153,undirected
Башкатов А._2,Суханов М.Д._1,97,undirected
Башкатов А._2,Тимофеев А.В._1,131,undirected
Башкатов А._2,Тимофеев А.В._2,6,undirected
Бенедиктов В.Г._1,Бенедиктов В.Г._2,1206,undirected
Бенедиктов В.Г._1,Бернет Е._1,11,undirected
Бенедиктов В.Г._1,Козлов И.И._1,187,undirected
Бенедиктов В.Г._1,Козлов И.И._2,411,undirected
Бенедиктов В.Г._1,Мейснер А._2,177,undirected
Бенедиктов В.Г._1,Меркли М.М._1,91,undirected
Бенедиктов В.Г._1,Меркли М.М._2,601,undirected
Бенедиктов В.Г._1,Полежаев А.И._1,147,undirected
Бенедиктов В.Г._1,Тепляков В.Г._2,138,undirected
Бенедиктов В.Г._2,Башкатов А._2,2,undirected
Бенедиктов В.Г._2,Бенедиктов В.Г._1,1206,undirected
Бенедиктов В.Г._2,Бернет Е._1,1,undirected
Бенедиктов В.Г._2,Демидов М.А._1,138,undirected
Бенедиктов В.Г._2,Демидов М.А._2,2,undirected
Бенедиктов В.Г._2,Зилов А.М._2,169,undirected
Бенедиктов В.Г._2,Козлов И.И._1,14,undirected
Бенедиктов В.Г._2,Козлов И.И._2,15,undirected
Бенедиктов В.Г._2,Мейснер А._2,17,undirected
Бенедиктов В.Г._2,Меркли М.М._1,662,undirected
Бенедиктов В.Г._2,Меркли М.М._2,87,undirected
Бенедиктов В.Г._2,Ростопчина Е.П._2,21,undirected
Бенедиктов В.Г._2,Сушков Д.П._1,4,undirected
Бенедиктов В.Г._2,Шахова Е.Н._2,30,undirected
Бернет Е._1,Бакунин И.М._1,1,undirected
Бернет Е._1,Бакунин И.М._2,31,undirected
Бернет Е._1,Башкатов А._2,9,undirected
Бернет Е._1,Бенедиктов В.Г._1,11,undirected
Бернет Е._1,Бенедиктов В.Г._2,1,undirected
Бернет Е._1,Бернет Е._2,1168,undirected
Бернет Е._1,Демидов М.А._2,66,undirected
Бернет Е._1,Мейснер А._1,20,undirected
Бернет Е._1,Меркли М.М._2,175,undirected
Бернет Е._1,Некрасов Н.А._2,78,undirected
Бернет Е._1,Полежаев А.И._1,1,undirected
Бернет Е._1,Полежаев А.И._2,27,undirected
Бернет Е._1,Суханов М.Д._1,6,undirected
Бернет Е._1,Тимофеев А.В._2,3,undirected
Бернет Е._1,Шахова Е.Н._2,382,undirected
Бернет Е._2,Бакунин И.М._2,64,undirected
Бернет Е._2,Бернет Е._1,1168,undirected
Бернет Е._2,Быстроглазов А._1,9,undirected
Бернет Е._2,Крылов И.А._1,31,undirected
Бернет Е._2,Мартынов А.М._1,362,undirected
Бернет Е._2,Мейснер А._2,241,undirected
Бернет Е._2,Меркли М.М._2,127,undirected
