Source,Target,Weight,Type
баллада_1,баллада_2,3,undirected
баллада_1,баллада_3,5,undirected
баллада_1,баллада_5,2,undirected
баллада_1,песня_2,3,undirected
баллада_2,баллада_1,3,undirected
баллада_2,баллада_4,5,undirected
баллада_2,баллада_5,6,undirected
баллада_2,песня_5,1,undirected
баллада_3,баллада_1,5,undirected
баллада_3,баллада_5,5,undirected
баллада_3,басня_2,1,undirected
баллада_4,баллада_2,5,undirected
баллада_4,баллада_5,2,undirected
баллада_4,песнь_1,1,undirected
баллада_5,баллада_1,2,undirected
баллада_5,баллада_2,6,undirected
баллада_5,баллада_3,5,undirected
баллада_5,баллада_4,2,undirected
басня_1,басня_2,5,undirected
басня_1,басня_3,2,undirected
басня_1,басня_4,2,undirected
басня_1,басня_5,6,undirected
басня_2,баллада_3,1,undirected
басня_2,басня_1,5,undirected
басня_2,басня_3,4,undirected
басня_2,басня_4,2,undirected
басня_2,басня_5,1,undirected
басня_3,басня_1,2,undirected
басня_3,басня_2,4,undirected
басня_3,басня_4,6,undirected
басня_3,песня_4,2,undirected
басня_4,басня_1,2,undirected
басня_4,басня_2,2,undirected
басня_4,басня_3,6,undirected
басня_4,басня_5,2,undirected
басня_5,басня_1,6,undirected
басня_5,басня_2,1,undirected
басня_5,басня_4,2,undirected
басня_5,песня_3,1,undirected
басня_5,песня_5,2,undirected
дума_1,дума_3,6,undirected
дума_1,дума_5,2,undirected
дума_1,сонет_3,1,undirected
дума_2,дума_4,5,undirected
дума_2,дума_5,5,undirected
дума_2,элегия_2,1,undirected
дума_2,элегия_5,1,undirected
дума_3,дума_1,6,undirected
дума_3,дума_4,2,undirected
дума_3,дума_5,5,undirected
дума_4,дума_2,5,undirected
дума_4,дума_3,2,undirected
дума_4,дума_5,3,undirected
дума_5,дума_1,2,undirected
дума_5,дума_2,5,undirected
дума_5,дума_3,5,undirected
дума_5,дума_4,3,undirected
мелодия_1,мелодия_2,3,undirected
мелодия_1,мелодия_3,6,undirected
мелодия_1,мелодия_4,2,undirected
мелодия_1,мелодия_5,1,undirected
мелодия_2,мелодия_1,3,undirected
мелодия_2,мелодия_3,4,undirected
мелодия_2,мелодия_4,6,undirected
мелодия_3,мелодия_1,6,undirected
мелодия_3,мелодия_2,4,undirected
мелодия_3,мелодия_5,3,undirected
мелодия_4,мелодия_1,2,undirected
мелодия_4,мелодия_2,6,undirected
мелодия_4,мелодия_5,5,undirected
мелодия_5,мелодия_1,1,undirected
мелодия_5,мелодия_3,3,undirected
мелодия_5,мелодия_4,5,undirected
песнь_1,баллада_4,1,undirected
песнь_1,песнь_3,6,undirected
песнь_1,песнь_5,3,undirected
песнь_1,послание_3,2,undirected
песнь_1,сонет_2,3,undirected
песнь_2,песнь_4,4,undirected
песнь_2,песнь_5,5,undirected
песнь_2,послание_2,1,undirected
песнь_3,песнь_1,6,undirected
песнь_3,послание_2,3,undirected
песнь_3,элегия_4,4,undirected
песнь_4,песнь_2,4,undirected
песнь_4,песнь_5,6,undirected
песнь_4,сонет_4,3,undirected
песнь_5,песнь_1,3,undirected
песнь_5,песнь_2,5,undirected
песнь_5,песнь_4,6,undirected
песнь_5,сонет_4,1,undirected
песня_1,песня_4,4,undirected
песня_1,послание_1,2,undirected
песня_1,послание_5,1,undirected
песня_2,баллада_1,3,undirected
песня_2,песня_3,4,undirected
песня_2,романс_5,1,undirected
песня_3,басня_5,1,undirected
песня_3,песня_2,4,undirected
песня_3,сонет_1,4,undirected
песня_4,басня_3,2,undirected
песня_4,песня_1,4,undirected
песня_4,песня_5,6,undirected
песня_5,баллада_2,1,undirected
песня_5,басня_5,2,undirected
песня_5,песня_4,6,undirected
послание_1,песня_1,2,undirected
послание_1,послание_2,6,undirected
послание_1,послание_3,3,undirected
послание_1,послание_4,4,undirected
послание_1,послание_5,5,undirected
послание_1,элегия_4,1,undirected
послание_2,песнь_2,1,undirected
послание_2,песнь_3,3,undirected
послание_2,послание_1,6,undirected
послание_2,послание_5,4,undirected
послание_3,песнь_1,2,undirected
послание_3,послание_1,3,undirected
послание_3,послание_5,1,undirected
послание_4,послание_1,4,undirected
послание_4,послание_5,1,undirected
послание_4,романс_2,3,undirected
послание_4,элегия_4,3,undirected
послание_5,песня_1,1,undirected
послание_5,послание_1,5,undirected
послание_5,послание_2,4,undirected
послание_5,послание_3,1,undirected
послание_5,послание_4,1,undirected
романс_1,романс_3,3,undirected
романс_1,романс_4,6,undirected
романс_1,элегия_3,4,undirected
романс_2,послание_4,3,undirected
романс_2,романс_4,5,undirected
романс_2,романс_5,5,undirected
романс_3,романс_1,3,undirected
романс_3,романс_4,3,undirected
романс_3,романс_5,2,undirected
романс_4,романс_1,6,undirected
романс_4,романс_2,5,undirected
романс_4,романс_3,3,undirected
романс_4,романс_5,3,undirected
романс_5,песня_2,1,undirected
романс_5,романс_2,5,undirected
романс_5,романс_3,2,undirected
романс_5,романс_4,3,undirected
сонет_1,песня_3,4,undirected
сонет_1,сонет_3,3,undirected
сонет_1,сонет_4,6,undirected
сонет_2,песнь_1,3,undirected
сонет_2,сонет_3,5,undirected
сонет_2,сонет_5,2,undirected
сонет_3,дума_1,1,undirected
сонет_3,сонет_1,3,undirected
сонет_3,сонет_2,5,undirected
сонет_3,сонет_5,6,undirected
сонет_4,песнь_4,3,undirected
сонет_4,песнь_5,1,undirected
сонет_4,сонет_1,6,undirected
сонет_5,сонет_2,2,undirected
сонет_5,сонет_3,6,undirected
сонет_5,элегия_2,2,undirected
элегия_1,элегия_2,6,undirected
элегия_1,элегия_3,5,undirected
элегия_1,элегия_5,4,undirected
элегия_2,дума_2,1,undirected
элегия_2,сонет_5,2,undirected
элегия_2,элегия_1,6,undirected
элегия_2,элегия_3,2,undirected
элегия_2,элегия_5,4,undirected
элегия_3,романс_1,4,undirected
элегия_3,элегия_1,5,undirected
элегия_3,элегия_2,2,undirected
элегия_4,песнь_3,4,undirected
элегия_4,послание_1,1,undirected
элегия_4,послание_4,3,undirected
элегия_5,дума_2,1,undirected
элегия_5,элегия_1,4,undirected
элегия_5,элегия_2,4,undirected
