Source,Target,Weight,Type
баллада_1,баллада_2,2587,undirected
баллада_1,баллада_3,4792,undirected
баллада_1,баллада_4,5,undirected
баллада_1,баллада_5,1559,undirected
баллада_1,басня_2,1,undirected
баллада_1,песнь_2,13,undirected
баллада_1,песня_1,43,undirected
баллада_1,песня_2,1963,undirected
баллада_1,песня_3,5,undirected
баллада_2,баллада_1,2587,undirected
баллада_2,баллада_3,704,undirected
баллада_2,баллада_4,3809,undirected
баллада_2,баллада_5,4806,undirected
баллада_2,песнь_2,5,undirected
баллада_2,песня_2,228,undirected
баллада_2,песня_3,41,undirected
баллада_2,песня_4,149,undirected
баллада_2,песня_5,896,undirected
баллада_3,баллада_1,4792,undirected
баллада_3,баллада_2,704,undirected
баллада_3,баллада_4,71,undirected
баллада_3,баллада_5,3218,undirected
баллада_3,басня_2,30,undirected
баллада_3,песня_1,958,undirected
баллада_3,песня_3,97,undirected
баллада_4,баллада_1,5,undirected
баллада_4,баллада_2,3809,undirected
баллада_4,баллада_3,71,undirected
баллада_4,баллада_5,187,undirected
баллада_4,басня_4,1034,undirected
баллада_4,песнь_1,583,undirected
баллада_4,песнь_2,116,undirected
баллада_4,песнь_4,4,undirected
баллада_4,песнь_5,28,undirected
баллада_4,песня_5,522,undirected
баллада_4,романс_1,624,undirected
баллада_5,баллада_1,1559,undirected
баллада_5,баллада_2,4806,undirected
баллада_5,баллада_3,3218,undirected
баллада_5,баллада_4,187,undirected
баллада_5,песня_1,163,undirected
басня_1,басня_2,3971,undirected
басня_1,басня_3,3034,undirected
басня_1,басня_4,1308,undirected
басня_1,басня_5,4806,undirected
басня_2,баллада_1,1,undirected
басня_2,баллада_3,30,undirected
басня_2,басня_1,3971,undirected
басня_2,басня_3,2101,undirected
басня_2,басня_4,1470,undirected
басня_2,басня_5,596,undirected
басня_2,песня_5,5,undirected
басня_3,басня_1,3034,undirected
басня_3,басня_2,2101,undirected
басня_3,басня_4,3979,undirected
басня_3,басня_5,1986,undirected
басня_3,песня_4,48,undirected
басня_4,баллада_4,1034,undirected
басня_4,басня_1,1308,undirected
басня_4,басня_2,1470,undirected
басня_4,басня_3,3979,undirected
басня_4,басня_5,779,undirected
басня_4,песня_1,71,undirected
басня_4,песня_3,342,undirected
басня_4,песня_4,87,undirected
басня_4,песня_5,1389,undirected
басня_5,басня_1,4806,undirected
басня_5,басня_2,596,undirected
басня_5,басня_3,1986,undirected
басня_5,басня_4,779,undirected
басня_5,песня_3,56,undirected
басня_5,песня_5,1732,undirected
дума_1,дума_3,4806,undirected
дума_1,дума_5,1890,undirected
дума_1,песнь_5,4,undirected
дума_1,песня_4,276,undirected
дума_1,песня_5,9,undirected
дума_1,сонет_3,541,undirected
дума_1,элегия_4,25,undirected
дума_2,дума_3,600,undirected
дума_2,дума_4,4207,undirected
дума_2,дума_5,4298,undirected
дума_2,песнь_2,4,undirected
дума_2,элегия_2,122,undirected
дума_2,элегия_3,46,undirected
дума_2,элегия_4,1933,undirected
дума_2,элегия_5,125,undirected
дума_3,дума_1,4806,undirected
дума_3,дума_2,600,undirected
дума_3,дума_4,2380,undirected
дума_3,дума_5,3483,undirected
дума_3,песнь_3,139,undirected
дума_4,дума_2,4207,undirected
дума_4,дума_3,2380,undirected
дума_4,дума_5,1364,undirected
дума_4,песнь_3,325,undirected
дума_4,песня_3,45,undirected
дума_4,сонет_2,2,undirected
дума_4,сонет_4,3,undirected
дума_5,дума_1,1890,undirected
дума_5,дума_2,4298,undirected
дума_5,дума_3,3483,undirected
дума_5,дума_4,1364,undirected
дума_5,песнь_3,14,undirected
дума_5,песня_1,4,undirected
мелодия_1,мелодия_2,2392,undirected
