,text_id,text_title,word,lemma
0,P_1,Солдатская песня,солдатская,солдатский
1,P_1,Солдатская песня,песня,песня
2,P_10,Молния,молния,молния
3,P_100,Ночлег чумаков,ночлег,ночлег
4,P_100,Ночлег чумаков,чумаков,чумак
5,P_100,Ночлег чумаков,сельские,сельский
6,P_100,Ночлег чумаков,картины,картина
7,P_1000,Утешитель,утешитель,утешитель
8,P_1001,Город,город,город
9,P_1002,К женщине-поэту,к,к
10,P_1002,К женщине-поэту,женщине,женщина
11,P_1002,К женщине-поэту,поэту,поэт
12,P_1003,Мотылек,мотылек,мотылек
13,P_1004,Картина востока,картина,картина
14,P_1004,Картина востока,востока,восток
15,P_1005,Старость,старость,старость
16,P_1006,Итальянская villa,итальянская,итальянский
17,P_1006,Итальянская villa,villa,villa
18,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,государю,государь
19,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,наследнику,наследник
20,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,на,на
21,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,приезд,приезд
22,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,его,он
23,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,императорского,императорский
24,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,высочества,высочество
25,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,в,в
26,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,полтаву,полтава
27,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,во,во
28,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,время,время
29,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,выставки,выставка
30,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,1837,1837
31,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,года,год
32,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,10,10
33,P_1007,Государю Наследнику на приезд Его Императорского Высочества в Полтаву во время выставки 1837 года 10 Октября,октября,октябрь
34,P_1008,На памятник Сусанину,на,на
35,P_1008,На памятник Сусанину,памятник,памятник
36,P_1008,На памятник Сусанину,сусанину,сусанин
37,P_1009,На могиле Лели,на,на
38,P_1009,На могиле Лели,могиле,могила
39,P_1009,На могиле Лели,лели,леля
40,P_101,Витязь,витязь,витязь
41,P_1010,"Смотри, как запад разгорелся",смотри,смотреть
42,P_1010,"Смотри, как запад разгорелся",как,как
43,P_1010,"Смотри, как запад разгорелся",запад,запад
44,P_1010,"Смотри, как запад разгорелся",разгорелся,разгораться
45,P_1011,Освободительница,освободительница,освободительница
46,P_1012,Кольцо,кольцо,кольцо
47,P_1012,Кольцо,николаю,николай
48,P_1012,Кольцо,андреевичу,андреевич
49,P_1012,Кольцо,зарудному,зарудный
50,P_1013,Два мгновения,два,два
51,P_1013,Два мгновения,мгновения,мгновение
52,P_1014,Опричник,опричник,опричник
53,P_1014,Опричник,отрывок,отрывок
54,P_1015,Великое слово,великое,великий
55,P_1015,Великое слово,слово,слово
56,P_1015,Великое слово,дума,дума
57,P_1015,Великое слово,василию,василий
58,P_1015,Великое слово,андреевичу,андреевич
59,P_1015,Великое слово,жуковскому,жуковский
60,P_1016,К равнодушной,к,к
61,P_1016,К равнодушной,равнодушной,равнодушный
62,P_1017,Сонет Мильтона,сонет,сонет
63,P_1017,Сонет Мильтона,мильтона,мильтон
64,P_1018,К Венере Медицейской,к,к
65,P_1018,К Венере Медицейской,венере,венера
66,P_1018,К Венере Медицейской,медицейской,медицейский
67,P_1019,"Друг, оседлай",друг,друг
68,P_1019,"Друг, оседлай",оседлай,оседлывать
69,P_102,Бессмертие,бессмертие,бессмертие
70,P_1020,За днями дни текут,за,за
71,P_1020,За днями дни текут,днями,день
72,P_1020,За днями дни текут,дни,день
73,P_1020,За днями дни текут,текут,течь
74,P_1021,Алупка,алупка,алупка
75,P_1022,К женщине,к,к
76,P_1022,К женщине,женщине,женщина
77,P_1023,Надгробие младенцу,надгробие,надгробие
78,P_1023,Надгробие младенцу,младенцу,младенец
79,P_1024,Арфа Скальда,арфа,арфа
80,P_1024,Арфа Скальда,скальда,скальд
81,P_1025,К милой,к,к
82,P_1025,К милой,милой,милая
83,P_1026,Воскресное утро,воскресное,воскресный
84,P_1026,Воскресное утро,утро,утро
85,P_1026,Воскресное утро,перевод,перевод
86,P_1026,Воскресное утро,из,из
87,P_1026,Воскресное утро,францена,францен
88,P_1027,,перевод,перевод
89,P_1027,,из,из
90,P_1027,,тегнера,тегнер
91,P_1028,Жалоба девы,жалоба,жалоба
92,P_1028,Жалоба девы,девы,дева
93,P_1028,Жалоба девы,перевод,перевод
94,P_1028,Жалоба девы,из,из
95,P_1028,Жалоба девы,рунеберга,рунеберг
96,P_1029,Времена года в сердце девушки,времена,время
97,P_1029,Времена года в сердце девушки,года,год
98,P_1029,Времена года в сердце девушки,в,в
99,P_1029,Времена года в сердце девушки,сердце,сердце
100,P_1029,Времена года в сердце девушки,девушки,девушка
101,P_1029,Времена года в сердце девушки,перевод,перевод
102,P_1029,Времена года в сердце девушки,из,из
103,P_1029,Времена года в сердце девушки,рунеберга,рунеберг
104,P_103,Послание к другу,послание,послание
105,P_103,Послание к другу,к,к
106,P_103,Послание к другу,другу,друг
107,P_1030,Диво-птица,диво,диво
108,P_1030,Диво-птица,птица,птица
109,P_1030,Диво-птица,перевод,перевод
110,P_1030,Диво-птица,из,из
111,P_1030,Диво-птица,рунеберга,рунеберг
112,P_1031,Пленники,пленники,пленник
113,P_1031,Пленники,перевод,перевод
114,P_1031,Пленники,из,из
115,P_1031,Пленники,рунеберга,рунеберг
116,P_1032,Песнь русского,песнь,песнь
117,P_1032,Песнь русского,русского,русский
118,P_1033,Весна,весна,весна
119,P_1034,Люблю,люблю,любить
120,P_1035,Девице-поэту,девице,девица
121,P_1035,Девице-поэту,поэту,поэт
122,P_1036,Марии Д***с,марии,мария
123,P_1036,Марии Д***с,д,д
124,P_1036,Марии Д***с,с,с
125,P_1037,Путешенственнику,путешенственнику,путешенственник
126,P_1038,Сонет,сонет,сонет
127,P_1039,И как светло,и,и
128,P_1039,И как светло,как,как
129,P_1039,И как светло,светло,светло
130,P_104,Минувшая юность,минувшая,минуть
131,P_104,Минувшая юность,юность,юность
132,P_104,Минувшая юность,из,из
133,P_104,Минувшая юность,виктора,виктор
134,P_104,Минувшая юность,гюго,гюго
135,P_1040,Редкие мгновения,редкие,редкий
136,P_1040,Редкие мгновения,мгновения,мгновение
137,P_1041,Вал,вал,вал
138,P_1042,Богдан,богдан,богдан
139,P_1042,Богдан,отрывок,отрывок
140,P_1042,Богдан,из,из
