"баллада_1" "баллада_2" "баллада_3" "баллада_4" "баллада_5" "басня_1" "басня_2" "басня_3" "басня_4" "басня_5" "дума_1" "дума_2" "дума_3" "дума_4" "дума_5" "мелодия_1" "мелодия_2" "мелодия_3" "мелодия_4" "мелодия_5" "песнь_1" "песнь_2" "песнь_3" "песнь_4" "песнь_5" "песня_1" "песня_2" "песня_3" "песня_4" "песня_5" "послание_1" "послание_2" "послание_3" "послание_4" "послание_5" "романс_1" "романс_2" "романс_3" "романс_4" "романс_5" "сонет_1" "сонет_2" "сонет_3" "сонет_4" "сонет_5" "элегия_1" "элегия_2" "элегия_3" "элегия_4" "элегия_5"
"и" 4.35294117647059 5.91194968553459 5.45670225385528 5.85774058577406 4.54545454545455 3.79746835443038 4.43951165371809 3.87096774193548 3.64705882352941 4.3956043956044 2.98273155416013 4.70183486238532 4.06162464985994 3.90625 4.66666666666667 4.05244338498212 5.01002004008016 3.65566037735849 5.02232142857143 3.05555555555556 4.34782608695652 5.22133938706016 4.26829268292683 7.32984293193717 6.33802816901408 3.15068493150685 1.85643564356436 4.73627556512379 3.46740638002774 4.6639231824417 4.40881763527054 5.51583248212462 4.32989690721649 4.57018498367791 4.75161987041037 3.47490347490348 2.59403372243839 2.83783783783784 3.36134453781513 3.44827586206897 5.55555555555556 3.07486631016043 4.26666666666667 6.49188514357054 3.92902408111534 3.24374420759963 2.9673590504451 2.78086763070078 3.27570518653321 3.97111913357401
"в" 1.88235294117647 2.51572327044025 2.60972716488731 2.51046025104602 1.83982683982684 2.9535864978903 1.99778024417314 3.54838709677419 2.23529411764706 3.07692307692308 4.3956043956044 3.09633027522936 3.64145658263305 2.86458333333333 3.46666666666667 1.78784266984505 3.0060120240481 1.7688679245283 2.56696428571429 1.52777777777778 2.10378681626928 2.61066969353008 3.17073170731707 3.40314136125654 2.53521126760563 2.05479452054795 2.84653465346535 2.15285252960172 3.32871012482663 2.74348422496571 2.20440881763527 3.26864147088866 3.09278350515464 2.61153427638738 3.23974082073434 3.86100386100386 2.20492866407263 3.10810810810811 2.64105642256903 2.46305418719212 3.19148936170213 3.74331550802139 2.66666666666667 2.87141073657928 2.91508238276299 3.52177942539388 3.75865479723046 2.78086763070078 2.36578707916288 3.06859205776173
"я" 2.58823529411765 3.14465408805031 2.25385527876631 0.836820083682008 3.78787878787879 1.16033755274262 1.44284128745838 1.61290322580645 0.470588235294118 0.989010989010989 1.88383045525903 0.802752293577982 2.66106442577031 1.82291666666667 1.73333333333333 2.62216924910608 2.50501002004008 2.7122641509434 2.56696428571429 3.88888888888889 0.981767180925666 2.72417707150965 2.19512195121951 1.30890052356021 1.26760563380282 2.73972602739726 2.5990099009901 1.82992465016146 0.970873786407767 2.88065843621399 2.50501002004008 1.02145045965271 1.54639175257732 2.50272034820457 1.51187904967603 3.98970398970399 3.50194552529183 3.24324324324324 2.88115246098439 2.95566502463054 3.19148936170213 1.47058823529412 2.53333333333333 2.24719101123596 3.16856780735108 2.40963855421687 2.27497527200791 3.33704115684093 4.45859872611465 1.17328519855596
"не" 2.47058823529412 1.0062893081761 1.42348754448399 0.941422594142259 2.38095238095238 3.27004219409283 3.10765815760266 2.79569892473118 3.52941176470588 4.06593406593407 1.56985871271586 2.40825688073395 1.68067226890756 1.953125 2.93333333333333 2.62216924910608 2.00400801603206 2.94811320754717 2.67857142857143 3.61111111111111 0.280504908835905 0.227014755959137 1.21951219512195 0.654450261780105 1.26760563380282 1.91780821917808 2.97029702970297 1.72228202368138 1.94174757281553 2.33196159122085 1.90380761523046 1.32788559754852 1.1340206185567 1.95865070729053 0.755939524838013 3.08880308880309 3.37224383916991 1.89189189189189 1.68067226890756 3.20197044334975 1.6548463356974 1.8716577540107 2 1.12359550561798 1.7743979721166 1.85356811862836 3.26409495548961 1.7797552836485 2.54777070063694 1.44404332129964
"на" 1.29411764705882 0.628930817610063 1.54211150652432 1.56903765690377 1.40692640692641 0.949367088607595 1.22086570477248 1.93548387096774 1.64705882352941 0.989010989010989 0.784929356357928 1.72018348623853 1.5406162464986 1.69270833333333 2.8 1.31108462455304 1.50300601202405 2.00471698113208 1.78571428571429 0.972222222222222 0.841514726507714 1.36208853575482 1.21951219512195 1.70157068062827 1.40845070422535 1.91780821917808 1.23762376237624 1.82992465016146 2.9126213592233 2.05761316872428 1.40280561122244 1.32788559754852 1.1340206185567 0.979325353645267 1.07991360691145 1.15830115830116 0.518806744487678 1.89189189189189 1.08043217286915 1.10837438423645 1.53664302600473 1.60427807486631 1.73333333333333 1.99750312109863 1.14068441064639 1.39017608897127 1.18694362017804 1.66852057842047 1.27388535031847 1.80505415162455
"с" 0.941176470588235 1.63522012578616 1.30486358244365 1.88284518828452 1.73160173160173 1.68776371308017 1.77580466148724 1.29032258064516 1.88235294117647 1.20879120879121 0.941915227629513 1.26146788990826 0.280112044817927 0.78125 1.33333333333333 1.19189511323004 1.30260521042084 0.825471698113208 1.33928571428571 0.833333333333333 1.12201963534362 1.24858115777526 0.853658536585366 0.916230366492147 1.40845070422535 2.05479452054795 1.73267326732673 0.753498385360603 1.94174757281553 0.823045267489712 2.30460921843687 1.12359550561798 2.2680412371134 1.63220892274211 3.23974082073434 1.15830115830116 1.03761348897536 1.89189189189189 1.56062424969988 1.10837438423645 0.8274231678487 1.47058823529412 0.933333333333333 0.998751560549313 0.126742712294043 1.20481927710843 1.18694362017804 0.667408231368187 1.0919017288444 1.08303249097473
"ты" 1.17647058823529 1.25786163522013 1.42348754448399 0.523012552301255 1.51515151515152 0.632911392405063 0.776914539400666 1.29032258064516 0.941176470588235 1.0989010989011 1.88383045525903 1.37614678899083 0.840336134453782 1.171875 0.933333333333333 1.43027413587604 1.00200400801603 1.41509433962264 1.11607142857143 1.94444444444444 1.12201963534362 1.02156640181612 0.975609756097561 0.785340314136126 0.563380281690141 1.78082191780822 1.60891089108911 0.861141011840689 0 1.92043895747599 1.50300601202405 1.22574055158325 0.618556701030928 2.50272034820457 0.647948164146868 2.7027027027027 2.46433203631647 1.21621621621622 1.4405762304922 3.32512315270936 1.18203309692671 2.27272727272727 2.13333333333333 0.873907615480649 2.02788339670469 0.46339202965709 1.28585558852621 1.00111234705228 0.545950864422202 0.541516245487365
"он" 2.23529411764706 2.64150943396226 2.13523131672598 1.15062761506276 1.40692640692641 1.89873417721519 1.77580466148724 1.93548387096774 1.41176470588235 0.54945054945055 0.156985871271586 0.573394495412844 0.280112044817927 0.78125 0.4 0.953516090584029 1.00200400801603 1.17924528301887 0.78125 0.972222222222222 1.26227208976157 1.02156640181612 2.5609756097561 1.96335078534031 0.563380281690141 0.273972602739726 2.22772277227723 1.29171151776103 1.10957004160888 1.50891632373114 1.10220440881764 0.510725229826353 1.23711340206186 1.30576713819369 0.431965442764579 0.386100386100386 0.648508430609598 0.945945945945946 0.480192076830732 0.862068965517241 1.6548463356974 2.40641711229947 1.2 2.12234706616729 2.40811153358682 1.11214087117702 0.989119683481701 0.111234705228031 0.727934485896269 0.992779783393502
"как" 0.588235294117647 1.13207547169811 1.06761565836299 1.35983263598326 1.08225108225108 0.949367088607595 0.887902330743618 0.967741935483871 0.588235294117647 1.64835164835165 1.72684458398744 1.60550458715596 0.840336134453782 1.171875 1.46666666666667 1.43027413587604 0.801603206412826 1.17924528301887 0.558035714285714 0.833333333333333 1.40252454417952 1.36208853575482 0.975609756097561 1.43979057591623 0.985915492957746 1.78082191780822 1.60891089108911 1.29171151776103 0.554785020804438 0.411522633744856 0.601202404809619 0.408580183861083 0.309278350515464 0.979325353645267 0.647948164146868 0.257400257400257 0.648508430609598 0.810810810810811 0.960384153661465 0.862068965517241 2.12765957446809 2.00534759358289 2.26666666666667 1.62297128589263 1.14068441064639 1.29749768303985 0.890207715133531 1.11234705228031 0.818926296633303 1.17328519855596
"быть" 1.76470588235294 0.628930817610063 0.593119810201661 0.313807531380753 0.865800865800866 1.58227848101266 0.887902330743618 0.752688172043011 1.29411764705882 1.31868131868132 0 0.91743119266055 0.140056022408964 0.390625 0.266666666666667 1.66865315852205 1.10220440881764 1.41509433962264 0.558035714285714 0.833333333333333 0.701262272089762 0.227014755959137 1.21951219512195 0.392670157068063 0.422535211267606 0.821917808219178 0.123762376237624 0.968783638320775 0.416088765603329 1.23456790123457 1.30260521042084 1.22574055158325 1.44329896907216 0.979325353645267 1.07991360691145 0.772200772200772 1.03761348897536 0.810810810810811 0.600240096038415 1.23152709359606 0.472813238770686 0.53475935828877 0.666666666666667 0.124843945068664 0.380228136882129 1.48285449490269 1.18694362017804 1.7797552836485 0.454959053685168 1.44404332129964
