"","topic","label"
"1",1,"1_любить сердце милый счастливый любовь"
"2",2,"2_мечта душа вдохновение поэт восторг"
"3",3,"3_луч свет солнце блеск мрак"
"4",4,"4_свобода цепь природа мир вечный"
"5",5,"5_брат жена муж сестра приходить"
"6",6,"6_взор око улыбка взгляд речь"
"7",7,"7_бог святой вера боже молитва"
"8",8,"8_сердце душа тоска дума пора"
"9",9,"9_слышать глас голос внимать звук"
"10",10,"10_волна море берег вода брег"
"11",11,"11_час прощать ждать последний прийти"
"12",12,"12_давать сила воля рука бог"
"13",13,"13_дева прекрасный любовь милый юный"
"14",14,"14_красота природа краса вид прелесть"
"15",15,"15_лев волк зверь говорить становиться"
"16",16,"16_сказать слово говорить ответ никто"
"17",17,"17_де два точно хорошо очень"
"18",18,"18_страсть душа мука страдание тоска"
"19",19,"19_лететь крыло орел летать стрела"
"20",20,"20_человек свет жить век знать"
"21",21,"21_мечта надежда любовь душа желание"
"22",22,"22_вода струя ручей тень луг"
"23",23,"23_год время день проходить новый"
"24",24,"24_храм бог глава рука златой"
"25",25,"25_день ночь утро заря пора"
"26",26,"26_муза певец поэт дар слава"
"27",27,"27_пить вино чаша друг пир"
"28",28,"28_видеть глаз новый увидеть взглядывать"
"29",29,"29_страна край родной чужой туда"
"30",30,"30_царь народ русский царство слава"
"31",31,"31_сказать дом человек сын бог"
"32",32,"32_конь девица красный молодец дорога"
"33",33,"33_день забывать помнить память былой"
"34",34,"34_степь пустыня земля дикий средь"
"35",35,"35_зреть коль дух сие смертный"
"36",36,"36_день покой труд тихий тишина"
"37",37,"37_сон спать ночь вставать покой"
"38",38,"38_друг милый верный любезный нежный"
"39",39,"39_враг меч бой брань битва"
"40",40,"40_слава век великий герой славный"
"41",41,"41_могила гроб смерть прах мертвый"
"42",42,"42_богатый жить богатство служить большой"
"43",43,"43_любовь сердце душа чувство страсть"
"44",44,"44_гора лес скала долина вершина стоять"
"45",45,"45_огонь грудь пламень гореть кипеть"
"46",46,"46_враг страшный смерть кровь злодей"
"47",47,"47_ночь луна ночной тень темный"
"48",48,"48_гость пора приходить рад сидеть"
"49",49,"49_рука лицо голова нога глаз"
"50",50,"50_небо мир земля земной небесный"
"51",51,"51_хотеть сказать желать иметь говорить"
"52",52,"52_знать другой иной бывать говорить"
"53",53,"53_стих писать читать перо поэт"
"54",54,"54_зло человек злой правда добро"
"55",55,"55_небо звезда солнце луч светлый"
"56",56,"56_становиться скоро старик старый взять"
"57",57,"57_мир дух творец бог свет"
"58",58,"58_путь идти ждать находить дорога"
"59",59,"59_счастие радость жизнь счастливый сердце"
"60",60,"60_толпа свет игра шумный смех"
"61",61,"61_дом стоять стена окно дверь"
"62",62,"62_другой два первый меж давать"
"63",63,"63_судьба умирать рок ах оставлять"
"64",64,"64_поле весна снег лист зима"
"65",65,"65_отец мать сын ребенок бог"
"66",66,"66_nи nно nя видеть nне"
"67",67,"67_ум дело труд должный наука"
"68",68,"68_слеза сердце плакать лить слезать"
"69",69,"69_уста грудь око любовь нега"
"70",70,"70_петь песня звук струна песнь"
"71",71,"71_туча гром буря ветер небо"
"72",72,"72_душа мысль чувство понимать слово"
"73",73,"73_цветок роза цвести весна цвет"
"74",74,"74_черный кудри грудь блистать золотой"
"75",75,"75_жизнь душа мир земной миг"
