"word","accented","doc_id","row_id"
"Кантемир","Кантеми'р",1,1
"равнялись","равня'лись",2,2
"блистал","блиста'л",3,3
"находился","находи'лся",4,4
"вечно","ве'чно",5,5
"настанет","наста'нет",6,6
"молодое","молодо'е",7,7
"свиданье","свида'нье",8,8
"стало","ста'ло",9,9
"разлука","разлу'ка",10,10
"пустыне","пусты'не",11,11
"красотой","красото'й",12,12
"спокоен","споко'ен",13,13
"врагу","врагу'",14,14
"друзьями","друзья'ми",15,15
"друг","друг",16,16
"участьем","у'частьем",17,17
"слепец","слепе'ц",18,18
"страданьем","страда'ньем",19,19
"молитвы","моли'твы",20,20
"животворной","животво'рной",21,21
"холодной","холо'дной",22,22
"Спас","Спас",23,23
"Искупитель","Искупи'тель",24,24
"нам","нам",25,25
"природы","приро'ды",26,26
"высок","высо'к",27,27
"Николая","Никола'я",28,28
"приплыла","приплыла'",29,29
"ярова","я'рова",30,30
"меня","меня'",31,31
"глаза","глаза'",32,32
"он","он",33,33
"весточкой","ве'сточкой",34,34
"дальной","да'льной",35,35
"чужой","чужо'й",36,36
"руки","ру'ки",37,37
"удержать","удержа'ть",38,38
"своды","сво'ды",39,39
"страданья","страда'нья",40,40
"гробовой","гробово'й",41,41
"влюбленный","влюблённый",42,42
"нем","нем",43,43
"ниц","ниц",44,44
"склонялась","склоня'лась",45,45
"приснилось","присни'лось",46,46
"берегла","берегла'",47,47
"славян","славя'н",48,48
"стены","сте'ны",49,49
"уничтоженье","уничто'женье",50,50
"нет","нет",51,51
"взвивался","взвива'лся",52,52
"стрел","стрел",53,53
"супругом","супру'гом",54,54
"Петух","Пету'х",55,55
"перун","перу'н",56,56
"смелы","сме'лы",57,57
"возлетим","возлети'м",58,58
"крылами","крыла'ми",59,59
"удалец","удале'ц",60,60
"оставил","оста'вил",61,61
"бурна","бурна'",62,62
"тени","те'ни",63,63
"столицы","столи'цы",64,64
"постановив","постанови'в",65,65
"стадами","стада'ми",66,66
"смущен","смущён",67,67
"лет","лет",68,68
"удел","уде'л",69,69
"золотые","золоты'е",70,70
"лугу","лугу'",71,71
"грады","гра'ды",72,72
"вознесть","возне'сть",73,73
"сладим","сла'дим",74,74
"лбов","лбов",75,75
"кратки","кра'тки",76,76
"век","век",77,77
"части","ча'сти",78,78
"других","други'х",79,79
"моститься","мости'ться",80,80
"блистать","блиста'ть",81,81
"пленяешь","пленя'ешь",82,82
