"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID","path","true_year","descr"
"1",68,"COL_2","v","col","lyr","","Баратынский Е.","Баратынский Е.А.","Баратынский Евгений Абрамович","Сочинения Е. Баратынского: В 2 ч.","М.","Семена",1835,189,8,22,"РГБ","https://dlib.rsl.ru/01003570129","Сборники стихотворений","col_lyr","Lyric collections","A_2","../../data/collections//68_1835.txt","1835","Baratynsky poems of the 1820s and early 1830s"
"2",69,"COL_3","pr","col","lyr","","Венгер Н.","Венгер Н.","Венгер Николай","Сочинения Николая Венгера в стихах и прозе","М.","Селивановского",1835,68,12,20,"","drive/photos/17","Сборники стихотворений","col_lyr","Lyric collections","A_3","../../data/collections//69_1835.txt","1835","Some patriotic + romantic ""bad"" rhyming "
"3",83,"COL_13","v","col","lyr","","Геевский С.Л.","Геевский С.Л.","Геевский Степан Лукич","Сочинения и переводы в стихах С.Г.","Харьков","Ун. тип",1835,61,8,22,"","drive/photos/17","Сборники стихотворений","col_lyr","Lyric collections","A_13","../../data/collections//83_1835.txt","1835","Elegies-like, incl. translations from Lamartine "
"4",70,"COL_4","v","col","lyr","","Деларю М.","Деларю М.Д.","Деларю Михаил Данилович","Опыты в стихах Михаила Деларю","СПб.","Деп. внешней торговли",1835,152,8,20,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000656&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_4","../../data/collections//70_1835.txt","1835","Omitted ""Dafna (p. 28-50) in two songs+epilogue as well as ""Два двустишия (Из Шиллера)"" (p. 95) "
"5",71,"COL_5","v","col","lyr","","Зилов А.","Зилов А.М.","Зилов Алексей Михайлович","Стихотворения Алексея Зилова [Тетрадь 1-я]","М.","Лазаревых",1835,115,12,23,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_5","../../data/collections//71_1835.txt","1835","Зилов А., сб. в 2х ""тетрадях""; сб. в духе 1820-х, ""К N.N."" (с. 69) -- переделка ""Не искушай меня без нужды"""
"6",74,NA,"pr","col","lyr","","Лебедев В. (изд.)","Лебедев В.","","Осенний вечер: [Сб. рассказов и стихов], изданный В. Лебедевым","СПб.","Вингебера",1835,238,12,18,"ЧБ","https://books.google.com/books?id=0z1M1S2mJFkC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_8","../../data/collections//74_1835.txt","1835","Альманах, много авторов, поэзия и проза не разделены на разделы "
"7",691,NA,"v","sep","lyr","","Малышев Г.","Малышев Г.Г.","Малышев Григорий Григорьевич","На случай отправления гвардейского отряда в Калиш 14-26-го июля 1835-го года : Стихи сии написаны музыкантом лейб-гвардии Егер. полка Малышевым. ","СПб.","druck. von C. Krav",1835,5,NA,19,"РГБ","https://dlib.rsl.ru/01003559123 ","Отд. стихотворения","sep_lyr","Lyric booklets","A_148","../../data/collections//691_1835.txt","1835","Одно стихотворение, напеч. параллельно с нем. текстом "
"8",75,"COL_9","v","col","lyr","","Меркли М.","Меркли М.М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Степанова",1835,108,8,22,"","drive/photos/1510","Сборники стихотворений","col_lyr","Lyric collections","A_9","../../data/collections//75_1835.txt","1835","Элегический сборник в духе поздних 1820-х, переводы из Ламартина, одиночество, романтические обращения к волнам и тучам"
"9",84,"COL_14","v","col","lyr","","","Савурский Н.","Савурский Николай","Весенняя ветка. Стихотворения","СПб.","Крыловского",1835,70,NA,20,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000934&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_14","../../data/collections//84_1835.txt","1835","Стихотворения Савурского: апологи и басни, открывается посвящением благодетелю -- немного старомодный сборник; много вольных ямбов + что-то вроде песен (песня про воина, хореи)"
"10",900,NA,"v","col","lyr","","Семенов П.","Семенов П.","Семенов Платон","Минуты благоговения. Соч. Платона Семенова","СПб.","Плюшара",1835,29,NA,NA,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000897&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_297","../../data/collections//900_1835.txt","1835","Очень маленький сб., мелкий формат, крупный шрифт с большимы междустр. инт.; религиозные стихи, архаические"
"11",85,"COL_15","v","col","lyr","","Т-м-ф-в","Тимофеев А.В.","Тимофеев Алексей Васильевич","Песни: В 2 ч.","СПб.","Гинце",1835,178,NA,20,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000973&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_15","../../data/collections//85_1835.txt","1835","""Песни"" Тимофеева; во второй части все стихотворения с подписью мест и дат "
